CATCHMENT,Unnamed: 1,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
1933,8,3.3971429,1.7192857,4.2567143,11.492,138.4592857,258.1285714,10.7692857,37.4031429,179.9012857,11.5222857,735.3787143,6.8848571,9.1651429,60.913,447.1405714,268.6132857,20.6318571,260.2617143,30.165,8.8088571,126.687,42.947,11.4291429,3.5355714,27.2765714,347.2681429,6.988
1933,9,3.8715714,1.9594286,4.8514286,6.7751429,81.629,372.8102857,9.5241429,31.8442857,89.4584286,13.1317143,738.1021428,3.5968571,10.4452857,66.884,357.3487143,117.3804286,23.5141429,153.4381429,37.525,12.7227143,165.2047143,55.0891429,20.427,4.0295714,16.0808571,409.4807143,7.9644286
1933,10,3.5335714,1.7884286,4.4278571,3.7281429,44.9181429,314.0678571,6.4565714,18.1495714,50.544,11.9852857,446.4661429,5.7297143,9.5334286,51.5528571,144.7595714,74.2114286,21.461,84.4321429,18.1464286,10.718,82.106,21.8315714,6.8602857,3.6777143,8.8488571,317.6495714,7.2691429
1933,11,3.3625714,1.702,4.2135714,2.5864286,31.1638571,237.318,4.9427143,11.391,36.0757143,11.4052857,188.4138571,5.719,9.0721429,51.47,119.4321429,73.764,20.4224286,58.5785714,18.6007143,8.0987143,51.8147143,21.5978571,6.5455714,3.4998571,6.1392857,244.1865714,6.9174286
1933,12,5.2934286,2.6794286,6.633,7.5467143,90.926,205.2005714,5.8084286,15.2555714,158.4864286,17.9547143,1065.295857,17.0097143,14.2815714,97.3802857,308.1174286,146.684,32.15,170.9138571,41.8022857,7.0028571,295.879,106.7208571,20.9771429,5.5094286,17.9125714,272.7527143,10.8897143
1933,13,4.0474286,2.0484286,5.0715714,5.0614286,60.9798571,250.0948571,4.692,10.2725714,67.397,13.7278571,343.2864286,7.218,10.9194286,59.715,243.5078571,94.3785714,24.5812857,114.6234286,40.9372857,8.5348571,157.6157143,50.3901429,4.5405714,4.2125714,12.013,352.6177143,8.3257143
1933,14,3.315,1.6777143,4.1541429,6.2782857,75.6415714,268.4808571,6.546,18.5488571,148.4322857,11.2445714,532.6247143,9.2177143,8.9444286,62.942,246.7154286,199.2408571,20.135,142.1837143,32.631,9.1621429,138.121,47.086,2.8955714,3.4505714,14.9012857,325.2928571,6.82
1933,15,3.8948571,1.9711429,4.8805714,6.7914286,81.823,270.095,6.9822857,20.4968571,108.8687143,13.2105714,872.0738572,7.2122857,10.508,56.8634286,357.3384286,122.2577143,23.6551429,153.8022857,25.6938571,9.2171429,117.3561429,32.7634286,4.6375714,4.0538571,16.119,382.9232857,8.0122857
1933,16,3.5647143,1.8041429,4.4667143,9.14,110.1225714,298.4482857,7.9085714,24.632,186.206,12.0904286,1396.915857,10.7438571,9.6172857,61.9584286,241.1221429,153.6134286,21.6498571,206.9967143,31.4531429,10.1848571,117.7015714,45.0745714,1.1054286,3.7101429,21.6941429,386.2328571,7.3331429
1933,17,4.0664286,2.0581429,5.0955714,4.6917143,56.5265714,397.156,9.7837143,33.0038571,75.6568571,13.793,572.1318572,6.0621429,10.9711429,63.4262857,133.6747143,65.8231429,24.6975714,106.2521429,33.5927143,13.5535714,154.4325714,46.1404286,5.7651429,4.2324286,11.1358571,357.2501429,8.3654286
1933,18,4.9088571,2.4845714,6.151,3.6161429,43.5641429,321.3978571,10.4791429,36.1071429,71.787,16.6502857,622.1511429,17.6701429,13.244,78.8494286,91.3377143,78.3741429,29.8138571,81.8874286,51.77,10.9682857,193.7224286,79.866,9.784,5.1091429,8.582,277.7231429,10.0982857
1933,19,6.1997143,3.1378571,7.769,2.5511429,30.7384286,280.8901429,6.7947143,19.6591429,47.1655714,21.0291429,404.7392857,4.0867143,16.727,73.9481429,72.0162857,46.6891429,37.6548571,57.7787143,46.0164286,9.5857143,218.6108571,69.3757143,8.1452857,6.4531429,6.0557143,235.2935714,12.7541429
1933,20,4.3097143,2.1811429,5.4001429,6.5208571,78.564,506.109,9.1944286,30.3731429,136.9675714,14.6175714,1957.774857,7.4134286,11.6271429,64.6622857,153.8698571,112.3652857,26.1741429,147.6768571,34.8175714,17.2715714,147.3432857,50.5562857,3.0528571,4.4854286,15.4771429,282.8998571,8.8654286
1933,21,3.8935714,1.9705714,4.8787143,4.3621429,52.5564286,399.8182857,7.9315714,24.7348571,86.0788571,13.2058571,572.024,8.5507143,10.5042857,72.812,118.0561429,82.4817143,23.6465714,98.7901429,44.6572857,13.6442857,189.2417143,67.1172857,42.353,4.0524286,10.3537143,289.7155714,8.0094286
1933,22,4.049,2.0488571,5.0732857,2.9212857,35.1957143,320.9234286,6.848,19.8972857,52.2094286,13.7327143,260.0072857,16.0927143,10.9232857,74.8702857,88.7092857,65.7767143,24.5898571,66.157,47.0781429,10.9518571,195.028,71.325,93.4662857,4.2141429,6.9335714,248.348,8.3288571
1933,23,4.7568571,2.4075714,5.9605714,2.3445714,28.2471429,249.7075714,6.2618571,17.2807143,33.1197143,16.1348571,143.6608572,5.2021429,12.834,62.7212857,65.5022857,52.0424286,28.8912857,53.0952857,33.0574286,8.5217143,151.3232857,46.9061429,18.7105714,4.9511429,5.5648571,205.745,9.786
1933,24,3.8965714,1.9722857,4.8828571,1.8021429,21.7112857,194.625,4.5674286,9.7167143,27.0781429,13.2167143,133.9068571,4.2281429,10.513,55.4768571,45.2017143,43.0001429,23.666,40.8105714,24.6317143,6.6418571,111.9967143,32.2504286,14.1601429,4.0557143,4.2771429,169.2097143,8.0158571
1933,25,4.0182857,2.0337143,5.035,1.4954286,18.0131429,149.6045714,4.113,7.6871429,27.206,13.6287143,113.1241429,4.5231429,10.8405714,55.707,39.2971429,34.7571429,24.4034286,33.8598571,24.9194286,5.1054286,79.2117143,32.6535714,12.4624286,4.182,3.5482857,145.935,8.2658571
