nodesData,years,storage_techs,unitsBuild,unitsUpperLimit,noExpansion
CEN,2045,levelUpperLimit,0.0,3000.0,1
CEN,2045,lifeTime,0.0,3000.0,1
CEN,2050,Battery,0.0,30.0,0
CEN,2050,levelUpperLimit,0.0,3000.0,1
CEN,2050,lifeTime,0.0,3000.0,1
HBY,2000,levelUpperLimit,154.2635,3000.0,1
HBY,2000,lifeTime,154.2635,3000.0,1
HBY,2020,Battery,0.0,30.0,1
HBY,2020,levelUpperLimit,0.0,3000.0,1
HBY,2020,lifeTime,0.0,3000.0,1
HBY,2025,Battery,0.0,30.0,0
HBY,2025,levelUpperLimit,0.0,3000.0,1
HBY,2025,lifeTime,0.0,3000.0,1
HBY,2030,Battery,0.0,30.0,0
HBY,2030,levelUpperLimit,0.0,3000.0,1
HBY,2030,lifeTime,0.0,3000.0,1
HBY,2035,Battery,0.0,30.0,0
HBY,2035,levelUpperLimit,0.0,3000.0,1
HBY,2035,lifeTime,0.0,3000.0,1
HBY,2040,Battery,0.0,30.0,0
HBY,2040,levelUpperLimit,0.0,3000.0,1
HBY,2040,lifeTime,0.0,3000.0,1
HBY,2045,Battery,0.0,30.0,0
HBY,2045,levelUpperLimit,0.0,3000.0,1
HBY,2045,lifeTime,0.0,3000.0,1
HBY,2050,Battery,0.0,30.0,0
HBY,2050,levelUpperLimit,0.0,3000.0,1
HBY,2050,lifeTime,0.0,3000.0,1
NEL,2000,levelUpperLimit,0.0,3000.0,1
NEL,2000,lifeTime,0.0,3000.0,1
NEL,2020,Battery,0.0,30.0,1
NEL,2020,levelUpperLimit,0.0,3000.0,1
NEL,2020,lifeTime,0.0,3000.0,1
NEL,2025,Battery,0.0,30.0,0
NEL,2025,levelUpperLimit,0.0,3000.0,1
NEL,2025,lifeTime,0.0,3000.0,1
NEL,2030,Battery,0.0,30.0,0
NEL,2030,levelUpperLimit,0.0,3000.0,1
NEL,2030,lifeTime,0.0,3000.0,1
NEL,2035,Battery,0.0,30.0,0
NEL,2035,levelUpperLimit,0.0,3000.0,1
