Scenario,Sector,Fuel,Region,2020,2025,2030,2035,2040,2045,2050
BIO,Heat,Geothermal,CEN,2.83,3.13,3.39,3.6,3.75,3.85,3.9
BIO,Heat,Geothermal,GIS,0.57,0.63,0.68,0.72,0.76,0.78,0.79
BIO,Heat,Geothermal,HBY,1.98,2.19,2.37,2.52,2.62,2.69,2.73
BIO,Heat,Geothermal,NEL,1.79,1.98,2.15,2.27,2.37,2.43,2.47
BIO,Heat,Geothermal,NIS,2.16,2.39,2.58,2.74,2.86,2.94,2.98
BIO,Heat,Geothermal,OTG,3.87,4.28,4.63,4.92,5.13,5.26,5.33
BIO,Heat,Geothermal,TRN,1.4,1.54,1.67,1.77,1.85,1.9,1.92
BIO,Heat,Geothermal,WEL,5.96,6.59,7.14,7.57,7.9,8.11,8.22
BIO,Heat,Geothermal,WTO,5.58,6.17,6.68,7.09,7.39,7.59,7.69
BIO,Heat,Solar,AKL,34.16,40.18,46.36,52.6,58.84,65.05,71.2
BIO,Heat,Solar,BOP,6.65,7.82,9.03,10.24,11.46,12.66,13.86
BIO,Heat,Solar,CAN,13.65,16.05,18.52,21.02,23.51,25.99,28.45
BIO,Heat,Solar,CEN,5.05,5.94,6.86,7.78,8.71,9.62,10.53
BIO,Heat,Solar,GIS,1.02,1.2,1.38,1.57,1.75,1.94,2.12
BIO,Heat,Solar,HBY,3.53,4.16,4.8,5.44,6.09,6.73,7.37
BIO,Heat,Solar,NEL,3.2,3.76,4.33,4.93,5.5,6.09,6.66
BIO,Heat,Solar,NIS,3.85,4.53,5.23,5.94,6.64,7.34,8.03
BIO,Heat,Solar,OTG,6.91,8.13,9.38,10.65,11.9,13.16,14.4
BIO,Heat,Solar,TRN,2.49,2.93,3.38,3.84,4.29,4.74,5.19
BIO,Heat,Solar,WEL,10.64,12.52,14.44,16.39,18.33,20.27,22.18
BIO,Heat,Solar,WTO,9.96,11.71,13.51,15.33,17.15,18.96,20.76
BIO,Heat,Wood,AKL,645.5,1873.83,3674.01,4781.43,5521.53,6183.77,6703.97
BIO,Heat,Wood,BOP,125.67,364.81,715.28,930.88,1074.97,1203.9,1305.17
BIO,Heat,Wood,CAN,257.91,748.69,1467.96,1910.44,2206.15,2470.75,2678.6
BIO,Heat,Wood,CEN,95.5,277.24,543.58,707.43,816.93,914.91,991.88
BIO,Heat,Wood,GIS,19.24,55.86,109.52,142.53,164.59,184.33,199.84
BIO,Heat,Wood,HBY,66.8,193.92,380.22,494.83,571.42,639.96,693.79
BIO,Heat,Wood,NEL,181.15,301.37,476.8,588.67,665.39,732.11,779.92
BIO,Heat,Wood,NIS,2715.05,2970.65,3328.92,3635.46,3883.24,4062.7,4103.24
BIO,Heat,Wood,OTG,130.57,379.05,743.19,967.2,1116.91,1250.87,1356.09
BIO,Heat,Wood,TRN,47.07,136.65,267.93,348.69,402.66,450.96,488.89
BIO,Heat,Wood,WEL,201.1,583.77,1144.6,1489.6,1720.17,1926.49,2088.55
BIO,Heat,Wood,WTO,3996.75,4523.47,5271.88,5856.45,6308.98,6652.98,6778.47
BIO,Power,Electricity,AKL,5025.71,6183.36,7341.02,8587.3,9833.58,11157.88,12482.19
BIO,Power,Electricity,BOP,1084.32,1333.57,1582.83,1853.56,2124.28,2410.95,2697.61
BIO,Power,Electricity,CAN,2704.49,3327.37,3950.24,4623.18,5296.12,6010.0,6723.88
BIO,Power,Electricity,CEN,882.6,1085.78,1288.96,1508.39,1727.81,1960.52,2193.22
BIO,Power,Electricity,GIS,133.89,164.77,195.65,228.77,261.89,297.12,332.36
BIO,Power,Electricity,HBY,1226.63,1507.72,1788.82,2095.83,2402.84,2726.5,3050.17
BIO,Power,Electricity,NEL,524.28,645.05,765.82,895.86,1025.91,1164.01,1302.1
BIO,Power,Electricity,NIS,638.25,785.19,932.13,1091.25,1250.37,1418.86,1587.34
BIO,Power,Electricity,OTG,3518.26,4327.2,5136.15,6015.98,6895.8,7825.47,8755.14
BIO,Power,Electricity,TRN,437.47,538.17,638.88,747.67,856.47,971.85,1087.22
BIO,Power,Electricity,WEL,1392.17,1712.43,2032.68,2378.06,2723.44,3090.04,3456.65
BIO,Power,Electricity,WTO,2096.43,2578.41,3060.4,3583.27,4106.14,4659.52,5212.89
BIO,Transport,Biofuel (LF),AKL,176.86,145.66,227.59,621.73,1070.51,900.27,817.94
BIO,Transport,Biofuel (LF),BOP,43.23,36.49,59.23,174.34,346.65,345.46,332.21
BIO,Transport,Biofuel (LF),CAN,92.95,76.9,120.68,334.26,595.01,522.95,485.97
BIO,Transport,Biofuel (LF),CEN,30.71,25.23,39.02,105.57,178.92,146.92,132.43
BIO,Transport,Biofuel (LF),GIS,6.05,5.05,8.04,22.96,43.68,41.63,40.41
BIO,Transport,Biofuel (LF),HBY,22.37,18.67,29.71,84.55,159.04,149.5,142.44
BIO,Transport,Biofuel (LF),NEL,25.62,21.66,35.23,103.76,208.76,211.19,210.11
BIO,Transport,Biofuel (LF),NIS,21.78,17.77,27.17,71.84,115.23,86.84,74.38
BIO,Transport,Biofuel (LF),OTG,46.88,38.74,60.65,167.44,296.05,257.87,238.38
BIO,Transport,Biofuel (LF),TRN,15.34,12.68,19.86,54.85,97.19,84.87,79.1
BIO,Transport,Biofuel (LF),WEL,53.07,44.48,71.69,206.44,396.93,383.24,374.05
BIO,Transport,Biofuel (LF),WTO,55.73,45.63,70.29,188.26,311.25,246.35,217.57
