nodesData,years,sourcesink_techs,commodity,usesFixedProfile,usesLowerProfile,usesUpperProfile,usesUpperSum
NEL,2035,Inflow,Water_in,1,0,0,0
NEL,2035,Ocean,Water_out,0,0,1,0
NEL,2035,Slack,Elec,0,1,0,1
NEL,2035,Trucks,Elec,1,0,0,0
NEL,2035,Wholesale,Elec,1,0,0,0
NEL,2050,Demand,H2,0,0,1,1
NEL,2050,Inflow,Water_in,1,0,0,0
NEL,2050,Ocean,Water_out,0,0,1,0
NEL,2050,Slack,Elec,0,1,0,1
NEL,2050,Trucks,Elec,1,0,0,0
NEL,2050,Wholesale,Elec,1,0,0,0
NIS,2020,Demand,H2,0,0,1,1
NIS,2020,Ocean,Water_out,0,0,1,0
NIS,2020,Slack,Elec,0,1,0,1
NIS,2020,Wholesale,Elec,1,0,0,0
NIS,2035,Demand,H2,0,0,1,1
NIS,2035,Ocean,Water_out,0,0,1,0
NIS,2035,Slack,Elec,0,1,0,1
NIS,2035,Trucks,Elec,1,0,0,0
NIS,2035,Wholesale,Elec,1,0,0,0
NIS,2050,Demand,H2,0,0,1,1
NIS,2050,Ocean,Water_out,0,0,1,0
NIS,2050,Slack,Elec,0,1,0,1
NIS,2050,Trucks,Elec,1,0,0,0
NIS,2050,Wholesale,Elec,1,0,0,0
OTG,2020,Demand,H2,0,0,1,1
OTG,2020,Inflow,Water_in,1,0,0,0
OTG,2020,Ocean,Water_out,0,0,1,0
OTG,2020,Slack,Elec,0,1,0,1
OTG,2020,Wholesale,Elec,1,0,0,0
OTG,2035,Demand,H2,0,0,1,1
OTG,2035,Inflow,Water_in,1,0,0,0
OTG,2035,Ocean,Water_out,0,0,1,0
OTG,2035,Slack,Elec,0,1,0,1
OTG,2035,Trucks,Elec,1,0,0,0
OTG,2035,Wholesale,Elec,1,0,0,0
OTG,2050,Demand,H2,0,0,1,1
OTG,2050,Inflow,Water_in,1,0,0,0
OTG,2050,Ocean,Water_out,0,0,1,0
OTG,2050,Slack,Elec,0,1,0,1
OTG,2050,Trucks,Elec,1,0,0,0
OTG,2050,Wholesale,Elec,1,0,0,0
TRN,2020,Demand,H2,0,0,1,1
TRN,2020,Ocean,Water_out,0,0,1,0
TRN,2020,Slack,Elec,0,1,0,1
TRN,2020,Wholesale,Elec,1,0,0,0
TRN,2035,Demand,H2,0,0,1,1
TRN,2035,Ocean,Water_out,0,0,1,0
TRN,2035,Slack,Elec,0,1,0,1
TRN,2035,Trucks,Elec,1,0,0,0
TRN,2035,Wholesale,Elec,1,0,0,0
TRN,2050,Demand,H2,0,0,1,1
TRN,2050,Ocean,Water_out,0,0,1,0
TRN,2050,Slack,Elec,0,1,0,1
TRN,2050,Trucks,Elec,1,0,0,0
TRN,2050,Wholesale,Elec,1,0,0,0
WEL,2020,Demand,H2,0,0,1,1
WEL,2020,Ocean,Water_out,0,0,1,0
WEL,2020,Slack,Elec,0,1,0,1
WEL,2020,Wholesale,Elec,1,0,0,0
WEL,2035,Demand,H2,0,0,1,1
WEL,2035,Ocean,Water_out,0,0,1,0
WEL,2035,Slack,Elec,0,1,0,1
WEL,2035,Trucks,Elec,1,0,0,0
WEL,2035,Wholesale,Elec,1,0,0,0
WEL,2050,Demand,H2,0,0,1,1
WEL,2050,Ocean,Water_out,0,0,1,0
WEL,2050,Slack,Elec,0,1,0,1
WEL,2050,Trucks,Elec,1,0,0,0
WEL,2050,Wholesale,Elec,1,0,0,0
WTO,2020,Demand,H2,0,0,1,1
WTO,2020,Inflow,Water_in,1,0,0,0
WTO,2020,Ocean,Water_out,0,0,1,0
WTO,2020,Slack,Elec,0,1,0,1
WTO,2020,Wholesale,Elec,1,0,0,0
WTO,2035,Demand,H2,0,0,1,1
WTO,2035,Inflow,Water_in,1,0,0,0
WTO,2035,Ocean,Water_out,0,0,1,0
WTO,2035,Slack,Elec,0,1,0,1
WTO,2035,Trucks,Elec,1,0,0,0
WTO,2035,Wholesale,Elec,1,0,0,0
WTO,2050,Demand,H2,0,0,1,1
WTO,2050,Inflow,Water_in,1,0,0,0
WTO,2050,Ocean,Water_out,0,0,1,0
WTO,2050,Slack,Elec,0,1,0,1
WTO,2050,Trucks,Elec,1,0,0,0
WTO,2050,Wholesale,Elec,1,0,0,0
