nodesData,years,converter_techs,unitsBuild,unitsUpperLimit
BOP,1993,BIO,0.0,100.0
BOP,1993,COAL,0.0,100.0
BOP,1993,DIE,0.0,100.0
BOP,1993,geoth,0.0,280.0
BOP,1994,BIO,0.0,100.0
BOP,1994,COAL,0.0,100.0
BOP,1994,DIE,0.0,100.0
BOP,1994,geoth,0.0,280.0
BOP,1995,BIO,0.0,100.0
BOP,1995,COAL,0.0,100.0
BOP,1995,DIE,0.0,100.0
BOP,1995,geoth,0.0,280.0
BOP,1996,BIO,0.0,100.0
BOP,1996,COAL,0.0,100.0
BOP,1996,DIE,0.0,100.0
BOP,1996,geoth,0.0,280.0
BOP,1997,BIO,0.0,100.0
BOP,1997,COAL,0.0,100.0
BOP,1997,DIE,0.0,100.0
BOP,1997,geoth,0.0,280.0
BOP,1998,BIO,0.0,100.0
BOP,1998,COAL,0.0,100.0
BOP,1998,DIE,0.0,100.0
BOP,1998,geoth,0.0,280.0
BOP,1999,BIO,0.0,100.0
BOP,1999,COAL,0.0,100.0
BOP,1999,DIE,0.0,100.0
BOP,1999,geoth,0.0,280.0
BOP,2000,BIO,0.0,100.0
BOP,2000,COAL,0.0,100.0
BOP,2000,DIE,0.0,100.0
BOP,2000,geoth,0.0,280.0
BOP,2001,BIO,0.0,100.0
BOP,2001,COAL,0.0,100.0
BOP,2001,DIE,0.0,100.0
BOP,2001,geoth,0.0,280.0
BOP,2002,BIO,0.0,100.0
BOP,2002,COAL,0.0,100.0
BOP,2002,DIE,0.0,100.0
BOP,2002,geoth,0.0,280.0
BOP,2003,BIO,0.0,100.0
BOP,2003,COAL,0.0,100.0
BOP,2003,DIE,0.0,100.0
BOP,2003,geoth,0.0,280.0
BOP,2004,BIO,0.0,100.0
BOP,2004,COAL,0.0,100.0
BOP,2004,DIE,0.0,100.0
BOP,2004,geoth,0.0,280.0
BOP,2005,BIO,0.0,100.0
BOP,2005,COAL,0.0,100.0
BOP,2005,DIE,0.0,100.0
BOP,2005,geoth,0.0,280.0
BOP,2006,BIO,0.0,100.0
BOP,2006,COAL,0.0,100.0
BOP,2006,DIE,0.0,100.0
BOP,2006,geoth,0.0,280.0
BOP,2007,BIO,0.0,100.0
BOP,2007,COAL,0.0,100.0
BOP,2007,DIE,0.0,100.0
BOP,2007,geoth,0.0,280.0
BOP,2008,BIO,0.0,100.0
BOP,2008,COAL,0.0,100.0
BOP,2008,DIE,0.0,100.0
BOP,2008,geoth,0.0,280.0
BOP,2009,BIO,0.0,100.0
BOP,2009,COAL,0.0,100.0
BOP,2009,DIE,0.0,100.0
BOP,2009,geoth,0.0,280.0
BOP,2010,BIO,0.0,100.0
BOP,2010,COAL,0.0,100.0
BOP,2010,DIE,0.0,100.0
BOP,2010,geoth,0.0,280.0
BOP,2011,BIO,0.0,100.0
BOP,2011,COAL,0.0,100.0
BOP,2011,DIE,0.0,100.0
BOP,2011,geoth,0.0,280.0
BOP,2012,BIO,0.0,100.0
BOP,2012,COAL,0.0,100.0
BOP,2012,DIE,0.0,100.0
BOP,2012,geoth,0.0,280.0
BOP,2013,BIO,0.0,100.0
BOP,2013,COAL,0.0,100.0
BOP,2013,DIE,0.0,100.0
BOP,2013,geoth,0.0,280.0
BOP,2014,BIO,0.0,100.0
BOP,2014,COAL,0.0,100.0
BOP,2014,DIE,0.0,100.0
BOP,2014,geoth,0.0,280.0
BOP,2015,BIO,0.0,100.0
BOP,2015,COAL,0.0,100.0
BOP,2015,DIE,0.0,100.0
BOP,2015,geoth,0.0,280.0
BOP,2016,BIO,0.0,100.0
BOP,2016,COAL,0.0,100.0
BOP,2016,DIE,0.0,100.0
BOP,2016,geoth,0.0,280.0
BOP,2017,BIO,0.0,100.0
BOP,2017,COAL,0.0,100.0
BOP,2017,DIE,0.0,100.0
BOP,2017,geoth,0.0,280.0
BOP,2018,BIO,0.0,100.0
BOP,2018,COAL,0.0,100.0
BOP,2018,DIE,0.0,100.0
BOP,2018,geoth,0.0,280.0
BOP,2019,BIO,0.0,100.0
BOP,2019,COAL,0.0,100.0
BOP,2019,DIE,0.0,100.0
BOP,2019,geoth,0.0,280.0
BOP,2020,BIO,0.0,100.0
BOP,2020,Battery,0.0,50.0
BOP,2020,COAL,0.0,100.0
BOP,2020,DIE,0.0,100.0
BOP,2020,geoth,0.0,280.0
BOP,2020,pv_central_fixed,0.0,237.96793
BOP,2020,pv_central_track_azimuth,0.0,237.94020999999998
BOP,2020,pv_decentral,0.0,0.56348
BOP,2020,wind_offshore_floating,0.0,21.897479999999998
BOP,2020,wind_offshore_foundation,0.0,5.5911800000000005
BOP,2020,wind_onshore,0.0,11.39598
BOP,2021,BIO,0.0,100.0
BOP,2021,COAL,0.0,100.0
BOP,2021,DIE,0.0,100.0
BOP,2021,geoth,0.0,280.0
BOP,2022,BIO,0.0,100.0
BOP,2022,COAL,0.0,100.0
BOP,2022,DIE,0.0,100.0
BOP,2022,geoth,0.0,280.0
BOP,2023,BIO,0.0,100.0
BOP,2023,COAL,0.0,100.0
BOP,2023,DIE,0.0,100.0
BOP,2023,geoth,0.0,280.0
BOP,2024,BIO,0.0,100.0
BOP,2024,COAL,0.0,100.0
BOP,2024,DIE,0.0,100.0
BOP,2024,geoth,0.0,280.0
BOP,2025,BIO,0.0,100.0
BOP,2025,Battery,0.0,50.0
BOP,2025,COAL,0.0,100.0
BOP,2025,DIE,0.0,100.0
BOP,2025,geoth,0.0,280.0
BOP,2025,pv_central_fixed,0.0,237.96793
BOP,2025,pv_central_track_azimuth,0.0,237.94020999999998
BOP,2025,pv_decentral,0.0,0.56348
BOP,2025,wind_offshore_floating,0.0,21.897479999999998
