converter_techs,vintage,activity,commodity,coefficient
Methanizer,2040,Methanizer,CH4,1.0
Methanizer,2040,Methanizer,CO2_feed,-0.2016
Methanizer,2040,Methanizer,Elec,-0.006
Methanizer,2040,Methanizer,H2,-1.284
Methanizer,2050,Methanizer,CH4,1.0
Methanizer,2050,Methanizer,CO2_feed,-0.2016
Methanizer,2050,Methanizer,Elec,-0.006
Methanizer,2050,Methanizer,H2,-1.284
MethanolSyn,2020,Synthesis,CH3OH,1.0
MethanolSyn,2020,Synthesis,CO2_feed,-0.219
MethanolSyn,2020,Synthesis,Elec,-0.1
MethanolSyn,2020,Synthesis,H2,-1.25
pv_central_fixed,2020,Heatgen,Elec,0.0
pv_central_fixed,2020,Heatgen,Heat_CSP,0.0
pv_central_fixed,2020,Powergen,Elec,1.0
pv_central_fixed,2020,Powergen,Heat_CSP,0.0
pv_central_fixed,2030,Heatgen,Elec,0.0
pv_central_fixed,2030,Heatgen,Heat_CSP,0.0
pv_central_fixed,2030,Powergen,Elec,1.0
pv_central_fixed,2030,Powergen,Heat_CSP,0.0
pv_central_fixed,2040,Heatgen,Elec,0.0
pv_central_fixed,2040,Heatgen,Heat_CSP,0.0
pv_central_fixed,2040,Powergen,Elec,1.0
pv_central_fixed,2040,Powergen,Heat_CSP,0.0
pv_central_fixed,2050,Heatgen,Elec,0.0
pv_central_fixed,2050,Heatgen,Heat_CSP,0.0
pv_central_fixed,2050,Powergen,Elec,1.0
pv_central_fixed,2050,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2020,Heatgen,Elec,0.0
pv_central_track_azimuth,2020,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2020,Powergen,Elec,1.0
pv_central_track_azimuth,2020,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2030,Heatgen,Elec,0.0
pv_central_track_azimuth,2030,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2030,Powergen,Elec,1.0
pv_central_track_azimuth,2030,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2040,Heatgen,Elec,0.0
pv_central_track_azimuth,2040,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2040,Powergen,Elec,1.0
pv_central_track_azimuth,2040,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2050,Heatgen,Elec,0.0
pv_central_track_azimuth,2050,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2050,Powergen,Elec,1.0
pv_central_track_azimuth,2050,Powergen,Heat_CSP,0.0
pv_decentral,2020,Heatgen,Elec,0.0
pv_decentral,2020,Heatgen,Heat_CSP,0.0
pv_decentral,2020,Powergen,Elec,1.0
pv_decentral,2020,Powergen,Heat_CSP,0.0
pv_decentral,2030,Heatgen,Elec,0.0
pv_decentral,2030,Heatgen,Heat_CSP,0.0
pv_decentral,2030,Powergen,Elec,1.0
pv_decentral,2030,Powergen,Heat_CSP,0.0
pv_decentral,2040,Heatgen,Elec,0.0
pv_decentral,2040,Heatgen,Heat_CSP,0.0
pv_decentral,2040,Powergen,Elec,1.0
pv_decentral,2040,Powergen,Heat_CSP,0.0
pv_decentral,2050,Heatgen,Elec,0.0
pv_decentral,2050,Heatgen,Heat_CSP,0.0
pv_decentral,2050,Powergen,Elec,1.0
pv_decentral,2050,Powergen,Heat_CSP,0.0
wind_offshore_floating,2020,Heatgen,Elec,0.0
wind_offshore_floating,2020,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2020,Powergen,Elec,1.0
wind_offshore_floating,2020,Powergen,Heat_CSP,0.0
wind_offshore_floating,2030,Heatgen,Elec,0.0
wind_offshore_floating,2030,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2030,Powergen,Elec,1.0
wind_offshore_floating,2030,Powergen,Heat_CSP,0.0
wind_offshore_floating,2040,Heatgen,Elec,0.0
wind_offshore_floating,2040,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2040,Powergen,Elec,1.0
wind_offshore_floating,2040,Powergen,Heat_CSP,0.0
wind_offshore_floating,2050,Heatgen,Elec,0.0
wind_offshore_floating,2050,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2050,Powergen,Elec,1.0
wind_offshore_floating,2050,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2020,Heatgen,Elec,0.0
wind_offshore_foundation,2020,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2020,Powergen,Elec,1.0
wind_offshore_foundation,2020,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2030,Heatgen,Elec,0.0
wind_offshore_foundation,2030,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2030,Powergen,Elec,1.0
wind_offshore_foundation,2030,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2040,Heatgen,Elec,0.0
wind_offshore_foundation,2040,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2040,Powergen,Elec,1.0
wind_offshore_foundation,2040,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2050,Heatgen,Elec,0.0
wind_offshore_foundation,2050,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2050,Powergen,Elec,1.0
wind_offshore_foundation,2050,Powergen,Heat_CSP,0.0
wind_onshore,2020,Heatgen,Elec,0.0
wind_onshore,2020,Heatgen,Heat_CSP,0.0
wind_onshore,2020,Powergen,Elec,1.0
wind_onshore,2020,Powergen,Heat_CSP,0.0
wind_onshore,2030,Heatgen,Elec,0.0
wind_onshore,2030,Heatgen,Heat_CSP,0.0
wind_onshore,2030,Powergen,Elec,1.0
wind_onshore,2030,Powergen,Heat_CSP,0.0
wind_onshore,2040,Heatgen,Elec,0.0
wind_onshore,2040,Heatgen,Heat_CSP,0.0
wind_onshore,2040,Powergen,Elec,1.0
wind_onshore,2040,Powergen,Heat_CSP,0.0
wind_onshore,2050,Heatgen,Elec,0.0
wind_onshore,2050,Heatgen,Heat_CSP,0.0
wind_onshore,2050,Powergen,Elec,1.0
wind_onshore,2050,Powergen,Heat_CSP,0.0
