nodesData,years,converter_techs,unitsBuild,unitsUpperLimit,noExpansion
AKL,2050,GT,0.0,100.0,0
AKL,2050,H2_CCGT,0.0,100.0,0
AKL,2050,H2_FC,0.0,100.0,0
AKL,2050,H2_storage,0.0,50.0,0
AKL,2050,OCGT,0.0,100.0,0
AKL,2050,pv_central_fixed,0.0,180.66817,0
AKL,2050,pv_central_track_azimuth,0.0,180.66817,0
AKL,2050,pv_decentral,0.0,2.2025300000000003,0
AKL,2050,wind_offshore_floating,0.0,34.72203,0
AKL,2050,wind_offshore_foundation,0.0,12.56432,0
AKL,2050,wind_onshore,0.0,7.56917,0
BOP,1966,GT,0.037,inf,0
BOP,1966,geoth,0.008,0.0,0
BOP,1989,geoth,0.006,0.0,0
BOP,1996,OCGT,0.01,inf,0
BOP,2000,Hydro,0.17095,inf,1
BOP,2008,geoth,0.115,0.0,0
BOP,2013,geoth,0.021,0.0,0
BOP,2018,geoth,0.025,0.0,0
BOP,2020,BIO,0.0,100.0,1
BOP,2020,Battery,0.0,50.0,0
BOP,2020,CCGT,0.0,100.0,1
BOP,2020,COAL,0.0,100.0,1
BOP,2020,DIE,0.0,100.0,1
BOP,2020,Electrolyser,0.0,100.0,0
BOP,2020,GT,0.0,100.0,1
BOP,2020,H2_CCGT,0.0,100.0,0
BOP,2020,H2_FC,0.0,100.0,0
BOP,2020,H2_storage,0.0,50.0,0
BOP,2020,Hydro,0.0,inf,1
BOP,2020,OCGT,0.0,100.0,1
BOP,2020,geoth,0.0,100.0,1
BOP,2020,pv_central_fixed,0.0,237.96793,1
BOP,2020,pv_central_track_azimuth,0.0,237.94020999999998,1
BOP,2020,pv_decentral,0.0,0.56348,1
BOP,2020,wind_offshore_floating,0.0,21.897479999999998,1
BOP,2020,wind_offshore_foundation,0.0,5.5911800000000005,1
BOP,2020,wind_onshore,0.0,11.39598,1
BOP,2025,BIO,0.0,100.0,0
BOP,2025,CCGT,0.0,100.0,0
BOP,2025,COAL,0.0,100.0,0
BOP,2025,DIE,0.0,100.0,0
BOP,2025,Electrolyser,0.0,100.0,0
BOP,2025,GT,0.0,100.0,0
BOP,2025,H2_CCGT,0.0,100.0,0
BOP,2025,H2_FC,0.0,100.0,0
BOP,2025,Hydro,0.0,inf,1
BOP,2025,OCGT,0.0,100.0,0
BOP,2025,geoth,0.0,100.0,1
BOP,2025,pv_central_fixed,0.0,237.96793,0
BOP,2025,pv_central_track_azimuth,0.0,237.94020999999998,0
BOP,2025,pv_decentral,0.0,0.56348,0
BOP,2025,wind_offshore_floating,0.0,21.897479999999998,0
BOP,2025,wind_offshore_foundation,0.0,5.5911800000000005,0
BOP,2025,wind_onshore,0.0,11.39598,0
BOP,2030,BIO,0.0,100.0,0
BOP,2030,Battery,0.0,50.0,0
BOP,2030,CCGT,0.0,100.0,0
BOP,2030,COAL,0.0,100.0,0
BOP,2030,DIE,0.0,100.0,0
BOP,2030,Electrolyser,0.0,100.0,0
BOP,2030,GT,0.0,100.0,0
BOP,2030,H2_CCGT,0.0,100.0,0
BOP,2030,H2_FC,0.0,100.0,0
BOP,2030,Hydro,0.0,inf,1
BOP,2030,OCGT,0.0,100.0,0
BOP,2030,geoth,0.0,100.0,1
BOP,2030,pv_central_fixed,0.0,237.96793,0
BOP,2030,pv_central_track_azimuth,0.0,237.94020999999998,0
BOP,2030,pv_decentral,0.0,0.56348,0
