converter_techs,vintage,activity,commodity,coefficient
pv_decentral,2040,Heatgen,Elec,0.0
pv_decentral,2040,Heatgen,Heat_CSP,0.0
pv_decentral,2040,Powergen,Elec,1.0
pv_decentral,2040,Powergen,Heat_CSP,0.0
pv_decentral,2050,Heatgen,Elec,0.0
pv_decentral,2050,Heatgen,Heat_CSP,0.0
pv_decentral,2050,Powergen,Elec,1.0
pv_decentral,2050,Powergen,Heat_CSP,0.0
wind_offshore_floating,2020,Heatgen,Elec,0.0
wind_offshore_floating,2020,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2020,Powergen,Elec,1.0
wind_offshore_floating,2020,Powergen,Heat_CSP,0.0
wind_offshore_floating,2030,Heatgen,Elec,0.0
wind_offshore_floating,2030,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2030,Powergen,Elec,1.0
wind_offshore_floating,2030,Powergen,Heat_CSP,0.0
wind_offshore_floating,2040,Heatgen,Elec,0.0
wind_offshore_floating,2040,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2040,Powergen,Elec,1.0
wind_offshore_floating,2040,Powergen,Heat_CSP,0.0
wind_offshore_floating,2050,Heatgen,Elec,0.0
wind_offshore_floating,2050,Heatgen,Heat_CSP,0.0
wind_offshore_floating,2050,Powergen,Elec,1.0
wind_offshore_floating,2050,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2020,Heatgen,Elec,0.0
wind_offshore_foundation,2020,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2020,Powergen,Elec,1.0
wind_offshore_foundation,2020,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2030,Heatgen,Elec,0.0
wind_offshore_foundation,2030,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2030,Powergen,Elec,1.0
wind_offshore_foundation,2030,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2040,Heatgen,Elec,0.0
wind_offshore_foundation,2040,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2040,Powergen,Elec,1.0
wind_offshore_foundation,2040,Powergen,Heat_CSP,0.0
wind_offshore_foundation,2050,Heatgen,Elec,0.0
wind_offshore_foundation,2050,Heatgen,Heat_CSP,0.0
wind_offshore_foundation,2050,Powergen,Elec,1.0
wind_offshore_foundation,2050,Powergen,Heat_CSP,0.0
wind_onshore,2020,Heatgen,Elec,0.0
wind_onshore,2020,Heatgen,Heat_CSP,0.0
wind_onshore,2020,Powergen,Elec,1.0
wind_onshore,2020,Powergen,Heat_CSP,0.0
wind_onshore,2030,Heatgen,Elec,0.0
wind_onshore,2030,Heatgen,Heat_CSP,0.0
wind_onshore,2030,Powergen,Elec,1.0
wind_onshore,2030,Powergen,Heat_CSP,0.0
wind_onshore,2040,Heatgen,Elec,0.0
wind_onshore,2040,Heatgen,Heat_CSP,0.0
wind_onshore,2040,Powergen,Elec,1.0
wind_onshore,2040,Powergen,Heat_CSP,0.0
wind_onshore,2050,Heatgen,Elec,0.0
wind_onshore,2050,Heatgen,Heat_CSP,0.0
wind_onshore,2050,Powergen,Elec,1.0
wind_onshore,2050,Powergen,Heat_CSP,0.0
