,,,,usesFixedProfile,usesLowerProfile,usesUpperProfile,usesFixedSum,usesLowerSum,usesUpperSum,scaleFixProfileWithFixSum,scaleLowProfileWithLowSum,scaleUpProfileWithUpSum
CAN,2050,FuelImport,LF_bio,,,1,,0,1,,,
CAN,2050,Heat,CH4,,,1,,0,1,,,
CAN,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
CAN,2050,Inflow,Water_in,1,,,,,,,,
CAN,2050,Ocean,Water_out,,,1,,,,,,
CAN,2050,Transport,CH4,,,1,,0,1,,,
CAN,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
CAN,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
CAN,2050,Transport,H2,,,1,,0,1,,,
CAN,2050,Transport,REfuel,,,1,,0,1,,,
CEN,2020,Inflow,Water_in,1,,,,,,,,
CEN,2030,Inflow,Water_in,1,,,,,,,,
CEN,2040,Inflow,Water_in,1,,,,,,,,
CEN,2050,All,Elec,1,,,,,,,,
CEN,2050,FuelImport,Gas_bio,,,1,,0,1,,,
CEN,2050,FuelImport,LF_bio,,,1,,0,1,,,
CEN,2050,Heat,CH4,,,1,,0,1,,,
CEN,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
CEN,2050,Inflow,Water_in,1,,,,,,,,
CEN,2050,Ocean,Water_out,,,1,,,,,,
CEN,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
CEN,2050,Transport,H2,,,1,,0,1,,,
CEN,2050,Transport,REfuel,,,1,,0,1,,,
HBY,2020,Inflow,Water_in,1,,,,,,,,
HBY,2030,Inflow,Water_in,1,,,,,,,,
HBY,2040,Inflow,Water_in,1,,,,,,,,
HBY,2050,All,Elec,1,,,,,,,,
HBY,2050,FuelImport,Gas_bio,,,1,,0,1,,,
HBY,2050,FuelImport,LF_bio,,,1,,0,1,,,
HBY,2050,Heat,CH4,,,1,,0,1,,,
HBY,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
HBY,2050,Inflow,Water_in,1,,,,,,,,
HBY,2050,Ocean,Water_out,,,1,,,,,,
HBY,2050,Transport,CH4,,,1,,0,1,,,
HBY,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
HBY,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
HBY,2050,Transport,H2,,,1,,0,1,,,
HBY,2050,Transport,REfuel,,,1,,0,1,,,
NEL,2020,Inflow,Water_in,1,,,,,,,,
NEL,2030,Inflow,Water_in,1,,,,,,,,
NEL,2040,Inflow,Water_in,1,,,,,,,,
NEL,2050,All,Elec,1,,,,,,,,
NEL,2050,FuelImport,Gas_bio,,,1,,0,1,,,
NEL,2050,FuelImport,LF_bio,,,1,,0,1,,,
NEL,2050,FuelImport,Wood,,,1,,0,1,,,
NEL,2050,Heat,CH4,,,1,,0,1,,,
NEL,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
NEL,2050,Heat,FuelService_Wood,,,1,,0,1,,,
NEL,2050,Inflow,Water_in,1,,,,,,,,
NEL,2050,Ocean,Water_out,,,1,,,,,,
NEL,2050,Transport,CH4,,,1,,0,1,,,
NEL,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
NEL,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
NEL,2050,Transport,H2,,,1,,0,1,,,
NEL,2050,Transport,REfuel,,,1,,0,1,,,
NIS,2050,All,Elec,1,,,,,,,,
NIS,2050,FuelImport,Gas_bio,,,1,,0,1,,,
NIS,2050,FuelImport,LF_bio,,,1,,0,1,,,
NIS,2050,FuelImport,Wood,,,1,,0,1,,,
NIS,2050,Heat,CH4,,,1,,0,1,,,
NIS,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
NIS,2050,Heat,FuelService_Wood,,,1,,0,1,,,
NIS,2050,Ocean,Water_out,,,1,,,,,,
NIS,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
NIS,2050,Transport,H2,,,1,,0,1,,,
NIS,2050,Transport,REfuel,,,1,,0,1,,,
OTG,2020,Inflow,Water_in,1,,,,,,,,
OTG,2030,Inflow,Water_in,1,,,,,,,,
OTG,2040,Inflow,Water_in,1,,,,,,,,
OTG,2050,All,Elec,1,,,,,,,,
OTG,2050,FuelImport,Gas_bio,,,1,,0,1,,,
OTG,2050,FuelImport,LF_bio,,,1,,0,1,,,
OTG,2050,Heat,CH4,,,1,,0,1,,,
OTG,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
OTG,2050,Inflow,Water_in,1,,,,,,,,
OTG,2050,Ocean,Water_out,,,1,,,,,,
OTG,2050,Transport,CH4,,,1,,0,1,,,
OTG,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
OTG,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
OTG,2050,Transport,H2,,,1,,0,1,,,
OTG,2050,Transport,REfuel,,,1,,0,1,,,
TRN,2050,All,Elec,1,,,,,,,,
TRN,2050,FuelImport,Gas_bio,,,1,,0,1,,,
TRN,2050,FuelImport,LF_bio,,,1,,0,1,,,
TRN,2050,Heat,CH4,,,1,,0,1,,,
TRN,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
TRN,2050,Ocean,Water_out,,,1,,,,,,
TRN,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
TRN,2050,Transport,H2,,,1,,0,1,,,
TRN,2050,Transport,REfuel,,,1,,0,1,,,
WEL,2050,All,Elec,1,,,,,,,,
WEL,2050,FuelImport,Gas_bio,,,1,,0,1,,,
WEL,2050,FuelImport,LF_bio,,,1,,0,1,,,
WEL,2050,Heat,CH4,,,1,,0,1,,,
WEL,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
WEL,2050,Ocean,Water_out,,,1,,,,,,
WEL,2050,Transport,CH4,,,1,,0,1,,,
WEL,2050,Transport,FuelService_Gas_bio,,,1,,0,1,,,
WEL,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
WEL,2050,Transport,H2,,,1,,0,1,,,
WEL,2050,Transport,REfuel,,,1,,0,1,,,
WTO,2020,Inflow,Water_in,1,,,,,,,,
WTO,2030,Inflow,Water_in,1,,,,,,,,
WTO,2040,Inflow,Water_in,1,,,,,,,,
WTO,2050,All,Elec,1,,,,,,,,
WTO,2050,FuelImport,Gas_bio,,,1,,0,1,,,
WTO,2050,FuelImport,LF_bio,,,1,,0,1,,,
WTO,2050,FuelImport,Wood,,,1,,0,1,,,
WTO,2050,Heat,CH4,,,1,,0,1,,,
WTO,2050,Heat,FuelService_Gas_bio,,,1,,0,1,,,
WTO,2050,Heat,FuelService_Wood,,,1,,0,1,,,
WTO,2050,Inflow,Water_in,1,,,,,,,,
WTO,2050,Ocean,Water_out,,,1,,,,,,
WTO,2050,Transport,FuelService_LF_bio,,,1,,0,1,,,
WTO,2050,Transport,H2,,,1,,0,1,,,
WTO,2050,Transport,REfuel,,,1,,0,1,,,
