,,,,coefficient,constant,minLoad,maxLoad,delay
H2_storage,2020,Charge,Elec,-0.04335,,,,
H2_storage,2020,Charge,H2,-0.15,,,,
H2_storage,2020,Charge,H2_stored,0.1335,,,,
H2_storage,2020,Discharge,Elec,,,,,
H2_storage,2020,Discharge,H2,0.15,,,,
H2_storage,2020,Discharge,H2_stored,-0.1665,,,,
H2_storage,2035,Charge,Elec,-0.03547,,,,
H2_storage,2035,Charge,H2,-0.15,,,,
H2_storage,2035,Charge,H2_stored,0.1335,,,,
H2_storage,2035,Discharge,Elec,,,,,
H2_storage,2035,Discharge,H2,0.15,,,,
H2_storage,2035,Discharge,H2_stored,-0.1665,,,,
H2_storage,2050,Charge,Elec,-0.03153,,,,
H2_storage,2050,Charge,H2,-0.15,,,,
H2_storage,2050,Charge,H2_stored,0.1335,,,,
H2_storage,2050,Discharge,Elec,,,,,
H2_storage,2050,Discharge,H2,0.15,,,,
H2_storage,2050,Discharge,H2_stored,-0.1665,,,,
Hydro,1950,Power_gen,Elec,1,,,,
Hydro,1950,Power_gen,Water_in,-0.95,,,,
Hydro,1950,Power_gen,Water_out,0.95,,,,
Hydro,1950,Spill,Elec,,,,,
Hydro,1950,Spill,Water_in,-100,,,,
Hydro,1950,Spill,Water_out,100,,,,
Methanizer,2020,Methanizer,CH4,1,,,,
Methanizer,2020,Methanizer,CO2_feed,-0.2016,,,,
Methanizer,2020,Methanizer,Elec,-0.006,,,,
Methanizer,2020,Methanizer,H2,-1.284,,,,
Methanizer,2030,Methanizer,CH4,1,,,,
Methanizer,2030,Methanizer,CO2_feed,-0.2016,,,,
Methanizer,2030,Methanizer,Elec,-0.006,,,,
Methanizer,2030,Methanizer,H2,-1.284,,,,
Methanizer,2040,Methanizer,CH4,1,,,,
Methanizer,2040,Methanizer,CO2_feed,-0.2016,,,,
Methanizer,2040,Methanizer,Elec,-0.006,,,,
Methanizer,2040,Methanizer,H2,-1.284,,,,
Methanizer,2050,Methanizer,CH4,1,,,,
Methanizer,2050,Methanizer,CO2_feed,-0.2016,,,,
Methanizer,2050,Methanizer,Elec,-0.006,,,,
Methanizer,2050,Methanizer,H2,-1.284,,,,
OCGT,1950,Powergen,Elec,1,,,,
OCGT,2030,Powergen,Elec,1,,,,
geoth,1950,Powergen,Elec,1,,,,
pv_central_fixed,1950,Powergen,Elec,1,,,,
pv_central_fixed,2030,Powergen,Elec,1,,,,
pv_central_fixed,2040,Powergen,Elec,1,,,,
pv_central_fixed,2050,Powergen,Elec,1,,,,
pv_decentral,1950,Powergen,Elec,1,,,,
pv_decentral,2030,Powergen,Elec,1,,,,
pv_decentral,2040,Powergen,Elec,1,,,,
pv_decentral,2050,Powergen,Elec,1,,,,
wind_offshore_floating,1950,Powergen,Elec,1,,,,
wind_offshore_floating,2030,Powergen,Elec,1,,,,
wind_offshore_floating,2040,Powergen,Elec,1,,,,
wind_offshore_floating,2050,Powergen,Elec,1,,,,
wind_offshore_foundation,1950,Powergen,Elec,1,,,,
wind_offshore_foundation,2030,Powergen,Elec,1,,,,
wind_offshore_foundation,2040,Powergen,Elec,1,,,,
wind_offshore_foundation,2050,Powergen,Elec,1,,,,
wind_onshore,1950,Powergen,Elec,1,,,,
wind_onshore,2030,Powergen,Elec,1,,,,
wind_onshore,2040,Powergen,Elec,1,,,,
wind_onshore,2050,Powergen,Elec,1,,,,
