nodesData,years,converter_techs,unitsUpperLimit
HBY,2050,pv_central_track_azimuth,259.19598
HBY,2050,pv_decentral,0.26427
HBY,2050,wind_offshore_floating,15.6443
HBY,2050,wind_offshore_foundation,5.5832
HBY,2050,wind_onshore,10.3033
NEL,2020,Battery,50.0
NEL,2020,pv_central_fixed,476.71375
NEL,2020,pv_central_track_azimuth,476.36665000000005
NEL,2020,pv_decentral,0.32797000000000004
NEL,2020,wind_offshore_floating,92.84245
NEL,2020,wind_offshore_foundation,13.34661
NEL,2020,wind_onshore,14.757959999999999
NEL,2025,Battery,50.0
NEL,2025,pv_central_fixed,476.71375
NEL,2025,pv_central_track_azimuth,476.36665000000005
NEL,2025,pv_decentral,0.32797000000000004
NEL,2025,wind_offshore_floating,92.84245
NEL,2025,wind_offshore_foundation,13.34661
NEL,2025,wind_onshore,14.757959999999999
NEL,2030,Battery,50.0
NEL,2030,pv_central_fixed,476.71375
NEL,2030,pv_central_track_azimuth,476.36665000000005
NEL,2030,pv_decentral,0.32797000000000004
NEL,2030,wind_offshore_floating,92.84245
NEL,2030,wind_offshore_foundation,13.34661
NEL,2030,wind_onshore,14.757959999999999
NEL,2035,Battery,50.0
NEL,2035,pv_central_fixed,476.71375
NEL,2035,pv_central_track_azimuth,476.36665000000005
NEL,2035,pv_decentral,0.32797000000000004
NEL,2035,wind_offshore_floating,92.84245
NEL,2035,wind_offshore_foundation,13.34661
NEL,2035,wind_onshore,14.757959999999999
NEL,2040,Battery,50.0
NEL,2040,pv_central_fixed,476.71375
NEL,2040,pv_central_track_azimuth,476.36665000000005
NEL,2040,pv_decentral,0.32797000000000004
NEL,2040,wind_offshore_floating,92.84245
NEL,2040,wind_offshore_foundation,13.34661
NEL,2040,wind_onshore,14.757959999999999
NEL,2045,Battery,50.0
NEL,2045,pv_central_fixed,476.71375
NEL,2045,pv_central_track_azimuth,476.36665000000005
NEL,2045,pv_decentral,0.32797000000000004
NEL,2045,wind_offshore_floating,92.84245
NEL,2045,wind_offshore_foundation,13.34661
NEL,2045,wind_onshore,14.757959999999999
NEL,2050,Battery,50.0
NEL,2050,pv_central_fixed,476.71375
NEL,2050,pv_central_track_azimuth,476.36665000000005
NEL,2050,pv_decentral,0.32797000000000004
NEL,2050,wind_offshore_floating,92.84245
NEL,2050,wind_offshore_foundation,13.34661
NEL,2050,wind_onshore,14.757959999999999
NIS,2020,Battery,50.0
NIS,2020,pv_central_fixed,240.13779
NIS,2020,pv_central_track_azimuth,240.13779
NIS,2020,pv_decentral,0.21621
NIS,2020,wind_offshore_floating,46.9103
NIS,2020,wind_offshore_foundation,4.8413
NIS,2020,wind_onshore,9.92282
NIS,2025,Battery,50.0
NIS,2025,pv_central_fixed,240.13779
NIS,2025,pv_central_track_azimuth,240.13779
NIS,2025,pv_decentral,0.21621
NIS,2025,wind_offshore_floating,46.9103
NIS,2025,wind_offshore_foundation,4.8413
NIS,2025,wind_onshore,9.92282
NIS,2030,Battery,50.0
NIS,2030,pv_central_fixed,240.13779
NIS,2030,pv_central_track_azimuth,240.13779
NIS,2030,pv_decentral,0.21621
NIS,2030,wind_offshore_floating,46.9103
NIS,2030,wind_offshore_foundation,4.8413
NIS,2030,wind_onshore,9.92282
NIS,2035,Battery,50.0
NIS,2035,pv_central_fixed,240.13779
NIS,2035,pv_central_track_azimuth,240.13779
NIS,2035,pv_decentral,0.21621
NIS,2035,wind_offshore_floating,46.9103
NIS,2035,wind_offshore_foundation,4.8413
NIS,2035,wind_onshore,9.92282
NIS,2040,Battery,50.0
NIS,2040,pv_central_fixed,240.13779
NIS,2040,pv_central_track_azimuth,240.13779
NIS,2040,pv_decentral,0.21621
NIS,2040,wind_offshore_floating,46.9103
NIS,2040,wind_offshore_foundation,4.8413
NIS,2040,wind_onshore,9.92282
NIS,2045,Battery,50.0
NIS,2045,pv_central_fixed,240.13779
NIS,2045,pv_central_track_azimuth,240.13779
NIS,2045,pv_decentral,0.21621
NIS,2045,wind_offshore_floating,46.9103
NIS,2045,wind_offshore_foundation,4.8413
NIS,2045,wind_onshore,9.92282
NIS,2050,Battery,50.0
NIS,2050,pv_central_fixed,240.13779
NIS,2050,pv_central_track_azimuth,240.13779
NIS,2050,pv_decentral,0.21621
NIS,2050,wind_offshore_floating,46.9103
NIS,2050,wind_offshore_foundation,4.8413
NIS,2050,wind_onshore,9.92282
OTG,2020,Battery,50.0
OTG,2020,pv_central_fixed,1165.37525
OTG,2020,pv_central_track_azimuth,1152.8751499999998
OTG,2020,pv_decentral,0.48821
OTG,2020,wind_offshore_floating,156.56917
OTG,2020,wind_offshore_foundation,9.93186
OTG,2020,wind_onshore,34.969080000000005
OTG,2025,Battery,50.0
OTG,2025,pv_central_fixed,1165.37525
OTG,2025,pv_central_track_azimuth,1152.8751499999998
OTG,2025,pv_decentral,0.48821
OTG,2025,wind_offshore_floating,156.56917
OTG,2025,wind_offshore_foundation,9.93186
OTG,2025,wind_onshore,34.969080000000005
OTG,2030,Battery,50.0
OTG,2030,pv_central_fixed,1165.37525
OTG,2030,pv_central_track_azimuth,1152.8751499999998
OTG,2030,pv_decentral,0.48821
OTG,2030,wind_offshore_floating,156.56917
OTG,2030,wind_offshore_foundation,9.93186
OTG,2030,wind_onshore,34.969080000000005
OTG,2035,Battery,50.0
OTG,2035,pv_central_fixed,1165.37525
OTG,2035,pv_central_track_azimuth,1152.8751499999998
OTG,2035,pv_decentral,0.48821
OTG,2035,wind_offshore_floating,156.56917
OTG,2035,wind_offshore_foundation,9.93186
OTG,2035,wind_onshore,34.969080000000005
OTG,2040,Battery,50.0
OTG,2040,pv_central_fixed,1165.37525
OTG,2040,pv_central_track_azimuth,1152.8751499999998
OTG,2040,pv_decentral,0.48821
OTG,2040,wind_offshore_floating,156.56917
OTG,2040,wind_offshore_foundation,9.93186
OTG,2040,wind_onshore,34.969080000000005
OTG,2045,Battery,50.0
OTG,2045,pv_central_fixed,1165.37525
OTG,2045,pv_central_track_azimuth,1152.8751499999998
OTG,2045,pv_decentral,0.48821
OTG,2045,wind_offshore_floating,156.56917
OTG,2045,wind_offshore_foundation,9.93186
OTG,2045,wind_onshore,34.969080000000005
OTG,2050,Battery,50.0
OTG,2050,pv_central_fixed,1165.37525
OTG,2050,pv_central_track_azimuth,1152.8751499999998
OTG,2050,pv_decentral,0.48821
OTG,2050,wind_offshore_floating,156.56917
OTG,2050,wind_offshore_foundation,9.93186
OTG,2050,wind_onshore,34.969080000000005
TRN,2020,Battery,50.0
TRN,2020,pv_central_fixed,155.54731
TRN,2020,pv_central_track_azimuth,155.54731
TRN,2020,pv_decentral,0.26493
TRN,2020,wind_offshore_floating,70.73452999999999
TRN,2020,wind_offshore_foundation,8.922930000000001
TRN,2020,wind_onshore,6.6179499999999996
TRN,2025,Battery,50.0
TRN,2025,pv_central_fixed,155.54731
TRN,2025,pv_central_track_azimuth,155.54731
TRN,2025,pv_decentral,0.26493
TRN,2025,wind_offshore_floating,70.73452999999999
TRN,2025,wind_offshore_foundation,8.922930000000001
TRN,2025,wind_onshore,6.6179499999999996
TRN,2030,Battery,50.0
