,demand_R1,PV,WindOnshore,demand_R2,demand_R4,demand_R3
t3851,64131,14171,2549,57717,44891,9619
t3852,65868,15273,2830,59281,46107,9880
t3853,65441,15784,2957,58896,45808,9816
t3854,64659,15428,2953,58193,45261,9698
t3855,63059,14743,2884,56753,44141,9458
t3856,62049,13329,3094,55844,43434,9307
t3857,60949,10911,3364,54854,42664,9142
t3858,60591,7973,3599,54531,42413,9088
t3859,60133,5013,3940,54119,42093,9019
t3860,59941,2393,4138,53946,41958,8991
t3861,57961,652,3819,52164,40572,8694
t3862,55741,51,4141,50166,39018,8361
t3863,53254,0,4742,47928,37277,7988
t3864,47878,0,4963,43090,33514,7181
t3865,44006,0,4781,39605,30804,6600
t3866,42490,0,4308,38241,29742,6373
t3867,41553,0,3920,37397,29087,6232
t3868,41636,0,3712,37472,29145,6245
t3869,42691,40,3391,38421,29883,6403
t3870,45642,589,3123,41077,31949,6846
t3871,53881,2304,2623,48492,37716,8082
t3872,59525,5480,1690,53572,41667,8928
t3873,62270,9846,1133,56043,43589,9340
t3874,63512,13878,1117,57160,44458,9526
t3875,64707,16433,1334,58236,45294,9706
t3876,65823,17892,1513,59240,46076,9873
t3877,65082,18701,1488,58573,45557,9762
t3878,64802,18858,1479,58321,45361,9720
t3879,63556,18118,1503,57200,44489,9533
t3880,62343,16380,1564,56108,43640,9351
t3881,61108,13552,1751,54997,42775,9166
t3882,60365,10193,1882,54328,42255,9054
t3883,60192,6255,2011,54172,42134,9028
t3884,59727,2913,2179,53754,41808,8959
t3885,57140,799,2390,51426,39998,8571
t3886,55013,60,3076,49511,38509,8251
t3887,53074,0,3764,47766,37151,7961
t3888,48381,0,4036,43542,33866,7257
t3889,44902,0,4043,40411,31431,6735
t3890,42642,0,3999,38377,29849,6396
t3891,41822,0,3856,37639,29275,6273
t3892,42006,0,3779,37805,29404,6300
t3893,42768,48,3731,38491,29937,6415
t3894,45425,615,3748,40882,31797,6813
t3895,53411,2703,3449,48069,37387,8011
t3896,59584,6394,2494,53625,41708,8937
t3897,62851,11288,1326,56565,43995,9427
t3898,63901,16265,958,57510,44730,9585
t3899,65086,19851,808,58577,45560,9762
t3900,65885,22337,682,59296,46119,9882
t3901,65538,23506,605,58984,45876,9830
t3902,64201,23128,655,57780,44940,9630
t3903,62654,21558,773,56388,43857,9398
t3904,61659,18699,902,55493,43161,9248
t3905,60309,14493,1148,54278,42216,9046
t3906,60081,10010,1545,54072,42056,9012
t3907,59232,5661,1882,53308,41462,8884
t3908,58211,2505,2018,52389,40747,8731
t3909,54955,678,2475,49459,38468,8243
t3910,52842,51,2842,47557,36989,7926
t3911,51090,0,3716,45981,35763,7663
t3912,47137,0,4306,42423,32995,7070
t3913,43701,0,4351,39330,30590,6555
t3914,41229,0,4336,37106,28860,6184
t3915,40269,0,4471,36242,28188,6040
t3916,39857,0,4268,35871,27899,5978
t3917,39818,31,4080,35836,27872,5972
t3918,39672,571,3996,35704,27770,5950
t3919,42208,2306,3562,37987,29545,6331
t3920,46329,4861,3017,41696,32430,6949
t3921,50055,7903,2722,45049,35038,7508
t3922,52811,10875,2543,47529,36967,7921
t3923,55082,13414,2583,49573,38557,8262
t3924,55495,14714,3488,49945,38846,8324
t3925,55092,15295,4650,49582,38564,8263
t3926,52781,15369,5852,47502,36946,7917
t3927,51074,15157,7325,45966,35751,7661
t3928,50273,14041,7951,45245,35191,7540
t3929,49828,11632,8850,44845,34879,7474
t3930,49948,8576,9261,44953,34963,7492
t3931,49444,5300,9864,44499,34610,7416
t3932,48319,2572,9393,43487,33823,7247
t3933,46017,663,8163,41415,32211,6902
t3934,44850,39,7963,40365,31394,6727
t3935,44603,0,7544,40142,31222,6690
t3936,41587,0,7220,37428,29110,6238
t3937,38385,0,7605,34546,26869,5757
t3938,36486,0,7404,32837,25540,5472
t3939,34957,0,7063,31461,24469,5243
t3940,34181,0,7013,30762,23926,5127
t3941,33917,33,6618,30525,23741,5087
t3942,33594,557,6354,30234,23515,5039
t3943,34629,2326,5527,31166,24240,5194
t3944,37410,5444,4642,33669,26187,5611
t3945,41111,9362,4320,36999,28777,6166
t3946,44096,13350,4414,39686,30867,6614
t3947,46214,16300,4019,41592,32349,6932
t3948,48478,18245,3621,43630,33934,7271
t3949,47938,19316,3105,43144,33556,7190
t3950,46328,18939,2753,41695,32429,6949
t3951,44791,17425,2548,40311,31353,6718
t3952,43306,14968,2680,38975,30314,6495
t3953,43558,12159,2970,39202,30490,6533
t3954,44527,8838,3367,40074,31168,6679
t3955,45818,5507,4075,41236,32072,6872
t3956,46498,2612,4852,41848,32548,6974
t3957,45665,694,5358,41098,31965,6849
t3958,44990,47,5720,40491,31492,6748
t3959,45443,0,5832,40898,31810,6816
t3960,42096,0,5864,37886,29467,6314
t3961,39287,0,5850,35358,27500,5893
t3962,37628,0,5754,33865,26339,5644
t3963,36938,0,5725,33244,25856,5540
t3964,37127,0,5543,33414,25988,5569
t3965,38552,27,5256,34696,26986,5782
t3966,41991,440,5074,37791,29393,6298
t3967,51133,1755,4643,46019,35793,7669
t3968,57975,3885,4325,52177,40582,8696
t3969,60662,6580,4125,54595,42463,9099
t3970,61456,9428,3827,55310,43019,9218
t3971,62784,12005,3475,56505,43948,9417
t3972,64184,13869,3495,57765,44928,9627
t3973,63374,14999,3870,57036,44361,9506
t3974,63070,15180,4165,56763,44149,9460
t3975,61908,14518,4605,55717,43335,9286
t3976,60923,13177,5029,54830,42646,9138
t3977,59450,10925,5160,53505,41615,8917
t3978,59024,8069,5649,53121,41316,8853
t3979,58396,4958,5974,52556,40877,8759
t3980,58083,2443,5751,52274,40658,8712
t3981,55787,752,5156,50208,39050,8368
t3982,53183,59,4691,47864,37228,7977
t3983,51791,0,4857,46611,36253,7768
t3984,47359,0,4552,42623,33151,7103
t3985,43691,0,4137,39321,30583,6553
t3986,41693,0,3657,37523,29185,6253
t3987,40747,0,3233,36672,28522,6112
t3988,41151,0,3087,37035,28805,6172
t3989,41955,40,3010,37759,29368,6293
t3990,44287,588,2756,39858,31000,6643
t3991,52643,2390,2371,47378,36850,7896
t3992,58280,5320,2047,52452,40796,8742
t3993,60903,8675,2319,54812,42632,9135
t3994,61801,11960,2778,55620,43260,9270
t3995,63860,14364,3447,57474,44702,9579
t3996,65875,14833,3984,59287,46112,9881
t3997,65102,14216,4515,58591,45571,9765
t3998,64242,13666,4645,57817,44969,9636
t3999,63027,13220,4813,56724,44118,9454
t4000,61547,12326,5106,55392,43082,9232
t4001,59888,10066,5412,53899,41921,8983
t4002,59906,7599,5370,53915,41934,8985
t4003,59342,5059,5279,53407,41539,8901
t4004,58755,2673,5044,52879,41128,8813
t4005,56106,823,4082,50495,39274,8415
t4006,53767,74,3269,48390,37636,8065
t4007,51495,0,3215,46345,36046,7724
t4008,47138,0,3424,42424,32996,7070
t4009,43719,0,3543,39347,30603,6557
t4010,41852,0,3546,37666,29296,6277
t4011,40832,0,3511,36748,28582,6124
t4012,40873,0,3503,36785,28611,6130
t4013,42056,47,3509,37850,29439,6308
t4014,44718,627,3621,40246,31302,6707
t4015,52596,2712,3573,47336,36817,7889
t4016,58632,6559,3039,52768,41042,8794
t4017,61307,11242,3132,55176,42914,9196
t4018,61972,15633,3863,55774,43380,9295
t4019,64000,19100,4123,57600,44800,9600
t4020,65075,21029,4457,58567,45552,9761
t4021,64458,22172,4847,58012,45120,9668
t4022,64701,22209,5457,58230,45290,9705
t4023,63414,20738,6241,57072,44389,9512
t4024,62747,17937,6910,56472,43922,9412
t4025,61538,14124,7415,55384,43076,9230
t4026,61152,9796,7772,55036,42806,9172
t4027,59847,5715,7293,53862,41892,8977
t4028,59108,2495,6498,53197,41375,8866
t4029,56861,666,5874,51174,39802,8529
t4030,54983,35,6197,49484,38488,8247
t4031,52775,0,6402,47497,36942,7916
t4032,47991,0,6741,43191,33593,7198
t4033,44495,0,6844,40045,31146,6674
t4034,42523,0,6796,38270,29766,6378
t4035,41604,0,6757,37443,29122,6240
t4036,41501,0,7045,37350,29050,6225
t4037,42612,22,7128,38350,29828,6391
t4038,45696,293,7113,41126,31987,6854
t4039,53522,1215,6740,48169,37465,8028
t4040,59919,2884,6667,53927,41943,8987
t4041,63094,4794,6400,56784,44165,9464
t4042,63825,6835,7188,57442,44677,9573
t4043,64967,8457,8096,58470,45476,9745
t4044,66324,9231,8861,59691,46426,9948
t4045,65727,9609,9583,59154,46008,9859
t4046,65015,9690,10691,58513,45510,9752
t4047,63577,9526,11838,57219,44503,9536
t4048,62149,8449,12929,55934,43504,9322
t4049,62023,6711,13237,55820,43416,9303
t4050,61543,4880,12940,55388,43080,9231
t4051,61078,3085,12461,54970,42754,9161
t4052,59677,1547,11282,53709,41773,8951
t4053,57879,423,10701,52091,40515,8681
t4054,55104,36,9925,49593,38572,8265
t4055,52706,0,9287,47435,36894,7905
t4056,48162,0,9101,43345,33713,7224
t4057,44384,0,9009,39945,31068,6657
t4058,42146,0,8946,37931,29502,6321
t4059,41322,0,8901,37189,28925,6198
t4060,41698,0,8691,37528,29188,6254
t4061,42645,23,8645,38380,29851,6396
t4062,45556,387,8516,41000,31889,6833
t4063,53583,1570,8152,48224,37508,8037
t4064,59420,3266,8100,53478,41594,8913
t4065,62481,5638,8657,56232,43736,9372
t4066,63643,8100,9263,57278,44550,9546
t4067,65151,10603,9848,58635,45605,9772
t4068,66372,12075,10093,59734,46460,9955
t4069,65676,12372,10616,59108,45973,9851
t4070,64860,12024,11274,58374,45402,9729
t4071,63398,10882,11669,57058,44378,9509
t4072,61575,9105,11420,55417,43102,9236
t4073,60989,7663,11012,54890,42692,9148
t4074,60341,5703,10916,54306,42238,9051
t4075,59594,3350,9884,53634,41715,8939
t4076,58133,1467,8690,52319,40693,8719
t4077,55185,383,7834,49666,38629,8277
t4078,53001,32,7600,47700,37100,7950
t4079,50729,0,7366,45656,35510,7609
t4080,47065,0,7339,42358,32945,7059
t4081,42973,0,7204,38675,30081,6445
t4082,39721,0,6925,35748,27804,5958
t4083,38402,0,6708,34561,26881,5760
t4084,38312,0,6657,34480,26818,5746
t4085,38283,27,6459,34454,26798,5742
t4086,38113,378,6262,34301,26679,5716
t4087,40330,1349,5576,36297,28231,6049
t4088,44267,2931,5069,39840,30986,6640
t4089,48286,5092,5259,43457,33800,7242
t4090,51473,7263,5383,46325,36031,7720
t4091,53267,9121,5822,47940,37286,7990
t4092,53937,10642,6308,48543,37755,8090
t4093,53179,11644,6805,47861,37225,7976
t4094,51163,12171,7131,46046,35814,7674
t4095,49035,11898,7193,44131,34324,7355
t4096,48518,11176,7384,43666,33962,7277
t4097,48908,9474,7733,44017,34235,7336
t4098,49133,7068,7261,44219,34393,7369
t4099,49157,4514,6360,44241,34409,7373
t4100,48933,2140,5390,44039,34253,7339
t4101,46577,609,4190,41919,32603,6986
t4102,45032,40,3452,40528,31522,6754
t4103,44194,0,3217,39774,30935,6629
t4104,41048,0,3230,36943,28733,6157
t4105,38009,0,3316,34208,26606,5701
t4106,35581,0,3284,32022,24906,5337
t4107,34479,0,3109,31031,24135,5171
t4108,34044,0,2940,30639,23830,5106
t4109,33920,22,2772,30528,23744,5088
t4110,33701,386,2592,30330,23590,5055
t4111,34663,1452,2244,31196,24264,5199
t4112,37275,3245,1759,33547,26092,5591
t4113,40524,5969,1652,36471,28366,6078
t4114,43896,8604,1997,39506,30727,6584
t4115,46339,10586,2232,41705,32437,6950
t4116,49288,10979,2410,44359,34501,7393
t4117,48791,10562,2592,43911,34153,7318
t4118,46455,10572,2847,41809,32518,6968
t4119,45047,10859,3018,40542,31532,6757
t4120,44161,10329,3403,39744,30912,6624
t4121,43742,9339,3532,39367,30619,6561
t4122,45067,7246,3612,40560,31546,6760
t4123,46658,4601,3430,41992,32660,6998
t4124,46941,2279,3264,42246,32858,7041
t4125,46141,545,3728,41526,32298,6921
t4126,45392,39,4324,40852,31774,6808
t4127,46008,0,4799,41407,32205,6901
t4128,42962,0,5601,38665,30073,6444
t4129,39916,0,6056,35924,27941,5987
t4130,38489,0,6120,34640,26942,5773
t4131,37428,0,6530,33685,26199,5614
t4132,37751,0,6257,33975,26425,5662
t4133,39432,23,5876,35488,27602,5914
t4134,42783,406,5611,38504,29948,6417
t4135,51602,1758,4993,46441,36121,7740
t4136,58093,3841,4315,52283,40665,8713
t4137,61063,6452,3866,54956,42744,9159
t4138,61535,8835,3971,55381,43074,9230
t4139,63677,10553,4732,57309,44573,9551
t4140,65244,10849,5890,58719,45670,9786
t4141,64490,10316,6634,58041,45143,9673
t4142,63780,9266,7098,57402,44646,9567
t4143,62183,7954,7245,55964,43528,9327
t4144,61982,6919,6804,55783,43387,9297
t4145,60474,5496,5916,54426,42331,9071
t4146,60418,3989,5131,54376,42292,9062
t4147,60178,2547,4486,54160,42124,9026
t4148,59009,1313,4312,53108,41306,8851
t4149,56490,403,3727,50841,39543,8473
t4150,54358,40,3535,48922,38050,8153
t4151,51120,0,3486,46008,35784,7668
t4152,45934,0,3710,41340,32153,6890
t4153,42712,0,3950,38440,29898,6406
t4154,41019,0,4455,36917,28713,6152
t4155,40019,0,4899,36017,28013,6002
t4156,40117,0,5020,36105,28081,6017
t4157,41377,27,5436,37239,28963,6206
t4158,44025,420,5789,39622,30817,6603
t4159,52417,1692,5978,47175,36691,7862
t4160,58946,4011,5908,53051,41262,8841
t4161,61674,6990,6521,55506,43171,9251
t4162,63803,9843,7075,57422,44662,9570
t4163,65503,11708,7750,58952,45852,9825
t4164,66810,12679,8291,60129,46767,10021
t4165,65501,13440,8854,58950,45850,9825
t4166,64574,13665,9304,58116,45201,9686
t4167,63982,13674,9751,57583,44787,9597
t4168,62709,12362,9730,56438,43896,9406
t4169,61607,10261,10220,55446,43124,9241
t4170,61141,7569,10390,55026,42798,9171
t4171,60727,5010,10220,54654,42508,9109
t4172,60361,2413,9971,54324,42252,9054
t4173,57303,681,9873,51572,40112,8595
t4174,54769,49,9899,49292,38338,8215
t4175,52222,0,10903,46999,36555,7833
t4176,47995,0,11760,43195,33596,7199
t4177,45274,0,11922,40746,31691,6791
t4178,43578,0,11687,39220,30504,6536
t4179,42962,0,10968,38665,30073,6444
t4180,43198,0,10368,38878,30238,6479
t4181,43741,24,9962,39366,30618,6561
t4182,46510,339,9832,41859,32556,6976
t4183,54596,1519,9581,49136,38217,8189
t4184,60793,3442,9324,54713,42555,9118
t4185,64173,6065,9217,57755,44921,9625
t4186,64885,8344,9225,58396,45419,9732
t4187,66336,10252,9351,59702,46435,9950
t4188,67873,11657,9341,61085,47511,10180
t4189,66143,13172,8777,59528,46300,9921
t4190,64238,14676,8247,57814,44966,9635
t4191,63086,15373,7598,56777,44160,9462
t4192,62204,14704,6778,55983,43542,9330
t4193,60224,12996,6081,54201,42156,9033
t4194,59726,10005,5502,53753,41808,8958
t4195,59580,6313,4662,53622,41706,8937
t4196,59268,3029,4229,53341,41487,8890
t4197,57253,842,3684,51527,40077,8587
t4198,54842,56,4119,49357,38389,8226
t4199,52470,0,4699,47223,36729,7870
t4200,48282,0,5082,43453,33797,7242
t4201,44686,0,5369,40217,31280,6702
t4202,42838,0,5339,38554,29986,6425
t4203,41833,0,5093,37649,29283,6274
t4204,41911,0,4846,37719,29337,6286
t4205,42968,33,4378,38671,30077,6445
t4206,45715,602,3894,41143,32000,6857
t4207,53645,2614,3239,48280,37551,8046
t4208,59358,5897,2346,53422,41550,8903
t4209,62300,9946,1404,56070,43610,9345
t4210,62697,13790,1054,56427,43887,9404
t4211,64036,17103,1104,57632,44825,9605
t4212,65639,18757,1352,59075,45947,9845
t4213,64994,19646,1399,58494,45495,9749
t4214,64483,19292,1415,58034,45138,9672
t4215,63338,18000,1437,57004,44336,9500
t4216,62482,16192,1493,56233,43737,9372
t4217,60728,13492,1302,54655,42509,9109
t4218,60528,10104,1270,54475,42369,9079
t4219,59409,6348,1038,53468,41586,8911
t4220,58929,3138,710,53036,41250,8839
t4221,56594,909,499,50934,39615,8489
t4222,54431,70,516,48987,38101,8164
t4223,52191,0,604,46971,36533,7828
t4224,47797,0,644,43017,33457,7169
t4225,44575,0,730,40117,31202,6686
t4226,42297,0,885,38067,29607,6344
t4227,41307,0,989,37176,28914,6196
t4228,41468,0,1069,37321,29027,6220
t4229,42302,30,1085,38071,29611,6345
t4230,44954,527,1150,40458,31467,6743
t4231,52858,2333,1223,47572,37000,7928
t4232,58946,5311,1131,53051,41262,8841
t4233,61900,9176,785,55710,43330,9285
t4234,62694,13405,601,56424,43885,9404
t4235,63973,16429,786,57575,44781,9595
t4236,65245,17861,1138,58720,45671,9786
t4237,64898,18185,1460,58408,45428,9734
t4238,63626,17672,1611,57263,44538,9543
t4239,61867,16874,1778,55680,43306,9280
t4240,61025,14289,1800,54922,42717,9153
t4241,59662,11030,1559,53695,41763,8949
t4242,59201,7721,1380,53280,41440,8880
t4243,58454,4530,1060,52608,40917,8768
t4244,57384,1975,831,51645,40168,8607
t4245,54715,504,727,49243,38300,8207
t4246,52898,37,868,47608,37028,7934
t4247,50959,0,1201,45863,35671,7643
t4248,47461,0,1770,42714,33222,7119
t4249,43885,0,2536,39496,30719,6582
t4250,40993,0,3292,36893,28695,6148
t4251,39541,0,3854,35586,27678,5931
t4252,38922,0,4186,35029,27245,5838
t4253,38990,19,4261,35091,27293,5848
t4254,39046,312,4689,35141,27332,5856
t4255,41271,1339,4915,37143,28889,6190
t4256,44988,3092,4816,40489,31491,6748
t4257,49502,5065,4664,44551,34651,7425
t4258,53068,6973,4597,47761,37147,7960
t4259,55078,8692,4867,49570,38554,8261
t4260,56066,9987,5583,50459,39246,8409
t4261,54773,11184,6632,49295,38341,8215
t4262,52359,12683,8608,47123,36651,7853
t4263,51126,13483,9850,46013,35788,7668
t4264,50011,13345,10324,45009,35007,7501
t4265,50150,10616,10588,45135,35105,7522
t4266,50272,7186,10475,45244,35190,7540
t4267,49723,4910,10196,44750,34806,7458
t4268,48717,2725,9760,43845,34101,7307
t4269,46236,795,8408,41612,32365,6935
t4270,44525,71,7556,40072,31167,6678
t4271,43691,0,7212,39321,30583,6553
t4272,40696,0,6957,36626,28487,6104
t4273,37736,0,6948,33962,26415,5660
t4274,35935,0,6781,32341,25154,5390
t4275,34700,0,6261,31230,24290,5205
t4276,34072,0,5760,30664,23850,5110
t4277,33899,33,5048,30509,23729,5084
t4278,33049,536,4279,29744,23134,4957
t4279,34140,2553,3554,30726,23898,5121
t4280,36985,6056,2671,33286,25889,5547
t4281,40201,10500,2556,36180,28140,6030
t4282,43050,14882,2135,38745,30134,6457
t4283,45167,18341,1819,40650,31616,6775
t4284,47337,20577,1861,42603,33135,7100
t4285,46905,21171,1979,42214,32833,7035
t4286,45121,21058,1958,40608,31584,6768
t4287,43710,20035,2088,39339,30596,6556
t4288,42903,17530,2073,38612,30032,6435
t4289,42880,13817,2051,38592,30015,6432
t4290,44249,9902,1753,39824,30974,6637
t4291,45509,5884,1972,40958,31856,6826
t4292,46195,2565,1657,41575,32336,6929
t4293,45526,639,1340,40973,31868,6828
t4294,45299,36,1686,40769,31709,6794
t4295,45618,0,1989,41056,31932,6842
t4296,42206,0,2265,37985,29544,6330
t4297,39573,0,2267,35615,27701,5935
t4298,38113,0,2346,34301,26679,5716
t4299,37520,0,2360,33768,26264,5628
t4300,37949,0,2308,34154,26564,5692
t4301,39320,27,2451,35388,27524,5898
t4302,43010,455,2310,38709,30106,6451
t4303,51767,1890,1999,46590,36236,7765
t4304,58686,4483,1607,52817,41080,8802
t4305,61459,8041,1209,55313,43021,9218
t4306,61605,12536,958,55444,43123,9240
t4307,63058,17311,1051,56752,44140,9458
t4308,64848,20443,1235,58363,45393,9727
t4309,64847,21605,1496,58362,45392,9727
t4310,64327,21465,1955,57894,45028,9649
t4311,63383,20151,2559,57044,44368,9507
t4312,62198,17951,2838,55978,43538,9329
t4313,60733,14611,3060,54659,42513,9109
t4314,59859,10646,2961,53873,41901,8978
t4315,59554,6515,2881,53598,41687,8933
t4316,58708,3088,2603,52837,41095,8806
t4317,55815,851,2370,50233,39070,8372
t4318,53625,61,2476,48262,37537,8043
t4319,51372,0,2654,46234,35960,7705
t4320,46767,0,2535,42090,32736,7015
t4321,43830,0,2416,39447,30680,6574
t4322,41858,0,2161,37672,29300,6278
t4323,40869,0,1986,36782,28608,6130
t4324,41067,0,1915,36960,28746,6160
t4325,41743,38,1831,37568,29220,6261
t4326,44438,597,1708,39994,31106,6665
t4327,52416,2602,1489,47174,36691,7862
t4328,58653,6335,990,52787,41057,8797
t4329,61717,11185,588,55545,43201,9257
t4330,62727,16183,370,56454,43908,9409
t4331,64352,20104,462,57916,45046,9652
t4332,66025,22491,543,59422,46217,9903
t4333,65271,23262,678,58743,45689,9790
t4334,64535,22988,757,58081,45174,9680
t4335,63078,22030,879,56770,44154,9461
t4336,61945,19905,1070,55750,43361,9291
t4337,60498,16597,1216,54448,42348,9074
t4338,59510,12096,1315,53559,41657,8926
t4339,59071,7199,1482,53163,41349,8860
t4340,58626,3307,1685,52763,41038,8793
t4341,56591,962,1988,50931,39613,8488
t4342,53972,78,2840,48574,37780,8095
t4343,51656,0,4180,46490,36159,7748
t4344,47285,0,5324,42556,33099,7092
t4345,43887,0,5849,39498,30720,6583
t4346,42314,0,6047,38082,29619,6347
t4347,41356,0,6250,37220,28949,6203
t4348,41259,0,6244,37133,28881,6188
t4349,41862,38,6245,37675,29303,6279
t4350,44545,613,6044,40090,31181,6681
t4351,52139,2725,5342,46925,36497,7820
t4352,58271,6874,3754,52443,40789,8740
t4353,62644,12036,2803,56379,43850,9396
t4354,64070,16911,2796,57663,44849,9610
t4355,66572,20693,3050,59914,46600,9985
t4356,68085,23185,3787,61276,47659,10212
t4357,67468,24403,4616,60721,47227,10120
t4358,67159,24433,5145,60443,47011,10073
t4359,65935,23323,5255,59341,46154,9890
t4360,64792,20959,5439,58312,45354,9718
t4361,62899,17264,5693,56609,44029,9434
t4362,62505,12583,6119,56254,43753,9375
t4363,62019,7443,6503,55817,43413,9302
t4364,61198,3331,6807,55078,42838,9179
t4365,58780,923,7333,52902,41146,8817
t4366,56040,67,9341,50436,39228,8406
t4367,54516,0,11585,49064,38161,8177
t4368,51050,0,12837,45945,35735,7657
t4369,47445,0,13060,42700,33211,7116
t4370,45513,0,12734,40961,31859,6826
t4371,44226,0,12487,39803,30958,6633
t4372,44103,0,12169,39692,30872,6615
t4373,44629,36,11737,40166,31240,6694
t4374,47278,589,11012,42550,33094,7091
t4375,55110,2642,9970,49599,38577,8266
t4376,61349,6692,7905,55214,42944,9202
t4377,65242,11712,6374,58717,45669,9786
t4378,66206,16551,6231,59585,46344,9930
t4379,68305,20253,6980,61474,47813,10245
t4380,70169,22774,7830,63152,49118,10525
t4381,69468,24017,8242,62521,48627,10420
t4382,68861,24011,8152,61974,48202,10329
t4383,67458,22836,8092,60712,47220,10118
t4384,66818,20450,8282,60136,46772,10022
t4385,64801,16844,8098,58320,45360,9720
t4386,63956,12165,7645,57560,44769,9593
t4387,62533,7227,7378,56279,43773,9379
t4388,61657,3196,7354,55491,43159,9248
t4389,59926,883,8367,53933,41948,8988
t4390,57494,60,9410,51744,40245,8624
t4391,55914,0,10980,50322,39139,8387
t4392,51587,0,11415,46428,36110,7738
t4393,48706,0,11688,43835,34094,7305
t4394,45602,0,10956,41041,31921,6840
t4395,44235,0,9277,39811,30964,6635
t4396,44103,0,7719,39692,30872,6615
t4397,44687,31,6420,40218,31280,6703
t4398,47130,566,5376,42417,32991,7069
t4399,55706,2407,4540,50135,38994,8355
t4400,61257,5856,3299,55131,42879,9188
t4401,64767,9944,1727,58290,45336,9715
t4402,65728,13943,1574,59155,46009,9859
t4403,67059,17465,1509,60353,46941,10058
t4404,68013,20070,1575,61211,47609,10201
t4405,67220,21686,1577,60498,47054,10083
t4406,65964,22116,1526,59367,46174,9894
t4407,64711,21123,1318,58239,45297,9706
t4408,63558,18655,1127,57202,44490,9533
t4409,62105,15010,921,55894,43473,9315
t4410,62220,10694,805,55998,43554,9333
t4411,60308,6160,1117,54277,42215,9046
t4412,59209,2827,1580,53288,41446,8881
t4413,56446,825,1703,50801,39512,8466
t4414,53985,66,2330,48586,37789,8097
t4415,53071,0,3262,47763,37149,7960
t4416,50022,0,3545,45019,35015,7503
t4417,46149,0,3875,41534,32304,6922
t4418,43656,0,3897,39290,30559,6548
t4419,42188,0,3872,37969,29531,6328
t4420,41506,0,4222,37355,29054,6225
t4421,41004,30,4223,36903,28702,6150
t4422,40651,568,4303,36585,28455,6097
t4423,43052,2532,4237,38746,30136,6457
t4424,47201,6166,3527,42480,33040,7080
t4425,51315,10790,2579,46183,35920,7697
t4426,53957,15315,2033,48561,37769,8093
t4427,55650,18969,1973,50085,38955,8347
t4428,56463,21522,1920,50816,39524,8469
t4429,55560,22636,2054,50004,38892,8334
t4430,53672,22507,2387,48304,37570,8050
t4431,52381,21262,2300,47142,36666,7857
t4432,51864,18794,2295,46677,36304,7779
t4433,51569,15019,2299,46412,36098,7735
t4434,51641,10464,2792,46476,36148,7746
t4435,51526,6066,3526,46373,36068,7728
t4436,50967,2768,3764,45870,35676,7645
t4437,48947,769,3852,44052,34262,7342
t4438,47875,62,5060,43087,33512,7181
t4439,47265,0,5236,42538,33085,7089
t4440,43902,0,5629,39511,30731,6585
t4441,41323,0,4900,37190,28926,6198
t4442,38661,0,3875,34794,27062,5799
t4443,37483,0,2523,33734,26238,5622
t4444,36940,0,2071,33246,25858,5541
t4445,36955,23,1814,33259,25868,5543
t4446,36492,465,1998,32842,25544,5473
t4447,37541,2167,1492,33786,26278,5631
t4448,39988,5317,955,35989,27991,5998
t4449,43239,9341,747,38915,30267,6485
t4450,46041,13519,510,41436,32228,6906
t4451,48398,17080,453,43558,33878,7259
t4452,50271,19143,765,45243,35189,7540
t4453,49838,20217,1410,44854,34886,7475
t4454,48244,20197,2086,43419,33770,7236
t4455,47531,18782,2456,42777,33271,7129
t4456,46806,16703,2861,42125,32764,7020
t4457,46334,13445,3528,41700,32433,6950
t4458,47311,9463,5121,42579,33117,7096
t4459,49088,5577,6079,44179,34361,7363
t4460,49251,2490,5969,44325,34475,7387
t4461,47800,599,6379,43020,33460,7170
t4462,47394,33,8683,42654,33175,7109
t4463,47434,0,9213,42690,33203,7115
t4464,45480,0,10466,40932,31835,6822
t4465,42425,0,10610,38182,29697,6363
t4466,40499,0,9301,36449,28349,6074
t4467,40281,0,8948,36252,28196,6042
t4468,40885,0,9503,36796,28619,6132
t4469,41728,26,10324,37555,29209,6259
t4470,44553,453,10285,40097,31187,6682
t4471,54236,1911,10194,48812,37965,8135
t4472,61387,4643,10140,55248,42970,9208
t4473,64427,8708,9957,57984,45098,9664
t4474,65914,13507,10164,59322,46139,9887
t4475,67396,17430,10647,60656,47177,10109
t4476,68873,20045,10811,61985,48211,10330
t4477,68209,21626,11102,61388,47746,10231
t4478,67681,21909,10804,60912,47376,10152
t4479,66025,21321,9741,59422,46217,9903
t4480,64408,19388,8626,57967,45085,9661
t4481,62790,16260,7521,56511,43953,9418
t4482,61880,11946,6245,55692,43316,9282
t4483,61097,7179,4864,54987,42767,9164
t4484,60736,3280,3476,54662,42515,9110
t4485,57986,929,2372,52187,40590,8697
t4486,55520,63,1834,49968,38864,8328
t4487,53785,0,1432,48406,37649,8067
t4488,49568,0,1448,44611,34697,7435
t4489,46202,0,1372,41581,32341,6930
t4490,44111,0,1456,39699,30877,6616
t4491,42987,0,1693,38688,30090,6448
t4492,43064,0,1765,38757,30144,6459
t4493,43927,26,2035,39534,30748,6589
t4494,46704,518,2590,42033,32692,7005
t4495,54593,2468,3198,49133,38215,8188
t4496,60966,6353,2946,54869,42676,9144
t4497,64137,11122,2178,57723,44895,9620
t4498,65112,15688,2003,58600,45578,9766
