,demand_R1,PV,WindOnshore,demand_R2,demand_R4,demand_R3
t0343,59454,0,22749,53508,41617,8918
t0344,66237,0,23806,59613,46365,9935
t0345,69252,154,24891,62326,48476,10387
t0346,69049,963,25241,62144,48334,10357
t0347,70087,2363,25662,63078,49060,10513
t0348,71367,3468,25966,64230,49956,10705
t0349,70490,3587,26272,63441,49343,10573
t0350,69658,3192,25459,62692,48760,10448
t0351,68272,2230,25057,61444,47790,10240
t0352,67488,1008,24968,60739,47241,10123
t0353,67382,170,24959,60643,47167,10107
t0354,69941,5,24877,62946,48958,10491
t0355,69342,0,25593,62407,48539,10401
t0356,68143,0,26396,61328,47700,10221
t0357,64399,0,25958,57959,45079,9659
t0358,61048,0,25303,54943,42733,9157
t0359,58223,0,24037,52400,40756,8733
t0360,53518,0,23260,48166,37462,8027
t0361,49927,0,22135,44934,34948,7489
t0362,47116,0,21296,42404,32981,7067
t0363,45559,0,21199,41003,31891,6833
t0364,47119,0,20559,42407,32983,7067
t0365,49165,0,19631,44248,34415,7374
t0366,52740,0,18681,47466,36918,7911
t0367,60040,0,17537,54036,42028,9006
t0368,67144,0,16556,60429,47000,10071
t0369,69109,291,15432,62198,48376,10366
t0370,68231,1736,13545,61407,47761,10234
t0371,68503,3487,12066,61652,47952,10275
t0372,68739,4689,10708,61865,48117,10310
t0373,67506,4719,8966,60755,47254,10125
t0374,65920,3850,7528,59328,46144,9888
t0375,63975,2640,5709,57577,44782,9596
t0376,62889,1213,4298,56600,44022,9433
t0377,63198,174,3697,56878,44238,9479
t0378,66336,4,4131,59702,46435,9950
t0379,65858,0,4339,59272,46100,9878
t0380,63726,0,4408,57353,44608,9558
t0381,59494,0,4239,53544,41645,8924
t0382,56087,0,4173,50478,39260,8413
t0383,53800,0,3897,48420,37660,8070
t0384,49894,0,3675,44904,34925,7484
t0385,46568,0,3856,41911,32597,6985
t0386,43992,0,4128,39592,30794,6598
t0387,42916,0,4521,38624,30041,6437
t0388,42647,0,4824,38382,29852,6397
t0389,42754,0,5144,38478,29927,6413
t0390,42439,0,5327,38195,29707,6365
t0391,43168,0,5537,38851,30217,6475
t0392,46932,0,5697,42238,32852,7039
t0393,50985,90,6222,45886,35689,7647
t0394,54019,915,6089,48617,37813,8102
t0395,55764,2493,5519,50187,39034,8364
t0396,56865,4013,4994,51178,39805,8529
t0397,56168,4693,4932,50551,39317,8425
t0398,53979,4339,5283,48581,37785,8096
t0399,52633,3115,5220,47369,36843,7894
t0400,51884,1477,4365,46695,36318,7782
t0401,52632,252,4201,47368,36842,7894
t0402,56941,4,5080,51246,39858,8541
t0403,57997,0,6327,52197,40597,8699
t0404,56134,0,6855,50520,39293,8420
t0405,52061,0,6846,46854,36442,7809
t0406,49753,0,7317,44777,34827,7462
t0407,49063,0,7453,44156,34344,7359
t0408,46017,0,7256,41415,32211,6902
t0409,43223,0,7303,38900,30256,6483
t0410,41585,0,7424,37426,29109,6237
t0411,40079,0,7371,36071,28055,6011
t0412,39750,0,7696,35775,27825,5962
t0413,39639,0,7828,35675,27747,5945
t0414,39004,0,7733,35103,27302,5850
t0415,37940,0,7578,34146,26558,5691
t0416,39915,0,7843,35923,27940,5987
t0417,42387,248,7289,38148,29670,6358
t0418,45460,1889,6642,40914,31821,6819
t0419,48180,4115,5861,43362,33726,7227
t0420,50797,5858,5221,45717,35557,7619
t0421,50911,6596,4772,45819,35637,7636
t0422,48860,5979,4172,43974,34202,7329
t0423,47603,4296,3708,42842,33322,7140
t0424,47460,1985,3346,42714,33222,7119
t0425,48007,274,3223,43206,33604,7201
t0426,53252,5,3469,47926,37276,7987
t0427,54900,0,3982,49410,38430,8235
t0428,53503,0,4113,48152,37452,8025
t0429,51039,0,3956,45935,35727,7655
t0430,49698,0,3815,44728,34788,7454
t0431,50326,0,3568,45293,35228,7548
t0432,47518,0,3370,42766,33262,7127
t0433,44377,0,3035,39939,31063,6656
t0434,42742,0,2542,38467,29919,6411
t0435,42218,0,2123,37996,29552,6332
t0436,42662,0,1758,38395,29863,6399
t0437,43965,0,1443,39568,30775,6594
t0438,47643,0,1275,42878,33350,7146
t0439,56636,0,1365,50972,39645,8495
t0440,64647,0,1566,58182,45252,9697
t0441,67153,291,1645,60437,47007,10072
t0442,67619,1551,1464,60857,47333,10142
t0443,68361,3178,1188,61524,47852,10254
t0444,68988,4471,902,62089,48291,10348
t0445,68481,4873,766,61632,47936,10272
t0446,68159,4486,744,61343,47711,10223
t0447,67372,3144,729,60634,47160,10105
t0448,66654,1435,816,59988,46657,9998
t0449,66240,237,996,59616,46368,9936
t0450,69215,5,1199,62293,48450,10382
t0451,69121,0,1327,62208,48384,10368
t0452,67480,0,1312,60732,47236,10122
t0453,63275,0,1294,56947,44292,9491
t0454,59946,0,1321,53951,41962,8991
t0455,57361,0,1338,51624,40152,8604
t0456,52797,0,1321,47517,36957,7919
t0457,49523,0,1285,44570,34666,7428
t0458,47308,0,1194,42577,33115,7096
t0459,46260,0,1175,41634,32381,6939
t0460,46726,0,1092,42053,32708,7008
t0461,47734,0,971,42960,33413,7160
t0462,50818,0,897,45736,35572,7622
t0463,58543,0,856,52688,40980,8781
t0464,65738,0,865,59164,46016,9860
t0465,68358,93,847,61522,47850,10253
t0466,68480,627,755,61632,47936,10272
t0467,69573,1228,605,62615,48701,10435
t0468,70188,1779,470,63169,49131,10528
t0469,69951,2209,366,62955,48965,10492
t0470,69389,2181,336,62450,48572,10408
t0471,68401,1651,372,61560,47880,10260
t0472,67827,841,385,61044,47478,10174
t0473,67092,162,388,60382,46964,10063
t0474,70059,5,460,63053,49041,10508
t0475,69736,0,522,62762,48815,10460
t0476,67919,0,537,61127,47543,10187
t0477,63902,0,563,57511,44731,9585
t0478,60385,0,693,54346,42269,9057
t0479,57421,0,718,51678,40194,8613
t0480,53421,0,789,48078,37394,8013
t0481,49633,0,842,44669,34743,7444
t0482,47416,0,827,42674,33191,7112
t0483,46563,0,854,41906,32594,6984
t0484,46752,0,879,42076,32726,7012
t0485,47699,0,921,42929,33389,7154
t0486,50897,0,1048,45807,35627,7634
t0487,58705,0,1256,52834,41093,8805
t0488,65603,0,1451,59042,45922,9840
t0489,67883,177,1642,61094,47518,10182
t0490,68240,1303,1714,61416,47768,10236
t0491,68672,2660,1477,61804,48070,10300
t0492,69202,3935,1330,62281,48441,10380
t0493,68949,4719,1185,62054,48264,10342
t0494,67912,4367,1239,61120,47538,10186
t0495,66530,3080,1366,59877,46571,9979
t0496,66262,1562,1668,59635,46383,9939
t0497,65984,298,2243,59385,46188,9897
t0498,68467,5,2808,61620,47926,10270
t0499,68849,0,3385,61964,48194,10327
t0500,66977,0,3841,60279,46883,10046
t0501,63074,0,3917,56766,44151,9461
t0502,59883,0,3949,53894,41918,8982
t0503,57032,0,4008,51328,39922,8554
t0504,51914,0,3989,46722,36339,7787
t0505,50433,0,3707,45389,35303,7564
t0506,48343,0,3513,43508,33840,7251
t0507,47151,0,3403,42435,33005,7072
t0508,47265,0,3349,42538,33085,7089
t0509,48267,0,3452,43440,33786,7240
t0510,51010,0,3680,45909,35707,7651
t0511,58315,0,3665,52483,40820,8747
t0512,65376,0,3528,58838,45763,9806
t0513,67708,150,3391,60937,47395,10156
t0514,67842,854,3092,61057,47489,10176
t0515,66925,1747,2690,60232,46847,10038
t0516,69237,2433,2357,62313,48465,10385
t0517,68789,2471,2065,61910,48152,10318
t0518,67170,2122,1958,60453,47019,10075
t0519,66328,1519,1914,59695,46429,9949
t0520,66729,682,1903,60056,46710,10009
t0521,66277,123,2010,59649,46393,9941
t0522,69006,6,2220,62105,48304,10350
t0523,69506,0,2358,62555,48654,10425
t0524,67158,0,2306,60442,47010,10073
t0525,63027,0,2177,56724,44118,9454
t0526,59422,0,2106,53479,41595,8913
t0527,56530,0,1938,50877,39571,8479
t0528,52883,0,1801,47594,37018,7932
t0529,50468,0,1668,45421,35327,7570
t0530,48414,0,1572,43572,33889,7262
t0531,47354,0,1493,42618,33147,7103
t0532,47701,0,1477,42930,33390,7155
t0533,48694,0,1517,43824,34085,7304
t0534,51365,0,1426,46228,35955,7704
t0535,58458,0,1425,52612,40920,8768
t0536,65550,0,1399,58995,45885,9832
t0537,67899,45,1262,61109,47529,10184
t0538,67965,349,1051,61168,47575,10194
t0539,68975,816,924,62077,48282,10346
t0540,69303,1273,831,62372,48512,10395
t0541,68673,1484,797,61805,48071,10300
t0542,67528,1399,813,60775,47269,10129
t0543,66275,1023,830,59647,46392,9941
t0544,65528,506,873,58975,45869,9829
t0545,65568,98,1021,59011,45897,9835
t0546,68452,6,1071,61606,47916,10267
t0547,68292,0,1203,61462,47804,10243
t0548,65939,0,1457,59345,46157,9890
t0549,61887,0,1936,55698,43320,9283
t0550,58756,0,2627,52880,41129,8813
t0551,57115,0,3298,51403,39980,8567
t0552,54343,0,3924,48908,38040,8151
t0553,51485,0,4410,46336,36039,7722
t0554,48829,0,4818,43946,34180,7324
t0555,49604,0,5541,44643,34722,7440
t0556,50037,0,6644,45033,35025,7505
t0557,49693,0,7357,44723,34785,7453
t0558,47668,0,7515,42901,33367,7150
t0559,45995,0,7918,41395,32196,6899
t0560,48722,0,8095,43849,34105,7308
t0561,51428,155,7917,46285,35999,7714
t0562,55079,736,7598,49571,38555,8261
t0563,57503,1219,7062,51752,40252,8625
t0564,59552,1729,6186,53596,41686,8932
t0565,59125,2016,5429,53212,41387,8868
t0566,57253,1919,5200,51527,40077,8587
t0567,55673,1323,4857,50105,38971,8350
t0568,54901,633,4891,49410,38430,8235
t0569,55054,89,5251,49548,38537,8258
t0570,59051,3,5633,53145,41335,8857
t0571,60140,0,6295,54126,42098,9021
t0572,57729,0,6706,51956,40410,8659
t0573,53550,0,7050,48195,37485,8032
t0574,50934,0,7136,45840,35653,7640
t0575,50692,0,7091,45622,35484,7603
t0576,47987,0,7529,43188,33590,7198
t0577,45170,0,7636,40653,31618,6775
t0578,43335,0,7940,39001,30334,6500
t0579,42025,0,7857,37822,29417,6303
t0580,41170,0,7772,37053,28818,6175
t0581,40915,0,7461,36823,28640,6137
t0582,40265,0,7131,36238,28185,6039
t0583,38752,0,6690,34876,27126,5812
t0584,40614,0,6460,36552,28429,6092
t0585,43437,124,6040,39093,30405,6515
t0586,47562,724,5637,42805,33293,7134
t0587,50737,1386,4801,45663,35515,7610
t0588,53266,2013,4261,47939,37286,7989
t0589,52928,2317,3979,47635,37049,7939
t0590,50749,2241,3621,45674,35524,7612
t0591,49304,1690,3299,44373,34512,7395
t0592,48788,876,3063,43909,34151,7318
t0593,49873,176,3061,44885,34911,7480
t0594,54456,7,2987,49010,38119,8168
t0595,56391,0,2971,50751,39473,8458
t0596,55107,0,2940,49596,38574,8266
t0597,52595,0,2892,47335,36816,7889
t0598,51111,0,2751,45999,35777,7666
t0599,51560,0,2666,46404,36092,7734
t0600,48789,0,2725,43910,34152,7318
t0601,45835,0,3052,41251,32084,6875
t0602,43953,0,3437,39557,30767,6592
t0603,43477,0,3842,39129,30433,6521
t0604,43712,0,4300,39340,30598,6556
t0605,45233,0,4862,40709,31663,6784
t0606,48992,0,5308,44092,34294,7348
t0607,57880,0,5884,52092,40516,8682
t0608,65056,0,6611,58550,45539,9758
t0609,67736,139,7169,60962,47415,10160
t0610,67580,541,7908,60822,47306,10137
t0611,69089,1101,8549,62180,48362,10363
t0612,70467,1771,9096,63420,49326,10570
t0613,70243,2249,9882,63218,49170,10536
t0614,69764,2247,10388,62787,48834,10464
t0615,68516,1582,10613,61664,47961,10277
t0616,67528,789,10977,60775,47269,10129
t0617,67228,155,11797,60505,47059,10084
t0618,70024,6,12928,63021,49016,10503
t0619,70369,0,13941,63332,49258,10555
t0620,68933,0,14083,62039,48253,10339
t0621,64937,0,13822,58443,45455,9740
