,,,,coefficient,constant,minLoad,maxLoad,delay
Karapiro,1950,Spill,Karapiro_in,-1,,,,
Karapiro,1950,Spill,Water_out,1,,,,
Manapouri,1950,Power_gen,Elec,1,,,,
Manapouri,1950,Power_gen,Manapouri_in,-1,,,,
Manapouri,1950,Power_gen,Water_out,1,,,,
Manapouri,1950,Spill,Manapouri_in,-1,,,,
Manapouri,1950,Spill,Water_out,1,,,,
Mangahao,1950,Power_gen,Elec,1,,,,
Mangahao,1950,Power_gen,Mangahao_in,-1,,,,
Mangahao,1950,Power_gen,Water_out,1,,,,
Mangahao,1950,Spill,Mangahao_in,-1,,,,
Mangahao,1950,Spill,Water_out,1,,,,
Maraetai,1950,Power_gen,Elec,1,,,,
Maraetai,1950,Power_gen,Maraetai_in,-1,,,,
Maraetai,1950,Power_gen,Waipapa_in,1,,,,
Maraetai,1950,Spill,Maraetai_in,-1,,,,
Maraetai,1950,Spill,Waipapa_in,1,,,,
Matahina,1950,Power_gen,Elec,1,,,,
Matahina,1950,Power_gen,Matahina_in,-1,,,,
Matahina,1950,Power_gen,Water_out,1,,,,
Matahina,1950,Spill,Matahina_in,-1,,,,
Matahina,1950,Spill,Water_out,1,,,,
OCGT,1950,Powergen,Elec,1,,,,
OCGT,2030,Powergen,Elec,1,,,,
Ohakuri,1950,Power_gen,Atiamuri_in,1,,,,
Ohakuri,1950,Power_gen,Elec,1,,,,
Ohakuri,1950,Power_gen,Ohakuri_in,-1,,,,
Ohakuri,1950,Spill,Atiamuri_in,1,,,,
Ohakuri,1950,Spill,Ohakuri_in,-1,,,,
Ohau_A,1950,Power_gen,Elec,1,,,,
Ohau_A,1950,Power_gen,Ohau_A_out,1,,,,
Ohau_A,1950,Power_gen,Pukaki_in,-1,,,,
Ohau_A,1950,Power_gen_b,Elec,1,,,,
Ohau_A,1950,Power_gen_b,Ohau_A_out,1,,,,
Ohau_A,1950,Power_gen_b,Ohau_in,-1,,,,
Ohau_A,1950,Spill,Ohau_A_out,1,,,,
Ohau_A,1950,Spill,Ohau_in,-1,,,,
Ohau_A,1950,Spill,Pukaki_in,-1,,,,
Ohau_B,1950,Power_gen,Elec,1,,,,
Ohau_B,1950,Power_gen,Ohau_A_out,-1,,,,
Ohau_B,1950,Power_gen,Ohau_BC_canal,1,,,,
Ohau_B,1950,Spill,Ohau_A_out,-1,,,,
Ohau_B,1950,Spill,Ohau_BC_canal,1,,,,
Ohau_C,1950,Power_gen,Benmore_in,1,,,,
Ohau_C,1950,Power_gen,Elec,1,,,,
Ohau_C,1950,Power_gen,Ohau_BC_canal,-1,,,,
Ohau_C,1950,Spill,Benmore_in,1,,,,
Ohau_C,1950,Spill,Ohau_BC_canal,-1,,,,
Rangipo,1950,Power_gen,Elec,1,,,,
Rangipo,1950,Power_gen,Rangipo_in,-1,,,,
Rangipo,1950,Power_gen,Water_out,1,,,,
Rangipo,1950,Spill,Rangipo_in,-1,,,,
