,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion,nonCircular,initialLevel
CEN,2030,Stor_Lake_Pukaki,,,,1,,
CEN,2030,Stor_Lake_Taupo,,,,1,,
CEN,2030,Stor_Lake_Tekapo,,,,1,,
CEN,2030,Stor_Lake_Waikaremoana,,,,1,,
CEN,2030,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
CEN,2035,H2_storage,,,50,,,
CEN,2050,H2_storage,,,50,,,
HBY,2020,Battery,,,30,1,,
HBY,2020,H2_storage,,,50,1,,
HBY,2020,Stor_Lake_Hawea,,,,1,,
HBY,2020,Stor_Lake_Ohau,,,,1,,
HBY,2020,Stor_Lake_Pukaki,,,,1,,
HBY,2020,Stor_Lake_Taupo,,,,1,,
HBY,2020,Stor_Lake_Tekapo,,,,1,,
HBY,2020,Stor_Lake_Waikaremoana,154.3,,,1,,0.77
HBY,2020,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
HBY,2030,Battery,,,30,,,
HBY,2030,Stor_Lake_Hawea,,,,1,,
HBY,2030,Stor_Lake_Ohau,,,,1,,
HBY,2030,Stor_Lake_Pukaki,,,,1,,
HBY,2030,Stor_Lake_Taupo,,,,1,,
HBY,2030,Stor_Lake_Tekapo,,,,1,,
HBY,2030,Stor_Lake_Waikaremoana,,,,1,,
HBY,2030,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
HBY,2035,H2_storage,,,50,,,
HBY,2050,H2_storage,,,50,,,
NEL,2020,Battery,,,30,1,,
NEL,2020,H2_storage,,,50,1,,
NEL,2020,Stor_Lake_Hawea,,,,1,,
NEL,2020,Stor_Lake_Ohau,,,,1,,
NEL,2020,Stor_Lake_Pukaki,,,,1,,
NEL,2020,Stor_Lake_Taupo,,,,1,,
NEL,2020,Stor_Lake_Tekapo,,,,1,,
NEL,2020,Stor_Lake_Waikaremoana,,,,1,,
NEL,2020,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
NEL,2030,Battery,,,30,,,
NEL,2030,Stor_Lake_Hawea,,,,1,,
NEL,2030,Stor_Lake_Ohau,,,,1,,
NEL,2030,Stor_Lake_Pukaki,,,,1,,
NEL,2030,Stor_Lake_Taupo,,,,1,,
NEL,2030,Stor_Lake_Tekapo,,,,1,,
NEL,2030,Stor_Lake_Waikaremoana,,,,1,,
NEL,2030,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
NEL,2035,H2_storage,,,50,,,
NEL,2050,H2_storage,,,50,,,
NIS,2020,Battery,,,30,1,,
NIS,2020,H2_storage,,,50,1,,
NIS,2030,Battery,,,30,,,
NIS,2035,H2_storage,,,50,,,
NIS,2050,H2_storage,,,50,,,
OTG,2020,Battery,,,30,1,,
OTG,2020,H2_storage,,,50,1,,
OTG,2020,Stor_Lake_Hawea,164.3,,,1,,0.891
OTG,2020,Stor_Lake_Ohau,,,,1,,
OTG,2020,Stor_Lake_Pukaki,,,,1,,
OTG,2020,Stor_Lake_Taupo,,,,1,,
OTG,2020,Stor_Lake_Tekapo,,,,1,,
OTG,2020,Stor_Lake_Waikaremoana,,,,1,,
OTG,2020,Stor_Lakes_Manapouri_Te_Anau,437.8,,,1,,0.7301
OTG,2030,Battery,,,30,,,
OTG,2030,Stor_Lake_Hawea,,,,1,,
OTG,2030,Stor_Lake_Ohau,,,,1,,
OTG,2030,Stor_Lake_Pukaki,,,,1,,
OTG,2030,Stor_Lake_Taupo,,,,1,,
OTG,2030,Stor_Lake_Tekapo,,,,1,,
