year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_71 in MW,"2,700.91","4,047.19","5,437.59","6,827.09","8,323.32","9,363.33","10,358.44","10,793.17","11,172.28"
Hour_72 in MW,"2,450.51","3,693.69","4,968.43","6,244.38","7,612.90","8,538.50","9,445.94","9,844.72","10,190.52"
Hour_73 in MW,"2,281.23","3,448.72","4,639.08","5,835.38","7,114.27","7,953.08","8,798.31","9,157.69","9,479.36"
Hour_74 in MW,"2,162.96","3,277.61","4,409.29","5,552.71","6,769.64","7,544.08","8,345.85","8,672.59","8,977.22"
Hour_75 in MW,"2,119.76","3,215.34","4,326.13","5,456.04","6,651.79","7,394.68","8,180.56","8,498.78","8,797.30"
Hour_76 in MW,"2,067.38","3,274.36","4,406.31","5,566.57","6,786.54","7,213.55","7,980.19","8,675.87","8,980.62"
Hour_77 in MW,"2,185.45","3,441.47","4,632.12","5,861.76","7,146.43","7,621.81","8,431.84","9,529.12","9,863.84"
Hour_78 in MW,"2,353.14","3,681.20","4,955.91","6,281.10","7,657.67","8,201.71","9,073.36","10,207.73","10,566.29"
Hour_79 in MW,"2,533.42","3,944.67","5,311.97","6,741.18","8,218.58","8,825.10","9,763.01","10,952.90","11,337.63"
Hour_80 in MW,"2,688.44","4,181.62","5,632.74","7,156.21","8,724.57","9,361.18","10,356.06","11,623.88","12,032.18"
Hour_81 in MW,"2,789.03","4,352.45","5,865.01","7,458.63","9,093.26","9,709.02","10,740.86","12,109.85","12,535.22"
Hour_82 in MW,"2,821.63","4,437.22","5,981.96","7,614.37","9,283.14","9,821.73","10,865.56","12,354.94","12,788.92"
Hour_83 in MW,"2,791.03","4,439.16","5,987.94","7,628.93","9,300.90","9,715.89","10,748.47","12,368.25","12,802.69"
Hour_84 in MW,"2,718.16","4,382.04","5,914.92","7,542.85","9,195.95","9,463.89","10,469.68","12,216.36","12,645.47"
Hour_85 in MW,"2,633.63","4,302.12","5,811.61","7,417.94","9,043.66","9,171.58","10,146.31","12,000.77","12,422.30"
Hour_86 in MW,"2,568.80","4,236.93","5,728.48","7,318.20","8,922.07","8,947.37","9,898.27","11,826.62","12,242.04"
Hour_87 in MW,"2,546.74","4,214.13","5,702.67","7,290.80","8,888.65","8,871.08","9,813.88","11,771.35","12,184.83"
Hour_88 in MW,"2,575.74","4,243.32","5,747.11","7,352.07","8,963.36","8,971.36","9,924.81","11,861.87","12,278.53"
Hour_89 in MW,"2,646.90","4,313.22","5,846.59","7,482.75","9,122.67","9,217.41","10,197.00","12,066.59","12,490.44"
Hour_90 in MW,"2,736.61","4,394.85","5,962.15","7,633.36","9,306.29","9,527.62","10,540.18","12,304.40","12,736.60"
Hour_91 in MW,"2,813.22","4,449.97","6,042.38","7,738.65","9,434.66","9,792.54","10,833.27","12,468.24","12,906.19"
Hour_92 in MW,"2,898.66","4,511.17","6,125.66","7,844.16","9,563.28","10,053.10","11,121.51","12,629.58","13,073.20"
Hour_93 in MW,"2,969.23","4,551.57","6,176.15","7,904.57","9,636.94","10,229.30","11,316.43","12,714.31","13,160.91"
Hour_94 in MW,"2,874.97","4,378.85","5,950.17","7,619.40","9,289.27","9,899.05","10,951.09","12,238.50","12,668.38"
Hour_95 in MW,"2,620.59","4,002.16","5,460.94","7,005.98","8,541.41","9,084.74","10,050.24","11,231.24","11,625.75"
Hour_96 in MW,"2,376.49","3,646.39","4,996.33","6,421.17","7,828.44","8,282.23","9,162.44","10,269.38","10,630.10"
Hour_97 in MW,"2,207.66","3,397.65","4,669.29","6,006.72","7,323.16","7,698.39","8,516.56","9,583.89","9,920.53"
Hour_98 in MW,"2,088.48","3,222.80","4,441.68","5,718.02","6,971.18","7,286.25","8,060.61","9,105.57","9,425.41"
Hour_99 in MW,"2,045.79","3,156.87","4,360.54","5,614.76","6,845.29","7,138.60","7,897.27","8,932.45","9,246.21"
Hour_100 in MW,"2,089.30","3,077.28","4,442.56","5,718.17","6,971.36","7,289.04","8,063.70","9,099.39","9,419.02"
Hour_101 in MW,"2,209.14","3,245.42","4,670.01","6,005.74","7,321.96","7,703.47","8,522.17","9,569.51","9,905.64"
Hour_102 in MW,"2,378.44","3,485.51","4,995.21","6,417.00","7,823.35","8,288.88","9,169.80","10,243.54","10,603.36"
Hour_103 in MW,"2,560.11","3,743.67","5,352.43","6,868.56","8,373.87","8,917.11","9,864.80","10,984.68","11,370.52"
Hour_104 in MW,"2,716.34","3,964.87","5,674.10","7,274.67","8,868.99","9,457.35","10,462.45","11,652.20","12,061.49"
Hour_105 in MW,"2,817.94","4,106.66","5,906.98","7,567.81","9,226.37","9,808.68","10,851.11","12,135.29","12,561.55"
Hour_106 in MW,"2,851.35","4,149.36","6,024.24","7,713.95","9,404.54","9,924.21","10,978.92","12,378.11","12,812.90"
Hour_107 in MW,"2,821.37","4,099.94","6,030.22","7,718.64","9,410.26","9,820.51","10,864.21","12,389.77","12,824.97"
Hour_108 in MW,"2,748.93","3,988.91","5,956.87","7,622.44","9,292.98","9,570.00","10,587.07","12,236.85","12,666.68"
Hour_109 in MW,"2,664.65","3,860.84","5,852.90","7,487.21","9,128.11","9,278.55","10,264.65","12,020.86","12,443.11"
Hour_110 in MW,"2,599.88","3,761.35","5,768.75","7,377.01","8,993.76","9,054.56","10,016.85","11,846.95","12,263.08"
Hour_111 in MW,"2,577.72","3,724.09","5,741.58","7,339.02","8,947.45","8,977.91","9,932.05","11,792.53","12,206.76"
Hour_112 in MW,"2,606.45","3,761.12","5,784.29","7,389.66","9,009.18","9,077.23","10,041.93","11,884.52","12,301.98"
Hour_113 in MW,"2,677.17","3,859.51","5,881.69","7,509.68","9,155.50","9,321.78","10,312.47","12,091.30","12,516.02"
Hour_114 in MW,"2,766.29","3,984.97","5,994.82","7,649.66","9,326.16","9,629.97","10,653.42","12,331.75","12,764.92"
Hour_115 in MW,"2,842.19","4,091.45","6,072.26","7,744.38","9,441.65","9,892.40","10,943.74","12,498.79","12,937.82"
Hour_116 in MW,"2,932.96","4,211.38","6,162.94","7,852.52","9,573.48","10,167.98","11,248.60","12,684.99","13,130.56"
Hour_117 in MW,"3,003.19","4,295.31","6,211.50","7,904.68","9,637.07","10,343.73","11,443.03","12,777.37","13,226.18"
Hour_118 in MW,"2,904.24","4,147.90","5,975.72","7,602.04","9,268.11","9,999.68","11,062.42","12,294.38","12,726.23"
Hour_119 in MW,"2,646.07","3,784.24","5,477.50","6,972.67","8,500.80","9,172.89","10,147.75","11,282.29","11,678.59"
Hour_120 in MW,"2,400.14","3,433.22","5,007.15","6,376.62","7,774.12","8,363.72","9,252.59","10,323.16","10,685.77"
Hour_121 in MW,"2,230.00","3,183.63","4,675.36","5,952.89","7,257.53","7,775.33","8,601.67","9,643.49","9,982.23"
Hour_122 in MW,"2,109.45","3,006.55","4,442.72","5,655.27","6,894.68","7,358.46","8,140.49","9,171.29","9,493.44"
Hour_123 in MW,"2,065.35","2,941.06","4,356.30","5,543.47","6,758.38","7,205.93","7,971.76","9,004.53","9,320.82"
Hour_124 in MW,"2,107.42","3,001.29","4,432.80","5,638.75","6,874.54","7,351.42","8,132.70","9,178.02","9,500.40"
Hour_125 in MW,"2,315.51","3,172.93","4,654.52","5,918.64","7,215.78","8,070.98","8,928.74","9,654.81","9,993.94"
Hour_126 in MW,"2,480.80","3,416.85","4,973.80","6,322.69","7,708.37","8,642.56","9,561.07","10,335.61","10,698.65"
Hour_127 in MW,"2,662.50","3,679.14","5,324.94","6,767.52","8,250.70","9,270.88","10,256.16","11,083.52","11,472.84"
Hour_128 in MW,"2,826.07","3,904.76","5,640.39","7,167.43","8,738.25","9,836.52","10,881.91","11,757.79","12,170.79"
