year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_3595 in MW,"3,814.29","5,607.88","7,504.98","9,395.64","11,454.79",,"14,397.40","14,696.99","15,213.23"
Hour_3596 in MW,"3,889.90","5,713.51","7,640.73","9,573.41","11,671.53",,"14,649.55","15,121.52","15,652.67"
Hour_3597 in MW,"3,770.93","5,548.28","7,421.28","9,305.72","11,345.16",,"14,220.00","14,796.23","15,315.96"
Hour_3598 in MW,"3,489.98","5,156.49","6,904.01","8,664.05","10,562.86",,"13,217.84","13,824.79","14,310.40"
Hour_3599 in MW,"3,158.21","4,690.91","6,288.08","7,897.46","9,628.27",,"12,023.72","12,609.56","13,052.48"
Hour_3600 in MW,"2,903.37","4,328.14","5,804.52","7,295.33","8,894.18",,"11,080.29","11,628.04","12,036.48"
Hour_3601 in MW,"2,734.10","4,083.19","5,475.19","6,886.37","8,395.58",,"10,432.70","10,941.06","11,325.37"
Hour_3602 in MW,"2,615.84","3,912.09","5,245.43","6,603.72","8,051.00",,"9,980.29","10,456.01","10,823.28"
Hour_3603 in MW,"2,572.65","3,849.84","5,162.29","6,507.09","7,933.18",,"9,815.05","10,282.24","10,643.42"
Hour_3604 in MW,"2,520.29","3,908.88","5,242.49","6,617.64","8,067.97",,"9,614.72","10,459.39","10,826.78"
Hour_3605 in MW,"2,638.36","4,076.00","5,468.33","6,912.86","8,427.89",,"10,066.42","11,312.68","11,710.05"
Hour_3606 in MW,"2,806.07","4,315.75","5,792.14","7,332.24","8,939.17",,"10,707.99","11,991.34","12,412.54"
Hour_3607 in MW,"2,986.35","4,579.24","6,148.22","7,792.34","9,500.12",,"11,397.68","12,736.55","13,183.93"
Hour_3608 in MW,"3,141.39","4,816.20","6,469.01","8,207.40","10,006.14",,"11,990.77","13,407.58","13,878.53"
Hour_3609 in MW,"3,241.99","4,987.05","6,701.31","8,509.85","10,374.87",,"12,375.61","13,893.59","14,381.61"
Hour_3610 in MW,"3,274.60","5,071.83","6,818.27","8,665.61","10,564.78",,"12,500.35","14,138.72","14,635.35"
Hour_3611 in MW,"3,244.00","5,073.79","6,824.28","8,680.21","10,582.57",,"12,383.30","14,152.07","14,649.17"
Hour_3612 in MW,"3,171.14","5,016.69","6,751.28","8,594.15","10,477.65",,"12,104.55","14,000.22","14,491.99"
Hour_3613 in MW,"3,086.63","4,936.78","6,647.99","8,469.26","10,325.39",,"11,781.23","13,784.67","14,268.87"
Hour_3614 in MW,"3,021.80","4,871.60","6,564.87","8,369.55","10,203.83",,"11,533.22","13,610.56","14,088.64"
Hour_3615 in MW,"2,999.75","4,848.81","6,539.09","8,342.17","10,170.45",,"11,448.87","13,555.33","14,031.47"
Hour_3616 in MW,"3,028.76","4,878.02","6,583.54","8,403.47","10,245.18",,"11,559.83","13,645.89","14,125.21"
Hour_3617 in MW,"3,142.34","5,005.70","6,757.97","8,627.65","10,518.50",,"11,974.71","14,002.38","14,494.23"
Hour_3618 in MW,"3,381.26","5,290.58","7,137.13","9,107.13","11,103.05",,"12,819.69","14,773.98","15,292.93"
Hour_3619 in MW,"3,625.21","5,573.63","7,512.96","9,581.22","11,681.05",,"13,675.52","15,536.44","16,082.17"
Hour_3620 in MW,"3,740.18","5,677.92","7,654.26","9,760.40","11,899.50",,"14,077.35","15,818.75","16,374.40"
Hour_3621 in MW,"3,654.69","5,511.32","7,440.41","9,493.55","11,574.16",,"13,775.16","15,374.97","15,915.02"
Hour_3622 in MW,"3,397.48","5,116.99","6,927.29","8,850.29","10,789.93",,"12,863.56","14,318.10","14,821.03"
Hour_3623 in MW,"3,079.13","4,647.81","6,314.13","8,079.83","9,850.61",,"11,720.91","13,053.34","13,511.84"
Hour_3624 in MW,"2,829.57","4,281.18","5,832.90","7,472.75","9,110.48",,"10,797.73","12,053.65","12,477.05"
Hour_3625 in MW,"2,660.74","4,032.45","5,505.87","7,058.31","8,605.22",,"10,151.87","11,368.19","11,767.51"
Hour_3626 in MW,"2,541.57","3,857.61","5,278.28","6,769.63","8,253.26",,"9,695.95","10,889.90","11,272.41"
Hour_3627 in MW,"2,498.88","3,791.69","5,197.15","6,666.39","8,127.40",,"9,532.63","10,716.81","11,093.24"
Hour_3628 in MW,"2,542.39","3,712.11","5,279.18","6,769.81","8,253.49",,"9,699.09","10,883.77","11,266.07"
Hour_3629 in MW,"2,662.25","3,880.26","5,506.65","7,057.40","8,604.11",,"10,157.59","11,353.91","11,752.73"
Hour_3630 in MW,"2,831.54","4,120.36","5,831.86","7,468.68","9,105.52",,"10,805.24","12,027.97","12,450.46"
Hour_3631 in MW,"3,013.22","4,378.53","6,189.09","7,920.25","9,656.06",,"11,500.26","12,769.13","13,217.65"
Hour_3632 in MW,"3,169.46","4,599.73","6,510.77","8,326.38","10,151.19",,"12,097.94","13,436.67","13,908.64"
Hour_3633 in MW,"3,271.06","4,741.54","6,743.66","8,619.53","10,508.60",,"12,486.63","13,919.78","14,408.72"
Hour_3634 in MW,"3,304.48","4,784.24","6,860.94","8,765.69","10,686.78",,"12,614.46","14,162.62","14,660.10"
Hour_3635 in MW,"3,274.50","4,734.83","6,866.93","8,770.39","10,692.51",,"12,499.76","14,174.30","14,672.18"
Hour_3636 in MW,"3,202.06","4,623.80","6,793.59","8,674.21","10,575.25",,"12,222.65","14,021.40","14,513.91"
Hour_3637 in MW,"3,117.79","4,495.73","6,689.62","8,538.99","10,410.39",,"11,900.24","13,805.43","14,290.36"
Hour_3638 in MW,"3,053.02","4,396.26","6,605.48","8,428.80","10,276.06",,"11,652.46","13,631.53","14,110.35"
Hour_3639 in MW,"3,030.86","4,359.00","6,578.32","8,390.83","10,229.76",,"11,567.68","13,577.13","14,054.04"
Hour_3640 in MW,"3,059.59","4,396.03","6,621.04","8,441.48","10,291.51",,"11,677.57","13,669.14","14,149.28"
Hour_3641 in MW,"3,183.94","4,567.52","6,813.26","8,679.81","10,582.08",,"12,128.66","14,067.98","14,562.13"
Hour_3642 in MW,"3,429.38","4,906.01","7,202.77","9,164.66","11,173.19",,"12,995.89","14,868.27","15,390.52"
Hour_3643 in MW,"3,671.10","5,238.50","7,573.41","9,625.25","11,734.72",,"13,844.52","15,629.20","16,178.19"
Hour_3644 in MW,"3,778.54","5,384.23","7,699.88","9,779.43","11,922.70",,"14,220.92","15,891.66","16,449.86"
Hour_3645 in MW,"3,685.49","5,251.07","7,470.81","9,487.62","11,566.93",,"13,892.63","15,428.27","15,970.20"
Hour_3646 in MW,"3,423.86","4,882.10","6,947.70","8,826.52","10,760.95",,"12,965.06","14,363.46","14,867.99"
Hour_3647 in MW,"3,103.88","4,428.86","6,329.33","8,044.81","9,807.91",,"11,815.76","13,101.48","13,561.68"
Hour_3648 in MW,"2,853.30","4,068.16","5,843.95","7,428.50","9,056.53",,"10,888.33","12,107.85","12,533.15"
Hour_3649 in MW,"2,683.16","3,818.58","5,512.16","7,004.78","8,539.96",,"10,237.42","11,428.20","11,829.62"
Hour_3650 in MW,"2,562.61","3,641.51","5,279.53","6,707.16","8,177.10",,"9,776.25","10,956.00","11,340.83"
Hour_3651 in MW,"2,518.51","3,576.01","5,193.11","6,595.37","8,040.81",,"9,607.52","10,789.24","11,168.22"
Hour_3652 in MW,"2,560.58","3,636.25","5,269.62","6,690.65","8,156.98",,"9,768.48","10,962.73","11,347.81"
Hour_3653 in MW,"2,768.67","3,807.89","5,491.34","6,970.55","8,498.22",,"10,564.52","11,439.53","11,841.35"
Hour_3654 in MW,"2,933.96","4,051.81","5,810.62","7,374.60","8,990.82",,"11,196.85","12,120.33","12,546.06"
Hour_3655 in MW,"3,115.66","4,314.09","6,161.76","7,819.44","9,533.15",,"11,891.94","12,868.24","13,320.25"
Hour_3656 in MW,"3,279.23","4,539.72","6,477.22","8,219.35","10,020.71",,"12,517.70","13,542.51","14,018.20"
Hour_3657 in MW,"3,397.48","4,686.22","6,703.78","8,506.82","10,371.18",,"12,970.06","14,032.26","14,525.15"
Hour_3658 in MW,"3,456.70","4,733.87","6,814.64","8,647.84","10,543.10",,"13,196.61","14,281.58","14,783.23"
Hour_3659 in MW,"3,459.13","4,689.67","6,814.18","8,647.96","10,543.26",,"13,205.90","14,299.53","14,801.82"
Hour_3660 in MW,"3,421.11","4,584.06","6,734.37","8,547.78","10,421.11",,"13,060.47","14,152.64","14,649.77"
Hour_3661 in MW,"3,367.57","4,461.62","6,623.95","8,409.13","10,252.08",,"12,855.63","13,942.36","14,432.10"
Hour_3662 in MW,"3,324.31","4,367.96","6,533.41","8,296.10","10,114.28",,"12,690.13","13,773.78","14,257.59"
Hour_3663 in MW,"3,310.34","4,336.67","6,499.92","8,255.87","10,065.22",,"12,636.68","13,724.26","14,206.33"
Hour_3664 in MW,"3,332.27","4,379.80","6,536.43","8,304.83","10,124.92",,"12,720.56","13,820.66","14,306.12"
Hour_3665 in MW,"3,432.92","4,553.33","6,717.17","8,535.30","10,405.90",,"13,082.34","14,212.40","14,711.62"
Hour_3666 in MW,"3,645.76","4,895.66","7,097.57","9,015.58","10,991.44",,"13,825.50","15,009.41","15,536.63"
Hour_3667 in MW,"3,852.31","5,235.08","7,463.25","9,477.07","11,554.07",,"14,539.21","15,774.46","16,328.55"
Hour_3668 in MW,"3,926.88","5,389.60","7,587.36","9,635.66","11,747.41",,"14,788.98","16,045.15","16,608.75"
Hour_3669 in MW,"3,806.82","5,265.18","7,356.17","9,348.74","11,397.62",,"14,356.63","15,589.27","16,136.86"
Hour_3670 in MW,"3,526.26","4,903.79","6,829.77","8,691.22","10,595.99",,"13,356.42","14,528.28","15,038.60"
Hour_3671 in MW,"3,196.18","4,457.07","6,207.11","7,911.92","9,645.90",,"12,168.59","13,266.70","13,732.70"
Hour_3672 in MW,"2,943.30","4,102.56","5,717.44","7,298.04","8,897.48",,"11,232.47","12,271.93","12,703.00"
Hour_3673 in MW,"2,775.80","3,859.14","5,381.83","6,877.29","8,384.52",,"10,591.66","11,590.49","11,997.62"
Hour_3674 in MW,"2,659.25","3,688.10","5,145.77","6,583.03","8,025.77",,"10,145.77","11,115.68","11,506.13"
Hour_3675 in MW,"2,617.70","3,628.50","5,056.33","6,474.99","7,894.05",,"9,986.82","10,945.47","11,329.94"
Hour_3676 in MW,"2,659.71","3,694.46","4,948.78","6,574.36","8,015.20",,"10,147.52","11,114.66","11,505.07"
Hour_3677 in MW,"2,776.21","4,002.12","5,174.45","6,858.66","8,361.81",,"10,593.21","11,586.31","11,993.29"
Hour_3678 in MW,"2,942.85","4,247.63","5,497.08","7,267.39","8,860.11",,"11,230.68","12,261.11","12,691.79"
Hour_3679 in MW,"3,126.02","4,517.10","5,844.23","7,717.15","9,408.44",,"11,931.43","13,002.19","13,458.90"
Hour_3680 in MW,"3,291.20","4,760.25","6,141.92","8,122.19","9,902.25",,"12,563.31","13,668.79","14,148.91"
Hour_3681 in MW,"3,411.17","4,937.48","6,333.10","8,414.95","10,259.18",,"13,022.26","14,150.05","14,647.08"
Hour_3682 in MW,"3,472.21","5,028.82","6,391.29","8,561.40","10,437.72",,"13,255.80","14,390.09","14,895.56"
Hour_3683 in MW,"3,476.57","5,037.49","6,325.89","8,567.05","10,444.61",,"13,272.45","14,398.00","14,903.74"
Hour_3684 in MW,"3,440.57","4,987.26","6,177.87","8,472.45","10,329.27",,"13,134.71","14,240.33","14,740.53"
Hour_3685 in MW,"3,389.11","4,914.34","6,007.14","8,339.40","10,167.07",,"12,937.85","14,018.56","14,510.97"
Hour_3686 in MW,"3,348.00","4,856.27","5,875.06","8,231.96","10,036.08",,"12,780.57","13,837.83","14,323.89"
Hour_3687 in MW,"3,336.22","4,840.68","5,826.80","8,197.26","9,993.78",,"12,735.52","13,775.53","14,259.41"
Hour_3688 in MW,"3,360.38","4,877.16","5,878.59","8,251.68","10,060.12",,"12,827.93","13,858.59","14,345.38"
Hour_3689 in MW,"3,457.16","5,014.95","6,091.59","8,473.92","10,331.07",,"13,177.62","14,214.45","14,713.74"
Hour_3690 in MW,"3,668.34","5,309.14","6,528.68","8,950.56","10,912.17",,"13,915.94","14,982.78","15,509.06"
Hour_3691 in MW,"3,877.95","5,599.27","6,969.52","9,418.63","11,482.82",,"14,640.64","15,735.60","16,288.32"
Hour_3692 in MW,"3,958.41","5,709.24","7,172.69","9,589.95","11,691.69",,"14,911.06","16,004.09","16,566.25"
Hour_3693 in MW,"3,844.14","5,548.27","7,009.75","9,315.61","11,357.22",,"14,499.34","15,545.86","16,091.92"
Hour_3694 in MW,"3,567.55","5,160.35","6,531.77","8,666.60","10,565.98",,"13,513.79","14,476.17","14,984.65"
Hour_3695 in MW,"3,239.79","4,698.27","5,936.69","7,892.04","9,621.66",,"12,335.05","13,200.06","13,663.72"
Hour_3696 in MW,"2,988.76","4,338.86","5,458.89","7,281.62","8,877.47",,"11,406.21","12,189.10","12,617.25"
Hour_3697 in MW,"2,823.14","4,097.19","5,126.41","6,864.21","8,368.57",,"10,772.62","11,491.75","11,895.41"
Hour_3698 in MW,"2,708.36","3,929.30","4,891.44","6,572.94","8,013.47",,"10,333.50","11,001.09","11,387.51"
Hour_3699 in MW,"2,668.46","3,870.17","4,806.48","6,467.52","7,884.95",,"10,180.86","10,815.15","11,195.04"
Hour_3700 in MW,"2,711.98","3,932.26","4,890.54","6,338.82","7,728.04",,"10,347.33","10,968.79","11,354.08"
Hour_3701 in MW,"2,829.84","4,102.36","5,124.33","6,632.69","8,086.32",,"10,798.21","11,425.15","11,826.46"
Hour_3702 in MW,"2,997.67","4,345.02","5,455.25","7,049.25","8,594.17",,"11,440.24","12,084.99","12,509.48"
Hour_3703 in MW,"3,181.86","4,611.36","5,810.81","7,496.50","9,139.44",,"12,144.89","12,811.50","13,261.52"
Hour_3704 in MW,"3,347.87","4,851.12","6,117.02","7,880.54","9,607.64",,"12,779.97","13,464.00","13,936.94"
Hour_3705 in MW,"3,468.48","5,024.72","6,316.78","8,128.93","9,910.47",,"13,241.35","13,931.70","14,421.06"
Hour_3706 in MW,"3,529.96","5,112.21","6,383.56","8,208.01","10,006.88",,"13,476.56","14,158.77","14,656.11"
Hour_3707 in MW,"3,534.54","5,116.83","6,326.75","8,129.69","9,911.40",,"13,494.07","14,154.36","14,651.55"
Hour_3708 in MW,"3,498.54","5,062.37","6,187.27","7,945.95","9,687.39",,"13,356.35","13,985.09","14,476.33"
Hour_3709 in MW,"3,446.87","4,985.07","6,025.02","7,732.81","9,427.54",,"13,158.66","13,752.49","14,235.55"
Hour_3710 in MW,"3,405.31","4,922.49","5,901.28","7,568.08","9,226.71",,"12,999.67","13,561.74","14,038.11"
Hour_3711 in MW,"3,392.86","4,902.28","5,861.22","7,509.11","9,154.82",,"12,952.02","13,490.31","13,964.16"
Hour_3712 in MW,"3,416.10","4,934.05","5,921.04","7,576.48","9,236.94",,"13,040.95","13,565.13","14,041.62"
Hour_3713 in MW,"3,522.23","5,081.41","6,160.46","7,869.33","9,593.98",,"13,421.73","13,951.46","14,441.51"
Hour_3714 in MW,"3,738.48","5,379.68","6,616.72","8,433.20","10,281.42",,"14,177.00","14,737.15","15,254.81"
Hour_3715 in MW,"3,945.01","5,663.12","7,062.51","8,983.13","10,951.87",,"14,891.18","15,480.09","16,023.84"
Hour_3716 in MW,"4,017.45","5,759.94","7,261.87","9,223.46","11,244.87",,"15,134.04","15,722.57","16,274.83"
Hour_3717 in MW,"3,895.06","5,585.91","7,094.81","9,003.64","10,976.88",,"14,693.85","15,239.32","15,774.61"
Hour_3718 in MW,"3,613.12","5,189.00","6,617.52","8,393.62","10,233.17",,"13,688.69","14,156.03","14,653.27"
Hour_3719 in MW,"3,282.44","4,721.62","6,027.41","7,640.38","9,314.85",,"12,498.41","12,876.89","13,329.20"
Hour_3720 in MW,"3,028.93","4,357.93","5,555.45","7,033.40","8,574.84",,"11,559.71","11,866.63","12,283.46"
Hour_3721 in MW,"2,860.40","4,111.85","5,228.10","6,607.32","8,055.38",,"10,914.98","11,170.55","11,562.93"
Hour_3722 in MW,"2,742.51","3,939.68","4,997.83","6,304.41","7,686.09",,"10,464.01","10,682.26","11,057.48"
Hour_3723 in MW,"2,699.34","3,876.45","4,917.12","6,191.33","7,548.23",,"10,298.82","10,499.78","10,868.60"
Hour_3724 in MW,"2,739.41","3,934.59","5,004.97","6,292.24","7,671.26",,"10,452.11","10,279.93","10,641.02"
Hour_3725 in MW,"2,853.67","4,100.95","5,417.52","6,582.71","8,025.38",,"10,889.22","10,754.54","11,132.30"
Hour_3726 in MW,"3,017.76","4,340.07","5,746.30","6,995.99","8,529.23",,"11,516.95","11,431.45","11,832.99"
Hour_3727 in MW,"3,198.08","4,603.09","6,107.08","7,440.13","9,070.71",,"12,206.81","12,159.71","12,586.82"
Hour_3728 in MW,"3,360.12","4,839.76","6,432.27","7,821.25","9,535.36",,"12,826.66","12,785.22","13,234.31"
Hour_3729 in MW,"3,476.65","5,010.50","6,668.67","8,066.96","9,834.92",,"13,272.47","13,189.13","13,652.41"
Hour_3730 in MW,"3,533.98","5,095.39","6,789.42","8,143.62","9,928.38",,"13,491.79","13,316.23","13,783.98"
Hour_3731 in MW,"3,534.34","5,097.67","6,798.87","8,063.18","9,830.31",,"13,493.17","13,186.06","13,649.23"
Hour_3732 in MW,"3,494.08","5,041.12","6,728.99","7,877.63","9,604.10",,"13,339.15","12,883.95","13,336.51"
Hour_3733 in MW,"3,438.12","4,962.00","6,628.47","7,663.03","9,342.46",,"13,125.06","12,534.65","12,974.94"
Hour_3734 in MW,"3,392.26","4,897.86","6,547.77","7,497.21","9,140.30",,"12,949.62","12,265.91","12,696.76"
Hour_3735 in MW,"3,375.52","4,876.36","6,524.07","7,437.55","9,067.57",,"12,885.56","12,171.81","12,599.36"
Hour_3736 in MW,"3,394.50","4,907.11","6,570.25","7,504.63","9,149.35",,"12,958.16","12,286.12","12,717.68"
Hour_3737 in MW,"3,496.90","5,054.39","6,769.19","7,798.75","9,507.93",,"13,324.50","12,771.18","13,219.78"
Hour_3738 in MW,"3,709.27","5,352.55","7,164.06","8,363.85","10,196.87",,"14,064.82","13,697.24","14,178.37"
Hour_3739 in MW,"3,911.65","5,635.64","7,537.79","8,914.67","10,868.42",,"14,763.15","14,599.78","15,112.61"
Hour_3740 in MW,"3,979.81","5,732.05","7,666.03","9,155.91","11,162.52",,"14,989.81","14,997.96","15,524.77"
Hour_3741 in MW,"3,853.28","5,557.88","7,438.81","8,937.49","10,896.24",,"14,533.87","14,647.20","15,161.70"
Hour_3742 in MW,"3,567.46","5,161.22","6,918.48","8,329.64","10,155.17",,"13,513.91","13,661.26","14,141.12"
Hour_3743 in MW,"3,233.17","4,694.47","6,303.71","7,579.33","9,240.42",,"12,309.78","12,441.59","12,878.61"
Hour_3744 in MW,"2,976.22","4,331.65","5,822.22","6,975.82","8,504.65",,"11,357.96","11,459.06","11,861.56"
Hour_3745 in MW,"2,804.43","4,086.61","5,494.35","6,553.68","7,989.99",,"10,700.75","10,771.39","11,149.74"
Hour_3746 in MW,"2,683.48","3,915.66","5,265.72","6,255.19","7,626.08",,"10,238.02","10,286.50","10,647.82"
Hour_3747 in MW,"2,637.43","3,853.78","5,183.40","6,146.99","7,494.17",,"10,061.84","10,113.70","10,468.96"
Hour_3748 in MW,"2,674.84","3,913.43","5,264.10","6,253.24","7,623.70",,"10,204.95","10,292.60","10,654.14"
Hour_3749 in MW,"2,786.66","4,081.39","5,490.13","6,772.11","8,256.29",,"10,632.75","10,783.00","11,161.76"
Hour_3750 in MW,"2,948.55","4,322.22","5,813.82","7,185.23","8,759.95",,"11,252.05","11,475.29","11,878.37"
Hour_3751 in MW,"3,126.92","4,587.03","6,169.50","7,639.57","9,313.86",,"11,934.41","12,218.47","12,647.65"
Hour_3752 in MW,"3,287.24","4,825.55","6,489.60","8,049.36","9,813.46",,"12,547.73","12,858.39","13,310.05"
Hour_3753 in MW,"3,402.31","4,998.19","6,720.93","8,347.08","10,176.43",,"12,987.97","13,276.12","13,742.46"
Hour_3754 in MW,"3,458.45","5,084.98","6,836.69","8,498.67","10,361.25",,"13,202.72","13,416.42","13,887.69"
Hour_3755 in MW,"3,457.89","5,089.16","6,841.25","8,509.68","10,374.67",,"13,200.56","13,298.78","13,765.91"
Hour_3756 in MW,"3,416.97","5,034.50","6,766.57","8,420.65","10,266.12",,"13,044.02","13,008.48","13,465.41"
Hour_3757 in MW,"3,360.62","4,957.22","6,661.42","8,293.40","10,110.99",,"12,828.42","12,670.24","13,115.29"
Hour_3758 in MW,"3,314.64","4,894.87","6,576.26","8,191.97","9,987.33",,"12,652.52","12,411.76","12,847.73"
Hour_3759 in MW,"3,298.04","4,875.08","6,548.27","8,163.52","9,952.64",,"12,589.02","12,327.11","12,760.11"
Hour_3760 in MW,"3,317.43","4,907.43","6,590.40","8,224.41","10,026.88",,"12,663.20","12,450.01","12,887.32"
Hour_3761 in MW,"3,411.81","5,044.33","6,770.07","8,458.44","10,312.20",,"13,002.70","12,911.50","13,365.03"
Hour_3762 in MW,"3,619.90","5,336.66","7,151.98","8,945.44","10,905.92",,"13,728.62","13,825.30","14,310.92"
Hour_3763 in MW,"3,824.71","5,622.58","7,524.42","9,420.11","11,484.62",,"14,435.22","14,737.76","15,255.44"
Hour_3764 in MW,"3,899.37","5,726.91","7,658.49","9,595.80","11,698.81",,"14,684.18","15,158.91","15,691.38"
Hour_3765 in MW,"3,779.44","5,560.38","7,437.35","9,325.98","11,369.87",,"14,251.40","14,830.17","15,351.10"
Hour_3766 in MW,"3,498.00","5,167.90","6,919.16","8,683.17","10,586.17",,"13,247.49","13,856.87","14,343.61"
Hour_3767 in MW,"3,166.14","4,702.18","6,303.04","7,916.33","9,651.28",,"12,052.98","12,641.23","13,085.27"
Hour_3768 in MW,"2,911.32","4,339.43","5,819.49","7,314.21","8,917.20",,"11,109.56","11,659.71","12,069.27"
Hour_3769 in MW,"2,742.03","4,094.44","5,490.13","6,905.20","8,418.55",,"10,461.91","10,972.65","11,358.08"
Hour_3770 in MW,"2,623.75","3,923.32","5,260.33","6,622.52","8,073.91",,"10,009.42","10,487.52","10,855.91"
Hour_3771 in MW,"2,580.54","3,861.05","5,177.15","6,525.83","7,956.04",,"9,844.11","10,313.68","10,675.96"
Hour_3772 in MW,"2,528.16","3,920.05","5,257.32","6,636.34","8,090.77",,"9,643.71","10,490.75","10,859.25"
Hour_3773 in MW,"2,646.21","4,087.15","5,483.12","6,931.52","8,450.63",,"10,095.33","11,343.97","11,742.43"
Hour_3774 in MW,"2,813.90","4,326.87","5,806.89","7,350.85","8,961.86",,"10,736.83","12,022.55","12,444.85"
Hour_3775 in MW,"2,994.17","4,590.33","6,162.94","7,810.91","9,522.75",,"11,426.45","12,767.68","13,216.16"
Hour_3776 in MW,"3,149.18","4,827.26","6,483.70","8,225.92","10,028.71",,"12,019.47","13,438.63","13,910.67"
Hour_3777 in MW,"3,249.76","4,998.09","6,715.95","8,528.32","10,397.39",,"12,404.25","13,924.56","14,413.67"
Hour_3778 in MW,"3,282.35","5,082.84","6,832.88","8,684.04","10,587.24",,"12,528.91","14,169.62","14,667.34"
Hour_3779 in MW,"3,251.73","5,084.77","6,838.85","8,698.59","10,604.98",,"12,411.79","14,182.89","14,681.08"
Hour_3780 in MW,"3,178.85","5,027.64","6,765.82","8,612.49","10,500.01",,"12,132.97","14,030.96","14,523.81"
Hour_3781 in MW,"3,094.32","4,947.70","6,662.49","8,487.55","10,347.69",,"11,809.57","13,815.33","14,300.61"
Hour_3782 in MW,"3,029.47","4,882.50","6,579.34","8,387.80","10,226.07",,"11,561.49","13,641.15","14,120.30"
Hour_3783 in MW,"3,007.41","4,859.68","6,553.52","8,360.37","10,192.63",,"11,477.07","13,585.84","14,063.05"
Hour_3784 in MW,"3,036.39","4,888.86","6,597.93","8,421.62","10,267.31",,"11,587.97","13,676.32","14,156.71"
Hour_3785 in MW,"3,162.71","5,033.94","6,794.96","8,674.02","10,575.02",,"12,045.91","14,078.62","14,573.15"
Hour_3786 in MW,"3,409.60","5,329.80","7,188.45","9,171.45","11,181.47",,"12,918.34","14,879.42","15,402.08"
Hour_3787 in MW,"3,651.79","5,610.60","7,561.47","9,642.08","11,755.25",,"13,768.95","15,636.34","16,185.58"
Hour_3788 in MW,"3,759.18","5,704.63","7,689.51","9,804.76","11,953.57",,"14,145.61","15,891.88","16,450.10"
Hour_3789 in MW,"3,666.23","5,527.82","7,462.38","9,521.31","11,608.00",,"13,818.08","15,421.14","15,962.82"
Hour_3790 in MW,"3,405.23","5,128.19","6,942.29","8,869.29","10,813.09",,"12,893.06","14,349.97","14,854.03"
Hour_3791 in MW,"3,086.36","4,658.15","6,327.90","8,097.24","9,871.83",,"11,747.91","13,082.56","13,542.09"
Hour_3792 in MW,"2,837.04","4,291.80","5,847.00","7,490.53","9,132.16",,"10,825.29","12,083.46","12,507.90"
Hour_3793 in MW,"2,668.20","4,043.04","5,519.93","7,076.05","8,626.84",,"10,179.36","11,397.92","11,798.28"
Hour_3794 in MW,"2,549.01","3,868.17","5,292.30","6,787.32","8,274.83",,"9,723.37","10,919.55","11,303.11"
Hour_3795 in MW,"2,506.30","3,802.22","5,211.14","6,684.03","8,148.91",,"9,559.98","10,746.38","11,123.86"
Hour_3796 in MW,"2,549.79","3,722.62","5,293.14","6,787.41","8,274.94",,"9,726.37","10,913.27","11,296.61"
Hour_3797 in MW,"2,669.62","3,890.74","5,520.56","7,074.96","8,625.51",,"10,184.80","11,383.33","11,783.18"
Hour_3798 in MW,"2,838.90","4,130.81","5,845.73","7,486.19","9,126.86",,"10,832.38","12,057.31","12,480.83"
Hour_3799 in MW,"3,020.56","4,388.95","6,202.93","7,937.71","9,677.35",,"11,527.33","12,798.39","13,247.94"
Hour_3800 in MW,"3,176.77","4,610.13","6,524.58","8,343.80","10,172.43",,"12,124.93","13,465.85","13,938.85"
Hour_3801 in MW,"3,278.36","4,751.90","6,757.43","8,636.91","10,529.78",,"12,513.55","13,948.89","14,438.85"
Hour_3802 in MW,"3,311.75","4,794.58","6,874.67","8,783.02","10,707.91",,"12,641.31","14,191.65","14,690.14"
Hour_3803 in MW,"3,281.76","4,745.14","6,880.63","8,787.67","10,713.58",,"12,526.54","14,203.25","14,702.15"
Hour_3804 in MW,"3,209.30","4,634.09","6,807.25","8,691.44","10,596.26",,"12,249.35","14,050.27","14,543.80"
Hour_3805 in MW,"3,125.01","4,505.99","6,703.24","8,556.17","10,431.35",,"11,926.88","13,834.22","14,320.16"
Hour_3806 in MW,"3,060.22","4,406.49","6,619.07","8,445.94","10,296.96",,"11,679.03","13,660.25","14,140.08"
Hour_3807 in MW,"3,038.04","4,369.20","6,591.87","8,407.92","10,250.61",,"11,594.17","13,605.77","14,083.68"
Hour_3808 in MW,"3,066.75","4,406.21","6,634.55","8,458.52","10,312.30",,"11,703.99","13,697.69","14,178.84"
Hour_3809 in MW,"3,196.86","4,585.57","6,837.01","8,709.64","10,618.45",,"12,174.60","14,117.29","14,613.17"
Hour_3810 in MW,"3,445.43","4,928.37","7,232.15","9,201.55","11,218.16",,"13,052.61","14,929.05","15,453.45"
Hour_3811 in MW,"3,686.21","5,259.64","7,601.24","9,660.23","11,777.37",,"13,898.35","15,686.92","16,237.94"
Hour_3812 in MW,"3,790.37","5,400.93","7,721.97","9,807.25","11,956.62",,"14,263.83","15,937.77","16,497.59"
Hour_3813 in MW,"3,694.18","5,263.46","7,487.30","9,508.45","11,592.33",,"13,924.86","15,463.01","16,006.16"
