accNodesModel,accYears,indicator,value
WEL,2030,OMFix,2.2019184857368557
WEL,2030,SlackCost,3.688120211835961e-07
WEL,2030,SystemCost,163.8467878311856
WEL,2040,CO2_emission,0.47215822743579167
WEL,2040,FuelCost,0.47215822743579167
WEL,2040,Invest,128.16460804017697
WEL,2040,OMFix,2.249433829402917
WEL,2040,SlackCost,2.010362337296424e-06
WEL,2040,SystemCost,130.886202107378
WEL,2050,CO2_emission,18.186163444929498
WEL,2050,FuelCost,18.186163444929498
WEL,2050,Invest,145.03954604379567
WEL,2050,OMFix,2.2996106919715253
WEL,2050,SlackCost,1.476393948851905e-06
WEL,2050,SystemCost,165.52532165709064
WEL,horizon,CO2_emission,19.03496946789741
WEL,horizon,FuelCost,19.03496946789741
WEL,horizon,Invest,464.8398067206304
WEL,horizon,OMFix,7.8124700623483125
WEL,horizon,SlackCost,5.0162093920028525e-06
WEL,horizon,SystemCost,491.68725126708546
WTO,2020,CO2_emission,1038.4404322763512
WTO,2020,FuelCost,1038.4404322763512
WTO,2020,Invest,305.19217933634786
WTO,2020,OMFix,2.2802912142467844
WTO,2020,SlackCost,1.1530025916961205e-06
WTO,2020,SystemCost,1345.9129039799484
WTO,2030,CO2_emission,14.825795993188239
WTO,2030,FuelCost,14.825795993188239
WTO,2030,Invest,282.3055003709398
WTO,2030,OMFix,2.3838887816280296
WTO,2030,SlackCost,3.944054556397645e-07
WTO,2030,SystemCost,299.5151855401615
WTO,2040,CO2_emission,27.742638606976694
WTO,2040,FuelCost,27.742638606976694
WTO,2040,Invest,252.80018246548943
WTO,2040,OMFix,2.386294092698768
WTO,2040,SlackCost,2.0190308505064257e-06
WTO,2040,SystemCost,282.9291171841957
WTO,2050,CO2_emission,7.506537735129968e-05
WTO,2050,FuelCost,7.506537735129968e-05
WTO,2050,Invest,252.86864169153822
WTO,2050,OMFix,2.3372934661730573
WTO,2050,SlackCost,1.8084401219709173e-06
WTO,2050,SystemCost,255.20601203152876
WTO,horizon,CO2_emission,1081.0089419418935
WTO,horizon,FuelCost,1081.0089419418935
WTO,horizon,Invest,1093.1665038643155
WTO,horizon,OMFix,9.38776755474664
WTO,horizon,SlackCost,5.374879019813228e-06
WTO,horizon,SystemCost,2183.5632187358347
global,2020,CO2_emission,1721.4917102920122
global,2020,FuelCost,1721.4917102920122
global,2020,Invest,596.4564502399429
global,2020,OMFix,11.099918004727222
global,2020,SlackCost,0.4566140951711877
global,2020,SystemCost,2329.5046926318537
global,2030,CO2_emission,20.16775776178754
global,2030,FuelCost,20.16775776178754
global,2030,Invest,1193.8441904566732
global,2030,OMFix,13.617254209473842
global,2030,SlackCost,4.165423160733343e-06
global,2030,SystemCost,1227.6292065933576
global,2040,CO2_emission,92.08370992388616
global,2040,FuelCost,92.08370992388616
global,2040,Invest,1529.0749683339568
global,2040,OMFix,14.46506095573696
global,2040,SlackCost,2.2148045728342017e-05
global,2040,SystemCost,1635.6237613616256
global,2050,CO2_emission,145.5348722305959
global,2050,FuelCost,145.5348722305959
global,2050,Invest,1987.1680566254583
global,2050,OMFix,17.031788178208178
global,2050,SlackCost,1.763319057680205e-05
global,2050,SystemCost,2149.734734667452
global,horizon,CO2_emission,1979.2780502082817
global,horizon,FuelCost,1979.2780502082817
global,horizon,Invest,5306.543665656031
global,horizon,OMFix,56.21402134814621
global,horizon,SlackCost,0.45665804183065356
global,horizon,SystemCost,7342.49239525429
