,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion
BOP,2045,DIE,,,100,
BOP,2045,Electrolyser,,,100,
BOP,2045,GT,,,100,
BOP,2045,H2_CCGT,,,100,
BOP,2045,H2_FC,,,100,
BOP,2045,Hydro,,,100,1
BOP,2045,OCGT,,,100,
BOP,2045,geoth,0,,100,1
BOP,2045,pv_central_fixed,,,238,
BOP,2045,pv_decentral,,,0.5635,
BOP,2045,wind_offshore_floating,,,21.9,
BOP,2045,wind_offshore_foundation,,,5.591,
BOP,2045,wind_onshore,,,11.4,
BOP,2050,BIO,,,100,
BOP,2050,CCGT,,,100,
BOP,2050,COAL,,,100,
BOP,2050,DIE,,,100,
BOP,2050,Electrolyser,,,100,
BOP,2050,GT,,,100,
BOP,2050,H2_CCGT,,,100,
BOP,2050,H2_FC,,,100,
BOP,2050,H2_storage,,,50,
BOP,2050,Hydro,,,100,1
BOP,2050,OCGT,,,100,
BOP,2050,geoth,0,,100,1
BOP,2050,pv_central_fixed,,,238,
BOP,2050,pv_central_track_azimuth,,,237.9,
BOP,2050,pv_decentral,,,0.5635,
BOP,2050,wind_offshore_floating,,,21.9,
BOP,2050,wind_offshore_foundation,,,5.591,
BOP,2050,wind_onshore,,,11.4,
CAN,1996,BIO,0.0032,,,
CAN,2000,Hydro,1.827,,100,1
CAN,2003,wind_onshore,0.0005,,,
CAN,2005,wind_onshore,0.0001,,,
CAN,2020,BIO,,,100,1
CAN,2020,Battery,,,50,
CAN,2020,CCGT,,,100,1
CAN,2020,COAL,,,100,1
CAN,2020,DIE,,,100,1
CAN,2020,Electrolyser,,,100,
CAN,2020,GT,,,100,1
CAN,2020,H2_CCGT,,,100,
CAN,2020,H2_FC,,,100,
CAN,2020,H2_storage,,,50,
CAN,2020,Hydro,,,100,1
CAN,2020,OCGT,,,100,1
CAN,2020,pv_central_fixed,,,1084,1
CAN,2020,pv_decentral,,,1.192,1
CAN,2020,wind_offshore_floating,,,67.81,1
CAN,2020,wind_offshore_foundation,,,25.38,1
CAN,2020,wind_onshore,,,32.23,1
CAN,2025,BIO,,,100,
CAN,2025,CCGT,,,100,
CAN,2025,COAL,,,100,
CAN,2025,DIE,,,100,
CAN,2025,Electrolyser,,,100,
CAN,2025,GT,,,100,
CAN,2025,H2_CCGT,,,100,
CAN,2025,H2_FC,,,100,
CAN,2025,Hydro,,,100,1
CAN,2025,OCGT,,,100,
CAN,2025,pv_central_fixed,,,1084,
CAN,2025,pv_decentral,,,1.192,
CAN,2025,wind_offshore_floating,,,67.81,
CAN,2025,wind_offshore_foundation,,,25.38,
CAN,2025,wind_onshore,,,32.23,
CAN,2030,BIO,,,100,
CAN,2030,Battery,,,50,
CAN,2030,CCGT,,,100,
CAN,2030,COAL,,,100,
CAN,2030,DIE,,,100,
CAN,2030,Electrolyser,,,100,
CAN,2030,GT,,,100,
CAN,2030,H2_CCGT,,,100,
CAN,2030,H2_FC,,,100,
CAN,2030,Hydro,,,100,1
CAN,2030,OCGT,,,100,
CAN,2030,pv_central_fixed,,,1084,
CAN,2030,pv_decentral,,,1.192,
CAN,2030,wind_offshore_floating,,,67.81,
CAN,2030,wind_offshore_foundation,,,25.38,
CAN,2030,wind_onshore,,,32.23,
CAN,2035,BIO,,,100,
CAN,2035,CCGT,,,100,
CAN,2035,COAL,,,100,
CAN,2035,DIE,,,100,
CAN,2035,Electrolyser,,,100,
CAN,2035,GT,,,100,
CAN,2035,H2_CCGT,,,100,
CAN,2035,H2_FC,,,100,
CAN,2035,H2_storage,,,50,
CAN,2035,Hydro,,,100,1
CAN,2035,OCGT,,,100,
CAN,2035,pv_central_fixed,,,1084,
CAN,2035,pv_decentral,,,1.192,
CAN,2035,wind_offshore_floating,,,67.81,
CAN,2035,wind_offshore_foundation,,,25.38,
CAN,2035,wind_onshore,,,32.23,
CAN,2040,BIO,,,100,
CAN,2040,CCGT,,,100,
CAN,2040,COAL,,,100,
CAN,2040,DIE,,,100,
CAN,2040,Electrolyser,,,100,
CAN,2040,GT,,,100,
CAN,2040,H2_CCGT,,,100,
CAN,2040,H2_FC,,,100,
CAN,2040,Hydro,,,100,1
CAN,2040,OCGT,,,100,
CAN,2040,pv_central_fixed,,,1084,
CAN,2040,pv_decentral,,,1.192,
CAN,2040,wind_offshore_floating,,,67.81,
CAN,2040,wind_offshore_foundation,,,25.38,
CAN,2040,wind_onshore,,,32.23,
CAN,2045,BIO,,,100,
CAN,2045,CCGT,,,100,
CAN,2045,COAL,,,100,
CAN,2045,DIE,,,100,
CAN,2045,Electrolyser,,,100,
CAN,2045,GT,,,100,
CAN,2045,H2_CCGT,,,100,
CAN,2045,H2_FC,,,100,
CAN,2045,Hydro,,,100,1
CAN,2045,OCGT,,,100,
CAN,2045,pv_central_fixed,,,1084,
CAN,2045,pv_decentral,,,1.192,
CAN,2045,wind_offshore_floating,,,67.81,
CAN,2045,wind_offshore_foundation,,,25.38,
CAN,2045,wind_onshore,,,32.23,
CAN,2050,BIO,,,100,
CAN,2050,CCGT,,,100,
CAN,2050,COAL,,,100,
CAN,2050,DIE,,,100,
CAN,2050,Electrolyser,,,100,
CAN,2050,GT,,,100,
CAN,2050,H2_CCGT,,,100,
CAN,2050,H2_FC,,,100,
CAN,2050,H2_storage,,,50,
