,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion
NEL,2040,pv_decentral,,,0.328,
NEL,2040,wind_offshore_floating,,,92.84,
NEL,2040,wind_offshore_foundation,,,13.35,
NEL,2040,wind_onshore,,,14.76,
NEL,2045,BIO,,,100,
NEL,2045,CCGT,,,100,
NEL,2045,COAL,,,100,
NEL,2045,DIE,,,100,
NEL,2045,Electrolyser,,,100,
NEL,2045,GT,,,100,
NEL,2045,H2_CCGT,,,100,
NEL,2045,H2_FC,,,100,
NEL,2045,Hydro,,,100,1
NEL,2045,OCGT,,,100,
NEL,2045,pv_central_fixed,,,476.7,
NEL,2045,pv_decentral,,,0.328,
NEL,2045,wind_offshore_floating,,,92.84,
NEL,2045,wind_offshore_foundation,,,13.35,
NEL,2045,wind_onshore,,,14.76,
NEL,2050,BIO,,,100,
NEL,2050,CCGT,,,100,
NEL,2050,COAL,,,100,
NEL,2050,DIE,,,100,
NEL,2050,Electrolyser,,,100,
NEL,2050,GT,,,100,
NEL,2050,H2_CCGT,,,100,
NEL,2050,H2_FC,,,100,
NEL,2050,H2_storage,,,50,
NEL,2050,Hydro,,,100,1
NEL,2050,OCGT,,,100,
NEL,2050,pv_central_fixed,,,476.7,
NEL,2050,pv_central_track_azimuth,,,476.4,
NEL,2050,pv_decentral,,,0.328,
NEL,2050,wind_offshore_floating,,,92.84,
NEL,2050,wind_offshore_foundation,,,13.35,
NEL,2050,wind_onshore,,,14.76,
NIS,1992,BIO,0.0028,,,
NIS,1998,geoth,0.025,,0,0
NIS,2011,DIE,0.018,,,
NIS,2020,BIO,,,100,1
NIS,2020,Battery,,,50,
NIS,2020,CCGT,,,100,1
NIS,2020,COAL,,,100,1
NIS,2020,DIE,,,100,1
NIS,2020,Electrolyser,,,100,
NIS,2020,GT,,,100,1
NIS,2020,H2_CCGT,,,100,
NIS,2020,H2_FC,,,100,
NIS,2020,H2_storage,,,50,
NIS,2020,OCGT,,,100,1
NIS,2020,geoth,0,,100,1
NIS,2020,pv_central_fixed,,,240.1,1
NIS,2020,pv_decentral,,,0.2162,1
NIS,2020,wind_offshore_floating,,,46.91,1
NIS,2020,wind_offshore_foundation,,,4.841,1
NIS,2020,wind_onshore,,,9.923,1
NIS,2025,BIO,,,100,
NIS,2025,CCGT,,,100,
NIS,2025,COAL,,,100,
NIS,2025,DIE,,,100,
NIS,2025,Electrolyser,,,100,
NIS,2025,GT,,,100,
NIS,2025,H2_CCGT,,,100,
NIS,2025,H2_FC,,,100,
NIS,2025,OCGT,,,100,
NIS,2025,geoth,0,,100,1
NIS,2025,pv_central_fixed,,,240.1,
NIS,2025,pv_decentral,,,0.2162,
NIS,2025,wind_offshore_floating,,,46.91,
NIS,2025,wind_offshore_foundation,,,4.841,
NIS,2025,wind_onshore,,,9.923,
NIS,2030,BIO,,,100,
NIS,2030,Battery,,,50,
NIS,2030,CCGT,,,100,
NIS,2030,COAL,,,100,
NIS,2030,DIE,,,100,
NIS,2030,Electrolyser,,,100,
NIS,2030,GT,,,100,
NIS,2030,H2_CCGT,,,100,
NIS,2030,H2_FC,,,100,
NIS,2030,OCGT,,,100,
NIS,2030,geoth,0,,100,1
NIS,2030,pv_central_fixed,,,240.1,
NIS,2030,pv_decentral,,,0.2162,
NIS,2030,wind_offshore_floating,,,46.91,
NIS,2030,wind_offshore_foundation,,,4.841,
NIS,2030,wind_onshore,,,9.923,
NIS,2035,BIO,,,100,
NIS,2035,CCGT,,,100,
NIS,2035,COAL,,,100,
NIS,2035,DIE,,,100,
NIS,2035,Electrolyser,,,100,
NIS,2035,GT,,,100,
NIS,2035,H2_CCGT,,,100,
NIS,2035,H2_FC,,,100,
NIS,2035,H2_storage,,,50,
NIS,2035,OCGT,,,100,
NIS,2035,geoth,0,,100,1
NIS,2035,pv_central_fixed,,,240.1,
NIS,2035,pv_decentral,,,0.2162,
NIS,2035,wind_offshore_floating,,,46.91,
NIS,2035,wind_offshore_foundation,,,4.841,
NIS,2035,wind_onshore,,,9.923,
NIS,2040,BIO,,,100,
NIS,2040,CCGT,,,100,
NIS,2040,COAL,,,100,
NIS,2040,DIE,,,100,
NIS,2040,Electrolyser,,,100,
NIS,2040,GT,,,100,
NIS,2040,H2_CCGT,,,100,
NIS,2040,H2_FC,,,100,
NIS,2040,OCGT,,,100,
NIS,2040,geoth,0,,100,1
NIS,2040,pv_central_fixed,,,240.1,
NIS,2040,pv_decentral,,,0.2162,
NIS,2040,wind_offshore_floating,,,46.91,
NIS,2040,wind_offshore_foundation,,,4.841,
NIS,2040,wind_onshore,,,9.923,
NIS,2045,BIO,,,100,
NIS,2045,CCGT,,,100,
NIS,2045,COAL,,,100,
NIS,2045,DIE,,,100,
NIS,2045,Electrolyser,,,100,
NIS,2045,GT,,,100,
NIS,2045,H2_CCGT,,,100,
NIS,2045,H2_FC,,,100,
NIS,2045,OCGT,,,100,
NIS,2045,geoth,0,,100,1
NIS,2045,pv_central_fixed,,,240.1,
NIS,2045,pv_decentral,,,0.2162,
NIS,2045,wind_offshore_floating,,,46.91,
NIS,2045,wind_offshore_foundation,,,4.841,
NIS,2045,wind_onshore,,,9.923,
NIS,2050,BIO,,,100,
NIS,2050,CCGT,,,100,
NIS,2050,COAL,,,100,
NIS,2050,DIE,,,100,
NIS,2050,Electrolyser,,,100,
NIS,2050,GT,,,100,
NIS,2050,H2_CCGT,,,100,
NIS,2050,H2_FC,,,100,
NIS,2050,H2_storage,,,50,
NIS,2050,OCGT,,,100,
NIS,2050,geoth,0,,100,1
NIS,2050,pv_central_fixed,,,240.1,
NIS,2050,pv_central_track_azimuth,,,240.1,
NIS,2050,pv_decentral,,,0.2162,
NIS,2050,wind_offshore_floating,,,46.91,
NIS,2050,wind_offshore_foundation,,,4.841,
NIS,2050,wind_onshore,,,9.923,
OTG,2000,BIO,0.0014,,,
OTG,2000,Hydro,1.664,,100,1
OTG,2007,wind_onshore,0.058,,,
OTG,2009,wind_onshore,0.00225,,,
OTG,2010,wind_onshore,0.00045,,,
OTG,2011,wind_onshore,0.04365,,,
OTG,2015,wind_onshore,0.0068,,,
OTG,2020,BIO,,,100,1
OTG,2020,Battery,,,50,
OTG,2020,CCGT,,,100,1
OTG,2020,COAL,,,100,1
OTG,2020,DIE,,,100,1
OTG,2020,Electrolyser,,,100,
OTG,2020,GT,,,100,1
OTG,2020,H2_CCGT,,,100,
OTG,2020,H2_FC,,,100,
OTG,2020,H2_storage,,,50,
OTG,2020,Hydro,,,100,1
OTG,2020,OCGT,,,100,1
OTG,2020,pv_central_fixed,,,1165,1
OTG,2020,pv_decentral,,,0.4882,1
OTG,2020,wind_offshore_floating,,,156.6,1
OTG,2020,wind_offshore_foundation,,,9.932,1
OTG,2020,wind_onshore,,,34.97,1
OTG,2025,BIO,,,100,
OTG,2025,CCGT,,,100,
OTG,2025,COAL,,,100,
OTG,2025,DIE,,,100,
OTG,2025,Electrolyser,,,100,
OTG,2025,GT,,,100,
OTG,2025,H2_CCGT,,,100,
OTG,2025,H2_FC,,,100,
OTG,2025,Hydro,,,100,1
OTG,2025,OCGT,,,100,
OTG,2025,pv_central_fixed,,,1165,
OTG,2025,pv_decentral,,,0.4882,
OTG,2025,wind_offshore_floating,,,156.6,
OTG,2025,wind_offshore_foundation,,,9.932,
OTG,2025,wind_onshore,,,34.97,
OTG,2030,BIO,,,100,
OTG,2030,Battery,,,50,
OTG,2030,CCGT,,,100,
OTG,2030,COAL,,,100,
OTG,2030,DIE,,,100,
OTG,2030,Electrolyser,,,100,
OTG,2030,GT,,,100,
OTG,2030,H2_CCGT,,,100,
OTG,2030,H2_FC,,,100,
OTG,2030,Hydro,,,100,1
OTG,2030,OCGT,,,100,
OTG,2030,pv_central_fixed,,,1165,
OTG,2030,pv_decentral,,,0.4882,
OTG,2030,wind_offshore_floating,,,156.6,
OTG,2030,wind_offshore_foundation,,,9.932,
OTG,2030,wind_onshore,,,34.97,
OTG,2035,BIO,,,100,
OTG,2035,CCGT,,,100,
OTG,2035,COAL,,,100,
OTG,2035,DIE,,,100,
OTG,2035,Electrolyser,,,100,
OTG,2035,GT,,,100,
OTG,2035,H2_CCGT,,,100,
OTG,2035,H2_FC,,,100,
OTG,2035,H2_storage,,,50,
OTG,2035,Hydro,,,100,1
OTG,2035,OCGT,,,100,
OTG,2035,pv_central_fixed,,,1165,
OTG,2035,pv_decentral,,,0.4882,
OTG,2035,wind_offshore_floating,,,156.6,
OTG,2035,wind_offshore_foundation,,,9.932,
OTG,2035,wind_onshore,,,34.97,
OTG,2040,BIO,,,100,
OTG,2040,CCGT,,,100,
OTG,2040,COAL,,,100,
OTG,2040,DIE,,,100,
OTG,2040,Electrolyser,,,100,
OTG,2040,GT,,,100,
OTG,2040,H2_CCGT,,,100,
OTG,2040,H2_FC,,,100,
OTG,2040,Hydro,,,100,1
OTG,2040,OCGT,,,100,
OTG,2040,pv_central_fixed,,,1165,
OTG,2040,pv_decentral,,,0.4882,
OTG,2040,wind_offshore_floating,,,156.6,
OTG,2040,wind_offshore_foundation,,,9.932,
OTG,2040,wind_onshore,,,34.97,
OTG,2045,BIO,,,100,
OTG,2045,CCGT,,,100,
OTG,2045,COAL,,,100,
OTG,2045,DIE,,,100,
OTG,2045,Electrolyser,,,100,
OTG,2045,GT,,,100,
OTG,2045,H2_CCGT,,,100,
OTG,2045,H2_FC,,,100,
OTG,2045,Hydro,,,100,1
OTG,2045,OCGT,,,100,
OTG,2045,pv_central_fixed,,,1165,
OTG,2045,pv_decentral,,,0.4882,
OTG,2045,wind_offshore_floating,,,156.6,
OTG,2045,wind_offshore_foundation,,,9.932,
OTG,2045,wind_onshore,,,34.97,
OTG,2050,BIO,,,100,
OTG,2050,CCGT,,,100,
OTG,2050,COAL,,,100,
OTG,2050,DIE,,,100,
OTG,2050,Electrolyser,,,100,
OTG,2050,GT,,,100,
OTG,2050,H2_CCGT,,,100,
OTG,2050,H2_FC,,,100,
OTG,2050,H2_storage,,,50,
OTG,2050,Hydro,,,100,1
OTG,2050,OCGT,,,100,
OTG,2050,pv_central_fixed,,,1165,
OTG,2050,pv_central_track_azimuth,,,1153,
OTG,2050,pv_decentral,,,0.4882,
OTG,2050,wind_offshore_floating,,,156.6,
OTG,2050,wind_offshore_foundation,,,9.932,
OTG,2050,wind_onshore,,,34.97,
TRN,1996,GT,0.0696,,,
TRN,1998,CCGT,0.377,,,
TRN,1998,OCGT,0.025,,,
TRN,2008,GT,0.009,,,
TRN,2010,OCGT,0.21,,,
TRN,2013,OCGT,0.1,,,
TRN,2020,BIO,,,100,1
TRN,2020,Battery,,,50,
TRN,2020,CCGT,,,100,1
TRN,2020,COAL,,,100,1
TRN,2020,DIE,,,100,1
TRN,2020,Electrolyser,,,100,
TRN,2020,GT,,,100,1
TRN,2020,H2_CCGT,,,100,
TRN,2020,H2_FC,,,100,
TRN,2020,H2_storage,,,50,
TRN,2020,OCGT,0.1,,100,1
TRN,2020,pv_central_fixed,,,155.5,1
TRN,2020,pv_decentral,,,0.2649,1
TRN,2020,wind_offshore_floating,,,70.73,1
TRN,2020,wind_offshore_foundation,,,8.923,1
TRN,2020,wind_onshore,0.1333,,6.618,1
TRN,2025,BIO,,,100,
TRN,2025,CCGT,,,100,
TRN,2025,COAL,,,100,
TRN,2025,DIE,,,100,
TRN,2025,Electrolyser,,,100,
TRN,2025,GT,,,100,
TRN,2025,H2_CCGT,,,100,
TRN,2025,H2_FC,,,100,
TRN,2025,OCGT,,,100,
TRN,2025,pv_central_fixed,,,155.5,
TRN,2025,pv_decentral,,,0.2649,
TRN,2025,wind_offshore_floating,,,70.73,
TRN,2025,wind_offshore_foundation,,,8.923,
TRN,2025,wind_onshore,,,6.618,
TRN,2030,BIO,,,100,
TRN,2030,Battery,,,50,
TRN,2030,CCGT,,,100,
TRN,2030,COAL,,,100,
TRN,2030,DIE,,,100,
TRN,2030,Electrolyser,,,100,
TRN,2030,GT,,,100,
TRN,2030,H2_CCGT,,,100,
TRN,2030,H2_FC,,,100,
TRN,2030,OCGT,,,100,
TRN,2030,pv_central_fixed,,,155.5,
TRN,2030,pv_decentral,,,0.2649,
TRN,2030,wind_offshore_floating,,,70.73,
TRN,2030,wind_offshore_foundation,,,8.923,
TRN,2030,wind_onshore,,,6.618,
TRN,2035,BIO,,,100,
TRN,2035,CCGT,,,100,
TRN,2035,COAL,,,100,
TRN,2035,DIE,,,100,
TRN,2035,Electrolyser,,,100,
TRN,2035,GT,,,100,
TRN,2035,H2_CCGT,,,100,
TRN,2035,H2_FC,,,100,
TRN,2035,H2_storage,,,50,
TRN,2035,OCGT,,,100,
TRN,2035,pv_central_fixed,,,155.5,
TRN,2035,pv_decentral,,,0.2649,
TRN,2035,wind_offshore_floating,,,70.73,
TRN,2035,wind_offshore_foundation,,,8.923,
TRN,2035,wind_onshore,,,6.618,
TRN,2040,BIO,,,100,
TRN,2040,CCGT,,,100,
TRN,2040,COAL,,,100,
TRN,2040,DIE,,,100,
TRN,2040,Electrolyser,,,100,
TRN,2040,GT,,,100,
TRN,2040,H2_CCGT,,,100,
TRN,2040,H2_FC,,,100,
TRN,2040,OCGT,,,100,
TRN,2040,pv_central_fixed,,,155.5,
TRN,2040,pv_decentral,,,0.2649,
TRN,2040,wind_offshore_floating,,,70.73,
TRN,2040,wind_offshore_foundation,,,8.923,
TRN,2040,wind_onshore,,,6.618,
TRN,2045,BIO,,,100,
TRN,2045,CCGT,,,100,
TRN,2045,COAL,,,100,
TRN,2045,DIE,,,100,
TRN,2045,Electrolyser,,,100,
TRN,2045,GT,,,100,
TRN,2045,H2_CCGT,,,100,
TRN,2045,H2_FC,,,100,
TRN,2045,OCGT,,,100,
TRN,2045,pv_central_fixed,,,155.5,
TRN,2045,pv_decentral,,,0.2649,
TRN,2045,wind_offshore_floating,,,70.73,
TRN,2045,wind_offshore_foundation,,,8.923,
TRN,2045,wind_onshore,,,6.618,
TRN,2050,BIO,,,100,
TRN,2050,CCGT,,,100,
TRN,2050,COAL,,,100,
TRN,2050,DIE,,,100,
TRN,2050,Electrolyser,,,100,
TRN,2050,GT,,,100,
TRN,2050,H2_CCGT,,,100,
TRN,2050,H2_FC,,,100,
TRN,2050,H2_storage,,,50,
TRN,2050,OCGT,,,100,
TRN,2050,pv_central_fixed,,,155.5,
TRN,2050,pv_central_track_azimuth,,,155.5,
TRN,2050,pv_decentral,,,0.2649,
TRN,2050,wind_offshore_floating,,,70.73,
TRN,2050,wind_offshore_foundation,,,8.923,
TRN,2050,wind_onshore,,,6.618,
WEL,1981,GT,0.01,,,
WEL,1993,wind_onshore,0.00845,,,
WEL,1994,BIO,0.0027,,,
WEL,1996,wind_onshore,0.00845,,,
WEL,2009,wind_onshore,0.143,,,
WEL,2014,wind_onshore,0.0713,,,
WEL,2020,BIO,,,100,1
WEL,2020,Battery,,,50,
WEL,2020,CCGT,,,100,1
WEL,2020,COAL,,,100,1
WEL,2020,DIE,,,100,1
WEL,2020,Electrolyser,,,100,
WEL,2020,GT,,,100,1
WEL,2020,H2_CCGT,,,100,
WEL,2020,H2_FC,,,100,
WEL,2020,H2_storage,,,50,
WEL,2020,OCGT,,,100,1
WEL,2020,pv_central_fixed,,,153.4,1
WEL,2020,pv_decentral,,,0.7349,1
WEL,2020,wind_offshore_floating,,,14.85,1
WEL,2020,wind_offshore_foundation,,,0.6467,1
WEL,2020,wind_onshore,,,6.184,1
WEL,2025,BIO,,,100,
WEL,2025,CCGT,,,100,
WEL,2025,COAL,,,100,
WEL,2025,DIE,,,100,
WEL,2025,Electrolyser,,,100,
WEL,2025,GT,,,100,
WEL,2025,H2_CCGT,,,100,
WEL,2025,H2_FC,,,100,
WEL,2025,OCGT,,,100,
WEL,2025,pv_central_fixed,,,153.4,
WEL,2025,pv_decentral,,,0.7349,
WEL,2025,wind_offshore_floating,,,14.85,
WEL,2025,wind_offshore_foundation,,,0.6467,
WEL,2025,wind_onshore,,,6.184,
WEL,2030,BIO,,,100,
WEL,2030,Battery,,,50,
WEL,2030,CCGT,,,100,
WEL,2030,COAL,,,100,
WEL,2030,DIE,,,100,
WEL,2030,Electrolyser,,,100,
WEL,2030,GT,,,100,
WEL,2030,H2_CCGT,,,100,
WEL,2030,H2_FC,,,100,
WEL,2030,OCGT,,,100,
WEL,2030,pv_central_fixed,,,153.4,
WEL,2030,pv_decentral,,,0.7349,
WEL,2030,wind_offshore_floating,,,14.85,
WEL,2030,wind_offshore_foundation,,,0.6467,
WEL,2030,wind_onshore,,,6.184,
WEL,2035,BIO,,,100,
WEL,2035,CCGT,,,100,
WEL,2035,COAL,,,100,
WEL,2035,DIE,,,100,
WEL,2035,Electrolyser,,,100,
WEL,2035,GT,,,100,
WEL,2035,H2_CCGT,,,100,
WEL,2035,H2_FC,,,100,
WEL,2035,H2_storage,,,50,
WEL,2035,OCGT,,,100,
WEL,2035,pv_central_fixed,,,153.4,
WEL,2035,pv_decentral,,,0.7349,
WEL,2035,wind_offshore_floating,,,14.85,
WEL,2035,wind_offshore_foundation,,,0.6467,
WEL,2035,wind_onshore,,,6.184,
WEL,2040,BIO,,,100,
WEL,2040,CCGT,,,100,
WEL,2040,COAL,,,100,
WEL,2040,DIE,,,100,
WEL,2040,Electrolyser,,,100,
WEL,2040,GT,,,100,
WEL,2040,H2_CCGT,,,100,
WEL,2040,H2_FC,,,100,
WEL,2040,OCGT,,,100,
WEL,2040,pv_central_fixed,,,153.4,
WEL,2040,pv_decentral,,,0.7349,
WEL,2040,wind_offshore_floating,,,14.85,
WEL,2040,wind_offshore_foundation,,,0.6467,
WEL,2040,wind_onshore,,,6.184,
WEL,2045,BIO,,,100,
WEL,2045,CCGT,,,100,
WEL,2045,COAL,,,100,
WEL,2045,DIE,,,100,
WEL,2045,Electrolyser,,,100,
WEL,2045,GT,,,100,
WEL,2045,H2_CCGT,,,100,
WEL,2045,H2_FC,,,100,
WEL,2045,OCGT,,,100,
WEL,2045,pv_central_fixed,,,153.4,
WEL,2045,pv_decentral,,,0.7349,
WEL,2045,wind_offshore_floating,,,14.85,
WEL,2045,wind_offshore_foundation,,,0.6467,
WEL,2045,wind_onshore,,,6.184,
WEL,2050,BIO,,,100,
WEL,2050,CCGT,,,100,
WEL,2050,COAL,,,100,
WEL,2050,DIE,,,100,
WEL,2050,Electrolyser,,,100,
WEL,2050,GT,,,100,
WEL,2050,H2_CCGT,,,100,
WEL,2050,H2_FC,,,100,
WEL,2050,H2_storage,,,50,
WEL,2050,OCGT,,,100,
WEL,2050,pv_central_fixed,,,153.4,
WEL,2050,pv_central_track_azimuth,,,153.4,
WEL,2050,pv_decentral,,,0.7349,
WEL,2050,wind_offshore_floating,,,14.85,
WEL,2050,wind_offshore_foundation,,,0.6467,
WEL,2050,wind_onshore,,,6.184,
WTO,1958,geoth,0.163,,0,0
WTO,1983,GT,0.75,,,
WTO,1989,geoth,0.05,,0,0
WTO,1996,geoth,0.05,,0,0
WTO,1997,geoth,0.035,,0,0
WTO,1998,BIO,0.04,,,
WTO,1999,OCGT,0.044,,,
WTO,1999,geoth,0.112,,0,0
WTO,2000,Hydro,1.087,,100,1
WTO,2004,BIO,0.0009,,,
WTO,2004,OCGT,0.048,,,
WTO,2005,geoth,0.014,,0,0
WTO,2007,CCGT,0.385,,,
WTO,2008,BIO,0.001,,,
WTO,2009,BIO,0.004,,,
WTO,2010,geoth,0.164,,0,0
WTO,2011,wind_onshore,0.0644,,,
WTO,2013,geoth,0.082,,0,0
WTO,2014,geoth,0.166,,0,0
WTO,2020,BIO,,,100,1
WTO,2020,Battery,,,50,
WTO,2020,CCGT,,,100,1
WTO,2020,COAL,,,100,1
WTO,2020,DIE,,,100,1
WTO,2020,Electrolyser,,,100,
WTO,2020,GT,,,100,1
WTO,2020,H2_CCGT,,,100,
WTO,2020,H2_FC,,,100,
WTO,2020,H2_storage,,,50,
WTO,2020,Hydro,,,100,1
WTO,2020,OCGT,,,100,1
WTO,2020,geoth,0,,100,1
WTO,2020,pv_central_fixed,,,386.8,1
WTO,2020,pv_decentral,,,0.8364,1
WTO,2020,wind_offshore_floating,,,14.69,1
WTO,2020,wind_offshore_foundation,,,2.029,1
WTO,2020,wind_onshore,,,15.01,1
WTO,2025,BIO,,,100,
WTO,2025,CCGT,,,100,
WTO,2025,COAL,,,100,
WTO,2025,DIE,,,100,
WTO,2025,Electrolyser,,,100,
WTO,2025,GT,,,100,
WTO,2025,H2_CCGT,,,100,
WTO,2025,H2_FC,,,100,
WTO,2025,Hydro,,,100,1
WTO,2025,OCGT,,,100,
WTO,2025,geoth,0,,100,1
WTO,2025,pv_central_fixed,,,386.8,
WTO,2025,pv_decentral,,,0.8364,
WTO,2025,wind_offshore_floating,,,14.69,
WTO,2025,wind_offshore_foundation,,,2.029,
WTO,2025,wind_onshore,,,15.01,
WTO,2030,BIO,,,100,
WTO,2030,Battery,,,50,
WTO,2030,CCGT,,,100,
WTO,2030,COAL,,,100,
WTO,2030,DIE,,,100,
WTO,2030,Electrolyser,,,100,
WTO,2030,GT,,,100,
WTO,2030,H2_CCGT,,,100,
WTO,2030,H2_FC,,,100,
WTO,2030,Hydro,,,100,1
WTO,2030,OCGT,,,100,
WTO,2030,geoth,0,,100,1
WTO,2030,pv_central_fixed,,,386.8,
WTO,2030,pv_decentral,,,0.8364,
WTO,2030,wind_offshore_floating,,,14.69,
WTO,2030,wind_offshore_foundation,,,2.029,
WTO,2030,wind_onshore,,,15.01,
WTO,2035,BIO,,,100,
WTO,2035,CCGT,,,100,
WTO,2035,COAL,,,100,
WTO,2035,DIE,,,100,
WTO,2035,Electrolyser,,,100,
WTO,2035,GT,,,100,
WTO,2035,H2_CCGT,,,100,
WTO,2035,H2_FC,,,100,
WTO,2035,H2_storage,,,50,
WTO,2035,Hydro,,,100,1
WTO,2035,OCGT,,,100,
WTO,2035,geoth,0,,100,1
WTO,2035,pv_central_fixed,,,386.8,
WTO,2035,pv_decentral,,,0.8364,
WTO,2035,wind_offshore_floating,,,14.69,
WTO,2035,wind_offshore_foundation,,,2.029,
WTO,2035,wind_onshore,,,15.01,
WTO,2040,BIO,,,100,
WTO,2040,CCGT,,,100,
WTO,2040,COAL,,,100,
WTO,2040,DIE,,,100,
WTO,2040,Electrolyser,,,100,
WTO,2040,GT,,,100,
WTO,2040,H2_CCGT,,,100,
WTO,2040,H2_FC,,,100,
WTO,2040,Hydro,,,100,1
WTO,2040,OCGT,,,100,
WTO,2040,geoth,0,,100,1
WTO,2040,pv_central_fixed,,,386.8,
WTO,2040,pv_decentral,,,0.8364,
WTO,2040,wind_offshore_floating,,,14.69,
WTO,2040,wind_offshore_foundation,,,2.029,
WTO,2040,wind_onshore,,,15.01,
WTO,2045,BIO,,,100,
WTO,2045,CCGT,,,100,
WTO,2045,COAL,,,100,
WTO,2045,DIE,,,100,
WTO,2045,Electrolyser,,,100,
WTO,2045,GT,,,100,
WTO,2045,H2_CCGT,,,100,
WTO,2045,H2_FC,,,100,
WTO,2045,Hydro,,,100,1
WTO,2045,OCGT,,,100,
WTO,2045,geoth,0,,100,1
WTO,2045,pv_central_fixed,,,386.8,
WTO,2045,pv_decentral,,,0.8364,
WTO,2045,wind_offshore_floating,,,14.69,
WTO,2045,wind_offshore_foundation,,,2.029,
WTO,2045,wind_onshore,,,15.01,
WTO,2050,BIO,,,100,
WTO,2050,CCGT,,,100,
WTO,2050,COAL,,,100,
WTO,2050,DIE,,,100,
WTO,2050,Electrolyser,,,100,
WTO,2050,GT,,,100,
WTO,2050,H2_CCGT,,,100,
WTO,2050,H2_FC,,,100,
WTO,2050,H2_storage,,,50,
WTO,2050,Hydro,,,100,1
WTO,2050,OCGT,,,100,
WTO,2050,geoth,0,,100,1
WTO,2050,pv_central_fixed,,,386.8,
WTO,2050,pv_central_track_azimuth,,,386.8,
WTO,2050,pv_decentral,,,0.8364,
WTO,2050,wind_offshore_floating,,,14.69,
WTO,2050,wind_offshore_foundation,,,2.029,
WTO,2050,wind_onshore,,,15.01,
