,Date,Hour,AKL,BOP,CAN,CEN,HBY,NEL,NIS,OTG,TRN,WEL,WTO,timestamp
4662,14/07/20,7,1.004223,0.3178635,0.828199,0.2263045,0.2364545,0.1706815,0.209558,0.988681,0.087625,0.4162885,0.364291,t4663
4663,14/07/20,8,1.177286,0.361277,0.9434205,0.270251,0.2718815,0.207374,0.266887,1.074535,0.103958,0.5272865,0.4279045,t4664
4664,14/07/20,9,1.263697,0.361366,0.959787,0.292763,0.2909455,0.212641,0.292151,1.124175,0.1120445,0.576344,0.4474475,t4665
4665,14/07/20,10,1.279517,0.345243,0.954043,0.2917805,0.2953615,0.211152,0.283622,1.1289605,0.1105385,0.55989,0.4485595,t4666
4666,14/07/20,11,1.258198,0.3477225,0.951783,0.279482,0.2915265,0.2091435,0.2684125,1.105744,0.1047475,0.520682,0.4404725,t4667
4667,14/07/20,12,1.251096,0.3555255,0.919296,0.2704595,0.285602,0.203198,0.2598465,1.0864945,0.101291,0.486905,0.4271475,t4668
4668,14/07/20,13,1.2473935,0.34777,0.835527,0.2653025,0.280505,0.187032,0.253195,1.065955,0.0992805,0.465827,0.418619,t4669
4669,14/07/20,14,1.2338615,0.3445255,0.79053,0.23733,0.2785305,0.1712525,0.242409,1.0079555,0.099343,0.4543905,0.404077,t4670
4670,14/07/20,15,1.203979,0.3436275,0.7433035,0.227682,0.27407,0.164268,0.236528,1.0187295,0.101138,0.4353915,0.3979145,t4671
4671,14/07/20,16,1.1889085,0.3466905,0.745331,0.2337225,0.275062,0.1619425,0.242454,1.028405,0.1040385,0.4344095,0.410106,t4672
4672,14/07/20,17,1.23281,0.363295,0.8259395,0.2639235,0.2855775,0.1731875,0.2561445,1.0613815,0.111567,0.470317,0.438382,t4673
4673,14/07/20,18,1.360423,0.3884855,0.954995,0.302063,0.286285,0.2059405,0.300425,1.1339475,0.1253025,0.564254,0.463647,t4674
4674,14/07/20,19,1.375517,0.38079,0.9777165,0.3080765,0.2531105,0.2127175,0.3262885,1.15363,0.1250295,0.595849,0.4636665,t4675
4675,14/07/20,20,1.335655,0.367011,0.964637,0.298315,0.2554985,0.2105015,0.3161945,1.1288295,0.1161945,0.584894,0.4684495,t4676
4676,14/07/20,21,1.251471,0.3610455,0.9490695,0.286037,0.2663055,0.204751,0.287216,1.105887,0.1086685,0.553221,0.437732,t4677
4677,14/07/20,22,1.15174,0.361633,0.9078365,0.256382,0.2535765,0.188122,0.253673,1.0751995,0.0977175,0.5079925,0.4086565,t4678
4678,14/07/20,23,1.0141495,0.341842,0.819986,0.2235555,0.231694,0.1588905,0.2100525,1.0126265,0.0854965,0.42674,0.3533135,t4679
4679,14/07/20,24,0.87819,0.315691,0.77061,0.199764,0.2082655,0.1444615,0.173922,0.9753865,0.082909,0.3652145,0.3089535,t4680
4680,15/07/20,1,0.795613,0.2990545,0.711377,0.181289,0.191304,0.131475,0.1520405,0.9320525,0.075608,0.314737,0.280825,t4681
4681,15/07/20,2,0.7544015,0.284484,0.66287,0.1725065,0.18671,0.124157,0.14054,0.901756,0.071959,0.2899035,0.268603,t4682
4682,15/07/20,3,0.725811,0.2775135,0.6219835,0.166603,0.1823215,0.118164,0.134943,0.884048,0.0700305,0.278736,0.2589155,t4683
4683,15/07/20,4,0.7141985,0.269034,0.5989535,0.164945,0.1809615,0.1166905,0.1337405,0.8782735,0.0697615,0.276288,0.2595355,t4684
4684,15/07/20,5,0.7271105,0.275621,0.6030705,0.169613,0.1654465,0.120682,0.138025,0.8818415,0.0721095,0.283518,0.26598,t4685
4685,15/07/20,6,0.8160755,0.298139,0.664121,0.186469,0.170611,0.1366295,0.1565475,0.9104665,0.0769185,0.3199275,0.2948895,t4686
4686,15/07/20,7,0.962395,0.3112465,0.810897,0.2289775,0.2019915,0.1724535,0.20172,0.985113,0.093469,0.4124155,0.3612665,t4687
4687,15/07/20,8,1.1314295,0.360307,0.937133,0.276577,0.2419205,0.2088835,0.256305,1.062777,0.110751,0.513517,0.4268595,t4688
4688,15/07/20,9,1.2256485,0.3887855,0.9619185,0.3009625,0.275913,0.213855,0.2872855,1.11171,0.1184735,0.563104,0.452724,t4689
4689,15/07/20,10,1.2527805,0.3932145,0.961012,0.302828,0.2855075,0.214978,0.288539,1.1167345,0.1184725,0.565909,0.462433,t4690
4690,15/07/20,11,1.250767,0.3849865,0.951517,0.298204,0.282276,0.215941,0.277629,1.1043235,0.1175625,0.5482905,0.467415,t4691
4691,15/07/20,12,1.2460275,0.384245,0.946229,0.291883,0.2809075,0.214215,0.2789945,1.0904745,0.116998,0.540382,0.4602035,t4692
4692,15/07/20,13,1.2344815,0.3847805,0.94398,0.2838945,0.280099,0.2119065,0.273779,1.0755485,0.115114,0.541644,0.4543905,t4693
4693,15/07/20,14,1.23376,0.381853,0.9399745,0.273653,0.274775,0.201186,0.270175,1.059858,0.11311,0.537305,0.4460465,t4694
4694,15/07/20,15,1.265875,0.36512,0.900686,0.265409,0.2604865,0.18227,0.275345,1.0484935,0.113401,0.520425,0.4451895,t4695
4695,15/07/20,16,1.297334,0.363407,0.8796655,0.269839,0.2652685,0.1773155,0.2887615,1.0514065,0.114652,0.5140325,0.4580915,t4696
4696,15/07/20,17,1.3545145,0.377052,0.9281815,0.2820525,0.282247,0.1931425,0.306934,1.080824,0.1189745,0.543071,0.4820695,t4697
4697,15/07/20,18,1.407874,0.408477,0.979412,0.3161635,0.271034,0.2161325,0.3447525,1.1442495,0.1331415,0.6132045,0.495987,t4698
4698,15/07/20,19,1.398672,0.405905,0.9867675,0.319558,0.261023,0.216929,0.349774,1.167567,0.1342105,0.6298925,0.4848065,t4699
4699,15/07/20,20,1.38127,0.4037565,0.9745975,0.3130425,0.253888,0.2144005,0.3398405,1.144386,0.1278855,0.6116715,0.50065,t4700
4700,15/07/20,21,1.360669,0.3851755,0.968306,0.2989185,0.263551,0.205461,0.322552,1.11972,0.1188315,0.574654,0.4763945,t4701
4701,15/07/20,22,1.252226,0.3760395,0.9333205,0.2688835,0.2540605,0.191197,0.2809555,1.088569,0.1071485,0.5235555,0.442519,t4702
4702,15/07/20,23,1.088842,0.350256,0.826187,0.2345695,0.2273975,0.1608055,0.230834,1.023053,0.093709,0.435744,0.382224,t4703
4703,15/07/20,24,0.943381,0.3337495,0.7676655,0.215357,0.2020605,0.145637,0.195313,0.99133,0.0841865,0.369243,0.335398,t4704
4704,16/07/20,1,0.8410895,0.313298,0.701331,0.200039,0.185849,0.1307185,0.170534,0.9506695,0.076597,0.316898,0.3019915,t4705
